Date,NFG
2010-01-04,31.662752151489258
2010-01-05,31.844003677368164
2010-01-06,31.912752151489258
2010-01-07,31.725250244140625
2010-01-08,31.93149757385254
2010-01-11,32.43150329589844
2010-01-12,31.956497192382812
2010-01-13,32.11275863647461
2010-01-14,31.893999099731445
2010-01-15,31.87523078918457
2010-01-19,32.39399719238281
2010-01-20,32.35649871826172
2010-01-21,31.93149757385254
2010-01-22,31.187747955322266
2010-01-25,31.78775978088379
2010-01-26,31.712743759155273
2010-01-27,30.568986892700195
2010-01-28,29.968984603881836
2010-01-29,29.325223922729492
2010-02-01,29.850217819213867
2010-02-02,30.36273956298828
2010-02-03,30.11272621154785
2010-02-04,29.41272735595703
2010-02-05,29.137725830078125
2010-02-08,28.83146858215332
2010-02-09,29.243986129760742
2010-02-10,28.993968963623047
2010-02-11,29.368972778320312
2010-02-12,29.66273307800293
2010-02-16,30.425230026245117
2010-02-17,31.08148765563965
2010-02-18,31.20648765563965
2010-02-19,31.77524185180664
2010-02-22,31.512760162353516
2010-02-23,30.912736892700195
2010-02-24,30.98772621154785
2010-02-25,31.368986129760742
2010-02-26,31.087738037109375
2010-03-01,31.925249099731445
2010-03-02,32.062747955322266
2010-03-03,32.037757873535156
2010-03-04,31.737743377685547
2010-03-05,31.98775863647461
2010-03-08,32.206504821777344
2010-03-09,32.50025177001953
2010-03-10,32.637752532958984
2010-03-11,32.65651321411133
2010-03-12,32.65025329589844
2010-03-15,32.206504821777344
2010-03-16,32.51274871826172
2010-03-17,32.331478118896484
2010-03-18,32.12525177001953
2010-03-19,31.725250244140625
2010-03-22,32.012752532958984
2010-03-23,32.743995666503906
2010-03-24,32.50025177001953
2010-03-25,31.975250244140625
2010-03-26,31.706485748291016
2010-03-29,32.257015228271484
2010-03-30,32.12489318847656
2010-03-31,31.80402183532715
2010-04-01,32.16264724731445
2010-04-05,32.77923583984375
2010-04-06,32.91132736206055
2010-04-07,32.80437469482422
2010-04-08,32.27589416503906
2010-04-09,33.53419876098633
2010-04-12,33.18816375732422
2010-04-13,33.037166595458984
2010-04-14,33.56566619873047
2010-04-15,33.80474090576172
2010-04-16,33.125247955322266
2010-04-19,33.0560417175293
2010-04-20,33.18816375732422
2010-04-21,33.074928283691406
2010-04-22,33.40837860107422
2010-04-23,34.17594528198242
2010-04-26,33.77328872680664
2010-04-27,32.83583450317383
2010-04-28,33.137840270996094
2010-04-29,32.93021774291992
2010-04-30,32.728878021240234
2010-05-03,33.77956771850586
2010-05-04,33.068634033203125
2010-05-05,32.13745880126953
2010-05-06,31.118228912353516
2010-05-07,29.80329704284668
2010-05-10,32.09971237182617
2010-05-11,32.27589416503906
2010-05-12,33.08750915527344
2010-05-13,32.95537567138672
2010-05-14,32.38283920288086
2010-05-17,32.055686950683594
2010-05-18,31.79143714904785
2010-05-19,31.31328010559082
2010-05-20,29.78441047668457
2010-05-21,29.79070281982422
2010-05-24,29.249629974365234
2010-05-25,29.400625228881836
2010-05-26,29.104921340942383
2010-05-27,30.281450271606445
2010-05-28,30.577163696289062
2010-06-01,29.68376350402832
2010-06-02,30.728158950805664
2010-06-03,31.583799362182617
2010-06-04,29.337705612182617
2010-06-07,29.016836166381836
2010-06-08,29.381738662719727
2010-06-09,29.75924301147461
2010-06-10,30.942068099975586
2010-06-11,31.45168685913086
2010-06-14,31.84176254272461
2010-06-15,32.66596221923828
2010-06-16,32.42059326171875
2010-06-17,32.44575500488281
2010-06-18,32.55271530151367
2010-06-21,32.26959228515625
2010-06-22,31.16856575012207
2010-06-23,30.564571380615234
2010-06-24,29.9354248046875
2010-06-25,30.231098175048828
2010-06-28,30.018831253051758
2010-06-29,29.18866729736328
2010-06-30,29.074596405029297
2010-07-01,28.402875900268555
2010-07-02,28.250776290893555
2010-07-06,28.592971801757812
2010-07-07,29.55621337890625
2010-07-08,29.8984317779541
2010-07-09,30.1075382232666
2010-07-12,29.76534652709961
2010-07-13,30.500436782836914
2010-07-14,30.29764747619629
2010-07-15,30.67154884338379
2010-07-16,29.663949966430664
2010-07-19,29.91109275817871
2010-07-20,30.836318969726562
2010-07-21,30.22161293029785
2010-07-22,31.02007484436035
2010-07-23,31.00107765197754
2010-07-26,31.628442764282227
2010-07-27,31.178508758544922
2010-07-28,30.887001037597656
2010-07-29,30.67154884338379
2010-07-30,30.449731826782227
2010-08-02,30.98206901550293
2010-08-03,30.98839569091797
2010-08-04,31.15949249267578
2010-08-05,31.596769332885742
2010-08-06,31.837574005126953
2010-08-09,31.805877685546875
2010-08-10,31.146825790405273
2010-08-11,30.006141662597656
2010-08-12,29.42314338684082
2010-08-13,29.19500160217285
2010-08-16,28.75774574279785
2010-08-17,29.125286102294922
2010-08-18,29.15697479248047
2010-08-19,28.675355911254883
2010-08-20,28.155715942382812
2010-08-23,28.13037109375
2010-08-24,27.629735946655273
2010-08-25,27.75013542175293
2010-08-26,27.483989715576172
2010-08-27,28.17473793029785
2010-08-30,27.674102783203125
2010-08-31,27.236839294433594
2010-09-01,28.301471710205078
2010-09-02,28.200077056884766
2010-09-03,28.333148956298828
2010-09-07,28.00362205505371
2010-09-08,28.263450622558594
2010-09-09,28.53594970703125
2010-09-10,28.65001106262207
2010-09-13,28.770418167114258
2010-09-14,28.928855895996094
2010-09-15,28.98587417602539
2010-09-16,28.95418357849121
2010-09-17,28.694381713867188
2010-09-20,29.220352172851562
2010-09-21,29.061931610107422
2010-09-22,31.058116912841797
2010-09-23,32.35087585449219
2010-09-24,33.13667678833008
2010-09-27,32.838836669921875
2010-09-28,32.733577728271484
