Date,POR
2010-01-04,11.39398193359375
2010-01-05,11.175838470458984
2010-01-06,11.270925521850586
2010-01-07,11.220585823059082
2010-01-08,11.187023162841797
2010-01-11,11.220585823059082
2010-01-12,11.231775283813477
2010-01-13,11.399577140808105
2010-01-14,11.33804988861084
2010-01-15,11.39398193359375
2010-01-19,11.466700553894043
2010-01-20,11.38280200958252
2010-01-21,11.310083389282227
2010-01-22,11.080747604370117
2010-01-25,11.175838470458984
2010-01-26,11.13109016418457
2010-01-27,11.108718872070312
2010-01-28,11.013628959655762
2010-01-29,10.907350540161133
2010-02-01,10.946501731872559
2010-02-02,11.047187805175781
2010-02-03,10.912943840026855
2010-02-04,10.694796562194824
2010-02-05,10.655644416809082
2010-02-08,10.415120124816895
2010-02-09,10.504617691040039
2010-02-10,10.47665023803711
2010-02-11,10.599705696105957
2010-02-12,10.616486549377441
2010-02-16,10.817849159240723
2010-02-17,10.694796562194824
2010-02-18,10.683609008789062
2010-02-19,10.78987979888916
2010-02-22,10.711578369140625
2010-02-23,10.56054973602295
2010-02-24,10.493426322937012
2010-02-25,10.353588104248047
2010-02-26,10.062728881835938
2010-03-01,10.185787200927734
2010-03-02,10.331215858459473
2010-03-03,10.465465545654297
2010-03-04,10.532584190368652
2010-03-05,10.666826248168945
2010-03-08,10.627670288085938
2010-03-09,10.633268356323242
2010-03-10,10.750728607177734
2010-03-11,10.739542961120605
2010-03-12,10.745135307312012
2010-03-15,10.728357315063477
2010-03-16,10.834633827209473
2010-03-17,11.008034706115723
2010-03-18,10.946501731872559
2010-03-19,10.862601280212402
2010-03-22,10.829044342041016
2010-03-23,10.854545593261719
2010-03-24,10.752520561218262
2010-03-25,10.758186340332031
2010-03-26,10.820536613464355
2010-03-29,10.894218444824219
2010-03-30,10.939568519592285
2010-03-31,10.945241928100586
2010-04-01,11.137953758239746
2010-04-05,11.183300971984863
2010-04-06,11.262656211853027
2010-04-07,11.205974578857422
2010-04-08,11.115280151367188
2010-04-09,11.120948791503906
2010-04-12,11.058600425720215
2010-04-13,11.01892375946045
2010-04-14,11.115280151367188
2010-04-15,11.171966552734375
2010-04-16,11.041598320007324
2010-04-19,11.064268112182617
2010-04-20,11.222979545593262
2010-04-21,11.285325050354004
2010-04-22,11.308003425598145
2010-04-23,11.42136001586914
2010-04-26,11.273991584777832
2010-04-27,11.132288932800293
2010-04-28,11.268322944641113
2010-04-29,11.279662132263184
2010-04-30,11.268322944641113
2010-05-03,11.563068389892578
2010-05-04,11.517720222473145
2010-05-05,11.472376823425293
2010-05-06,10.967912673950195
2010-05-07,10.814868927001953
2010-05-10,11.052931785583496
2010-05-11,10.990582466125488
2010-05-12,11.001920700073242
2010-05-13,11.069936752319336
2010-05-14,11.058600425720215
2010-05-17,11.149291038513184
2010-05-18,11.137953758239746
2010-05-19,11.069936752319336
2010-05-20,10.661828994750977
2010-05-21,10.616484642028809
2010-05-24,10.622150421142578
2010-05-25,10.54846477508545
2010-05-26,10.576807975769043
2010-05-27,10.758186340332031
2010-05-28,10.718506813049316
2010-06-01,10.480446815490723
2010-06-02,10.724177360534668
2010-06-03,10.769521713256836
2010-06-04,10.3840913772583
2010-06-07,10.389758110046387
2010-06-08,10.39542293548584
2010-06-09,10.321738243103027
2010-06-10,10.537129402160645
2010-06-11,10.5938138961792
2010-06-14,10.5938138961792
2010-06-15,10.797865867614746
2010-06-16,10.814868927001953
2010-06-17,10.956575393676758
2010-06-18,11.052931785583496
2010-06-21,10.984910011291504
2010-06-22,10.792194366455078
2010-06-23,10.700255393981934
2010-06-24,10.71174144744873
2010-06-25,10.625543594360352
2010-06-28,10.683012962341309
2010-06-29,10.556587219238281
2010-06-30,10.533599853515625
2010-07-01,10.424409866333008
2010-07-02,10.441651344299316
2010-07-06,10.499117851257324
2010-07-07,10.757713317871094
2010-07-08,10.907130241394043
2010-07-09,10.953100204467773
2010-07-12,10.918621063232422
2010-07-13,11.033556938171387
2010-07-14,11.016314506530762
2010-07-15,11.00482177734375
2010-07-16,10.648528099060059
2010-07-19,10.683012962341309
2010-07-20,10.688755989074707
2010-07-21,10.510612487792969
2010-07-22,10.803693771362305
2010-07-23,10.970343589782715
2010-07-26,11.165729522705078
2010-07-27,11.389847755432129
2010-07-28,11.240433692932129
2010-07-29,11.096772193908691
2010-07-30,10.97608757019043
2010-08-02,11.136991500854492
2010-08-03,11.114007949829102
2010-08-04,11.217449188232422
2010-08-05,11.407090187072754
2010-08-06,11.430075645446777
2010-08-09,11.57374095916748
2010-08-10,11.64269733428955
2010-08-11,11.251927375793457
2010-08-12,11.240433692932129
2010-08-13,11.315142631530762
2010-08-16,11.361115455627441
2010-08-17,11.510530471801758
2010-08-18,11.430075645446777
2010-08-19,11.28641128540039
2010-08-20,11.315142631530762
2010-08-23,11.280662536621094
2010-08-24,11.366859436035156
2010-08-25,11.435824394226074
2010-08-26,11.424328804016113
2010-08-27,11.631207466125488
2010-08-30,11.430075645446777
2010-08-31,11.481796264648438
2010-09-01,11.809350967407227
2010-09-02,11.648447036743164
2010-09-03,11.688671112060547
2010-09-07,11.533515930175781
2010-09-08,11.44731330871582
2010-09-09,11.602477073669434
2010-09-10,11.585230827331543
2010-09-13,11.786361694335938
2010-09-14,11.75762939453125
2010-09-15,11.717411041259766
2010-09-16,11.57374095916748
2010-09-17,11.631207466125488
2010-09-20,11.803608894348145
2010-09-21,11.717411041259766
2010-09-22,11.618451118469238
2010-09-23,11.502031326293945
2010-09-24,11.717409133911133
2010-09-27,11.74651050567627
2010-09-28,11.822181701660156
