Date,TFSL
2010-01-04,6.353365421295166
2010-01-05,6.43689489364624
2010-01-06,6.509981155395508
2010-01-07,6.520422458648682
2010-01-08,6.509981155395508
2010-01-11,6.515200138092041
2010-01-12,6.520422458648682
2010-01-13,6.541304111480713
2010-01-14,6.577849388122559
2010-01-15,6.509981155395508
2010-01-19,6.541304111480713
2010-01-20,6.603950500488281
2010-01-21,6.671816825866699
2010-01-22,6.703139305114746
2010-01-25,6.619612216949463
2010-01-26,6.734464168548584
2010-01-27,6.739684104919434
2010-01-28,6.630051612854004
2010-01-29,6.713581085205078
2010-02-01,6.593510627746582
2010-02-02,6.656155586242676
2010-02-03,6.661377429962158
2010-02-04,6.598730564117432
2010-02-05,6.7240214347839355
2010-02-08,6.682258605957031
2010-02-09,6.666594505310059
2010-02-10,6.656098365783691
2010-02-11,6.656098365783691
2010-02-12,6.68234395980835
2010-02-16,6.750585079193115
2010-02-17,6.792581558227539
2010-02-18,6.79782772064209
2010-02-19,6.761083126068115
2010-02-22,6.782080173492432
2010-02-23,6.771583080291748
2010-02-24,6.808328628540039
2010-02-25,6.79782772064209
2010-02-26,6.745335578918457
2010-03-01,6.729588508605957
2010-03-02,6.839821815490723
2010-03-03,6.80307674407959
2010-03-04,6.734835147857666
2010-03-05,6.782080173492432
2010-03-08,6.755836486816406
2010-03-09,6.776832103729248
2010-03-10,6.808328628540039
2010-03-11,6.908065319061279
2010-03-12,6.9028143882751465
2010-03-15,6.913313388824463
2010-03-16,6.944809913635254
2010-03-17,6.950061798095703
2010-03-18,6.997302055358887
2010-03-19,7.0077996253967285
2010-03-22,7.097039699554443
2010-03-23,7.128535747528076
2010-03-24,7.112786769866943
2010-03-25,7.118036270141602
2010-03-26,7.039296627044678
2010-03-29,6.960556983947754
2010-03-30,6.955307960510254
2010-03-31,7.0077996253967285
2010-04-01,6.965805530548096
2010-04-05,6.997302055358887
2010-04-06,7.0077996253967285
2010-04-07,7.118036270141602
2010-04-08,7.196773529052734
2010-04-09,7.265016555786133
2010-04-12,7.170529365539551
2010-04-13,7.097039699554443
2010-04-14,7.160029888153076
2010-04-15,7.4014973640441895
2010-04-16,7.359503269195557
2010-04-19,7.359503269195557
2010-04-20,7.432994842529297
2010-04-21,7.516980171203613
2010-04-22,7.543231010437012
2010-04-23,7.537980079650879
2010-04-26,7.422495365142822
2010-04-27,7.364751815795898
2010-04-28,7.438241004943848
2010-04-29,7.501235008239746
2010-04-30,7.422495365142822
2010-05-03,7.511731147766113
2010-05-04,7.459240913391113
2010-05-05,7.417245388031006
2010-05-06,7.238767623901367
2010-05-07,7.118036270141602
2010-05-10,7.259768486022949
2010-05-11,7.322757720947266
2010-05-12,7.396618843078613
2010-05-13,7.428273677825928
2010-05-14,7.386067867279053
2010-05-17,7.354413032531738
2010-05-18,7.29638147354126
2010-05-19,7.227795124053955
2010-05-20,6.869042873382568
2010-05-21,6.942904472351074
2010-05-24,6.837386131286621
2010-05-25,6.847938537597656
2010-05-26,6.837386131286621
2010-05-27,7.000936031341553
2010-05-28,6.985112190246582
2010-06-01,6.84266471862793
2010-06-02,6.953455448150635
2010-06-03,6.948179244995117
2010-06-04,6.7529754638671875
2010-06-07,6.700216770172119
2010-06-08,6.6685638427734375
2010-06-09,6.6685638427734375
2010-06-10,6.721321105957031
2010-06-11,6.768800735473633
2010-06-14,6.768800735473633
2010-06-15,6.811009407043457
2010-06-16,6.82683801651001
2010-06-17,6.821559906005859
2010-06-18,6.858490943908691
2010-06-21,6.921799659729004
2010-06-22,6.84266471862793
2010-06-23,6.731873512268066
2010-06-24,6.6791157722473145
2010-06-25,6.726596832275391
2010-06-28,6.7582502365112305
2010-06-29,6.626356601715088
2010-06-30,6.547219753265381
2010-07-01,6.684391021728516
2010-07-02,6.62108039855957
2010-07-06,6.60525369644165
2010-07-07,6.7107696533203125
2010-07-08,6.705493927001953
2010-07-09,6.721321105957031
2010-07-12,6.6791157722473145
2010-07-13,6.795180797576904
2010-07-14,6.731873512268066
2010-07-15,6.721321105957031
2010-07-16,6.541944980621338
2010-07-19,6.568324565887451
2010-07-20,6.59470272064209
2010-07-21,6.457531929016113
2010-07-22,6.568324565887451
2010-07-23,6.578875541687012
2010-07-26,6.6632890701293945
2010-07-27,6.642187118530273
2010-07-28,6.610529899597168
2010-07-29,6.56304931640625
2010-07-30,6.573600769042969
2010-08-02,6.6632890701293945
2010-08-03,6.6632890701293945
2010-08-04,6.56304931640625
2010-08-05,5.302141189575195
2010-08-06,5.27576208114624
2010-08-09,5.265210151672363
2010-08-10,5.0119757652282715
2010-08-11,4.84842586517334
2010-08-12,4.822048187255859
2010-08-13,4.906458854675293
2010-08-16,4.911734580993652
2010-08-17,4.9222869873046875
2010-08-18,4.895907402038574
2010-08-19,4.816771507263184
2010-08-20,4.869528770446777
2010-08-23,4.869528770446777
2010-08-24,4.837874412536621
2010-08-25,4.779840469360352
2010-08-26,4.748185157775879
2010-08-27,4.837874412536621
2010-08-30,4.737634181976318
2010-08-31,4.843149185180664
2010-09-01,4.911734580993652
2010-09-02,5.112212657928467
2010-09-03,5.122765064239502
2010-09-07,5.006699562072754
2010-09-08,4.9222869873046875
2010-09-09,4.959216594696045
2010-09-10,4.943389415740967
2010-09-13,4.980320930480957
2010-09-14,4.927562236785889
2010-09-15,4.822048187255859
2010-09-16,4.742910385131836
2010-09-17,4.758738994598389
2010-09-20,4.932837963104248
2010-09-21,4.932837963104248
2010-09-22,4.827322006225586
2010-09-23,4.742910385131836
2010-09-24,4.864253044128418
