Date,IBOC
2010-01-04,13.304495811462402
2010-01-05,13.017352104187012
2010-01-06,12.99683952331543
2010-01-07,13.413881301879883
2010-01-08,13.62582778930664
2010-01-11,13.222452163696289
2010-01-12,13.277146339416504
2010-01-13,13.277146339416504
2010-01-14,13.523273468017578
2010-01-15,13.38653564453125
2010-01-19,13.817258834838867
2010-01-20,14.022361755371094
2010-01-21,14.65818977355957
2010-01-22,14.29583740234375
2010-01-25,14.282160758972168
2010-01-26,14.282160758972168
2010-01-27,14.480433464050293
2010-01-28,14.21379566192627
2010-01-29,14.247977256774902
2010-02-01,14.309514045715332
2010-02-02,14.179606437683105
2010-02-03,14.001853942871094
2010-02-04,13.50275993347168
2010-02-05,13.598481178283691
2010-02-08,13.366022109985352
2010-02-09,13.543782234191895
2010-02-10,13.82409381866455
2010-02-11,13.701029777526855
2010-02-12,13.933483123779297
2010-02-16,14.323183059692383
2010-02-17,14.473596572875977
2010-02-18,14.507779121398926
2010-02-19,14.794926643371582
2010-02-22,15.000031471252441
2010-02-23,14.72655963897705
2010-02-24,14.959010124206543
2010-02-25,15.020537376403809
2010-02-26,14.494110107421875
2010-03-01,14.67870044708252
2010-03-02,14.67186450958252
2010-03-03,14.596658706665039
2010-03-04,14.67186450958252
2010-03-05,14.883806228637695
2010-03-08,14.72655963897705
2010-03-09,14.794926643371582
2010-03-10,15.088912010192871
2010-03-11,15.13676929473877
2010-03-12,15.246155738830566
2010-03-15,15.50595760345459
2010-03-16,15.786269187927246
2010-03-17,16.84598159790039
2010-03-18,16.497295379638672
2010-03-19,16.490461349487305
2010-03-22,16.832307815551758
2010-03-23,16.757099151611328
2010-03-24,16.483625411987305
2010-03-25,16.415258407592773
2010-03-26,16.189638137817383
2010-03-29,16.087087631225586
2010-03-30,15.887373924255371
2010-03-31,15.84605598449707
2010-04-01,15.887373924255371
2010-04-05,16.087087631225586
2010-04-06,16.204160690307617
2010-04-07,16.23859405517578
2010-04-08,16.376327514648438
2010-04-09,16.335004806518555
