Date,FRBA
2010-10-15,2.885362386703491
2010-10-18,2.885362386703491
2010-10-19,2.7521915435791016
2010-10-20,2.7521915435791016
2010-10-21,2.885362386703491
2010-10-22,2.796581983566284
2010-10-25,2.796581983566284
2010-10-26,2.796581983566284
2010-10-27,2.885362386703491
2010-10-28,2.6811680793762207
2010-10-29,3.1073131561279297
2010-11-01,3.1073131561279297
2010-11-02,3.1073131561279297
2010-11-03,3.1073131561279297
2010-11-04,3.1073131561279297
2010-11-05,3.1073131561279297
2010-11-08,3.1073131561279297
2010-11-09,3.1073131561279297
2010-11-10,2.885362386703491
2010-11-11,2.7521915435791016
2010-11-12,2.7521915435791016
2010-11-15,2.7521915435791016
2010-11-16,2.6634111404418945
2010-11-17,2.6634111404418945
2010-11-18,2.6634111404418945
2010-11-19,2.6634111404418945
2010-11-22,2.6634111404418945
2010-11-23,2.6634111404418945
2010-11-24,2.6634111404418945
2010-11-26,2.6634111404418945
2010-11-29,2.6634111404418945
2010-11-30,2.7521915435791016
2010-12-01,2.441460132598877
2010-12-02,2.6634111404418945
2010-12-03,2.574631452560425
2010-12-06,2.61902117729187
2010-12-07,2.61902117729187
2010-12-08,2.6634111404418945
2010-12-09,2.6634111404418945
2010-12-10,2.574631452560425
2010-12-13,2.574631452560425
2010-12-14,2.574631452560425
2010-12-15,2.574631452560425
2010-12-16,2.6634111404418945
2010-12-17,2.6634111404418945
2010-12-20,2.6634111404418945
2010-12-21,2.574631452560425
2010-12-22,2.574631452560425
2010-12-23,2.530240535736084
2010-12-27,2.530240535736084
2010-12-28,2.441460132598877
2010-12-29,2.61902117729187
2010-12-30,2.61902117729187
2010-12-31,2.441460132598877
2011-01-03,2.654533624649048
2011-01-04,2.6634111404418945
2011-01-05,2.7521915435791016
2011-01-06,2.7521915435791016
2011-01-07,2.7521915435791016
2011-01-10,2.7521915435791016
2011-01-11,2.6101431846618652
2011-01-12,2.61902117729187
2011-01-13,2.61902117729187
2011-01-14,2.6634111404418945
2011-01-18,2.4858508110046387
2011-01-19,2.4858508110046387
2011-01-20,2.4858508110046387
2011-01-21,2.6634111404418945
2011-01-24,2.6634111404418945
2011-01-25,2.6634111404418945
2011-01-26,2.6634111404418945
2011-01-27,2.6634111404418945
2011-01-28,2.796581983566284
2011-01-31,2.796581983566284
2011-02-01,2.8409719467163086
2011-02-02,2.8409719467163086
