Date,T
2010-01-04,6.896145820617676
2010-01-05,6.862364292144775
2010-01-06,6.794950008392334
2010-01-07,6.718659400939941
2010-01-08,6.669437408447266
2010-01-11,6.637444019317627
2010-01-12,6.634983539581299
2010-01-13,6.556231498718262
2010-01-14,6.445484161376953
2010-01-15,6.347040176391602
2010-01-19,6.447944164276123
2010-01-20,6.356882095336914
2010-01-21,6.317507266998291
2010-01-22,6.248598098754883
2010-01-25,6.295360565185547
2010-01-26,6.233832836151123
2010-01-27,6.305202484130859
2010-01-28,6.285516262054443
2010-01-29,6.241215229034424
2010-02-01,6.246138572692871
2010-02-02,6.322429656982422
2010-02-03,6.295360565185547
2010-02-04,6.160003662109375
2010-02-05,6.211683750152588
2010-02-08,6.1476969718933105
2010-02-09,6.216604709625244
2010-02-10,6.182150840759277
2010-02-11,6.19937801361084
2010-02-12,6.169846057891846
2010-02-16,6.231372833251953
2010-02-17,6.251059055328369
2010-02-18,6.211683750152588
2010-02-19,6.177227973937988
2010-02-22,6.157541275024414
2010-02-23,6.110782623291016
2010-02-24,6.130467414855957
2010-02-25,6.096015453338623
2010-02-26,6.105857849121094
2010-03-01,6.152617931365967
2010-03-02,6.123084545135498
2010-03-03,6.125549793243408
2010-03-04,6.142776012420654
2010-03-05,6.150157451629639
2010-03-08,6.22152853012085
2010-03-09,6.290436267852783
2010-03-10,6.280592441558838
2010-03-11,6.300281047821045
2010-03-12,6.305202484130859
2010-03-15,6.34458065032959
2010-03-16,6.361808776855469
2010-03-17,6.374112606048584
2010-03-18,6.413490295410156
2010-03-19,6.457787036895752
2010-03-22,6.497166156768799
2010-03-23,6.534082889556885
2010-03-24,6.462710380554199
2010-03-25,6.435641765594482
2010-03-26,6.457787036895752
2010-03-29,6.524236679077148
2010-03-30,6.386416912078857
2010-03-31,6.359346389770508
2010-04-01,6.4257941246032715
2010-04-05,6.475017070770264
2010-04-06,6.475017070770264
2010-04-07,6.448887348175049
2010-04-08,6.541914939880371
2010-04-09,6.647508144378662
2010-04-12,6.6324262619018555
2010-04-13,6.5871686935424805
2010-04-14,6.597225666046143
2010-04-15,6.597225666046143
2010-04-16,6.519285202026367
2010-04-19,6.6324262619018555
2010-04-20,6.702821254730225
2010-04-21,6.622368812561035
2010-04-22,6.6047682762146
2010-04-23,6.599741458892822
2010-04-26,6.6047682762146
2010-04-27,6.524312496185303
2010-04-28,6.514257431030273
2010-04-29,6.572082042694092
2010-04-30,6.551970481872559
2010-05-03,6.607281684875488
2010-05-04,6.511743545532227
2010-05-05,6.479057788848877
2010-05-06,6.320666790008545
2010-05-07,6.310607433319092
2010-05-10,6.453915119171143
2010-05-11,6.446372032165527
2010-05-12,6.491628646850586
2010-05-13,6.471517086029053
2010-05-14,6.386033535003662
2010-05-17,6.479057788848877
2010-05-18,6.433804035186768
2010-05-19,6.428771495819092
2010-05-20,6.275411128997803
2010-05-21,6.2477521896362305
2010-05-24,6.142156600952148
2010-05-25,6.114500045776367
2010-05-26,6.0667338371276855
2010-05-27,6.192441463470459
2010-05-28,6.10947322845459
2010-06-01,6.117016315460205
2010-06-02,6.230154037475586
2010-06-03,6.23518180847168
2010-06-04,6.076789379119873
2010-06-07,6.114500045776367
2010-06-08,6.277923583984375
2010-06-09,6.260322093963623
2010-06-10,6.396088600158691
2010-06-11,6.358376979827881
2010-06-14,6.328205585479736
2010-06-15,6.421233654022217
2010-06-16,6.416202068328857
2010-06-17,6.428771495819092
2010-06-18,6.39357852935791
2010-06-21,6.396088600158691
2010-06-22,6.3759765625
2010-06-23,6.396088600158691
2010-06-24,6.298038482666016
2010-06-25,6.232668399810791
2010-06-28,6.272897243499756
2010-06-29,6.149700164794922
2010-06-30,6.081818103790283
2010-07-01,6.11953067779541
2010-07-02,6.106956958770752
2010-07-06,6.137129306793213
2010-07-07,6.259614944458008
2010-07-08,6.321362018585205
2010-07-09,6.388255596160889
2010-07-12,6.390828609466553
2010-07-13,6.419127941131592
2010-07-14,6.421703815460205
2010-07-15,6.431992053985596
2010-07-16,6.352234840393066
2010-07-19,6.401118278503418
2010-07-20,6.377964019775391
2010-07-21,6.411409854888916
2010-07-22,6.563207626342773
2010-07-23,6.570921897888184
2010-07-26,6.67897891998291
2010-07-27,6.727864742279053
2010-07-28,6.740729331970215
2010-07-29,6.694417476654053
2010-07-30,6.6738362312316895
2010-08-02,6.841067790985107
2010-08-03,6.866795063018799
2010-08-04,6.853931903839111
2010-08-05,6.8796563148498535
2010-08-06,6.8282036781311035
2010-08-09,6.9105329513549805
2010-08-10,6.949123382568359
2010-08-11,6.830776214599609
2010-08-12,6.859076499938965
2010-08-13,6.874510288238525
2010-08-16,6.85650110244751
2010-08-17,6.938835144042969
2010-08-18,7.018592357635498
2010-08-19,6.938835144042969
2010-08-20,6.805046081542969
2010-08-23,6.815340042114258
2010-08-24,6.874510288238525
2010-08-25,6.918252944946289
2010-08-26,6.8693671226501465
2010-08-27,6.931118011474609
2010-08-30,6.851357936859131
2010-08-31,6.954270362854004
2010-09-01,7.036599159240723
2010-09-02,7.049464225769043
2010-09-03,7.059756278991699
2010-09-07,7.016018390655518
2010-09-08,7.046891212463379
2010-09-09,7.154950141906738
2010-09-10,7.160093784332275
2010-09-13,7.185820579528809
2010-09-14,7.185820579528809
2010-09-15,7.206404685974121
