Date,CCL
2010-01-04,23.89275360107422
2010-01-05,24.12378692626953
2010-01-06,23.6915340423584
2010-01-07,23.952369689941406
2010-01-08,24.757244110107422
2010-01-11,24.906291961669922
2010-01-12,24.503862380981445
2010-01-13,25.375802993774414
2010-01-14,26.135957717895508
2010-01-15,25.50994110107422
2010-01-19,26.091238021850586
2010-01-20,25.569570541381836
2010-01-21,25.495040893554688
2010-01-22,24.816864013671875
2010-01-25,25.01063346862793
2010-01-26,25.1447811126709
2010-01-27,25.24911117553711
2010-01-28,25.644094467163086
2010-01-29,24.8392276763916
2010-02-01,25.4428768157959
2010-02-02,25.778240203857422
2010-02-03,25.778240203857422
2010-02-04,24.518766403198242
2010-02-05,24.243019104003906
2010-02-08,24.712526321411133
2010-02-09,24.444238662719727
2010-02-10,24.30263900756836
2010-02-11,24.727436065673828
2010-02-12,24.459144592285156
2010-02-16,24.951011657714844
2010-02-17,25.42192840576172
2010-02-18,25.2500057220459
2010-02-19,25.332229614257812
2010-02-22,25.49666976928711
2010-02-23,25.167787551879883
2010-02-24,26.75992202758789
2010-02-25,26.655263900756836
2010-02-26,26.879520416259766
2010-03-01,26.984161376953125
2010-03-02,26.722549438476562
2010-03-03,26.69264793395996
2010-03-04,27.02153968811035
2010-03-05,27.686792373657227
2010-03-08,27.612051010131836
2010-03-09,27.612051010131836
2010-03-10,27.783964157104492
2010-03-11,27.843767166137695
2010-03-12,28.023160934448242
2010-03-15,27.76902198791504
2010-03-16,27.74659538269043
2010-03-17,28.105384826660156
2010-03-18,28.150239944458008
2010-03-19,28.120338439941406
2010-03-22,28.337114334106445
2010-03-23,29.009845733642578
2010-03-24,28.74823760986328
2010-03-25,28.80803108215332
2010-03-26,29.002368927001953
2010-03-29,29.136924743652344
2010-03-30,29.29388999938965
2010-03-31,29.06216812133789
2010-04-01,29.33126449584961
2010-04-05,29.443395614624023
2010-04-06,29.39854621887207
2010-04-07,28.62863540649414
2010-04-08,28.845399856567383
2010-04-09,29.136924743652344
2010-04-12,29.017322540283203
2010-04-13,29.047218322753906
2010-04-14,29.271467208862305
2010-04-15,29.51066017150879
2010-04-16,29.129440307617188
2010-04-19,29.077129364013672
2010-04-20,29.839557647705078
2010-04-21,30.071277618408203
2010-04-22,31.095333099365234
2010-04-23,31.96987533569336
2010-04-26,32.77716827392578
2010-04-27,31.715742111206055
2010-04-28,31.087852478027344
2010-04-29,32.26140594482422
2010-04-30,31.17007064819336
2010-05-03,31.708269119262695
2010-05-04,30.347835540771484
2010-05-05,29.600357055664062
2010-05-06,28.426815032958984
2010-05-07,27.417713165283203
2010-05-10,29.3088436126709
2010-05-11,29.06216812133789
2010-05-12,29.95914649963379
2010-05-13,29.077129364013672
2010-05-14,28.082956314086914
