Date,BLMN
2012-08-08,9.550396919250488
2012-08-09,10.381536483764648
2012-08-10,9.896707534790039
2012-08-13,9.935182571411133
2012-08-14,9.95057201385498
2012-08-15,9.981356620788574
2012-08-16,9.82744312286377
2012-08-17,10.050617218017578
2012-08-20,10.004444122314453
2012-08-21,10.266098022460938
2012-08-22,10.258401870727539
2012-08-23,10.004444122314453
2012-08-24,9.919792175292969
2012-08-27,9.84283447265625
2012-08-28,9.881311416625977
2012-08-29,10.0198335647583
2012-08-30,10.042922973632812
2012-08-31,9.98905086517334
2012-09-04,10.350751876831055
2012-09-05,10.666275978088379
2012-09-06,11.089542388916016
2012-09-07,11.12032413482666
2012-09-10,11.097236633300781
2012-09-11,11.112628936767578
2012-09-12,11.12032413482666
2012-09-13,10.966412544250488
2012-09-14,11.081847190856934
2012-09-17,11.58206844329834
2012-09-18,11.6205472946167
2012-09-19,11.6205472946167
2012-09-20,11.766766548156738
2012-09-21,12.29007625579834
2012-09-24,12.120769500732422
2012-09-25,11.712894439697266
2012-09-26,11.535892486572266
2012-09-27,12.174638748168945
2012-09-28,12.659470558166504
2012-10-01,12.597904205322266
2012-10-02,12.482465744018555
2012-10-03,12.066898345947266
2012-10-04,12.028421401977539
2012-10-05,11.836023330688477
2012-10-08,11.705198287963867
2012-10-09,11.389671325683594
2012-10-10,11.012584686279297
2012-10-11,11.628242492675781
2012-10-12,11.458938598632812
2012-10-15,11.389671325683594
2012-10-16,11.4358491897583
2012-10-17,11.366585731506348
2012-10-18,11.635939598083496
2012-10-19,11.28193473815918
2012-10-22,10.681668281555176
2012-10-23,10.681668281555176
2012-10-24,10.389232635498047
2012-10-25,10.11218547821045
2012-10-26,10.104488372802734
2012-10-31,10.520059585571289
2012-11-01,10.373838424682617
2012-11-02,10.435406684875488
2012-11-05,10.566231727600098
2012-11-06,10.820192337036133
2012-11-07,10.566231727600098
2012-11-08,11.89759349822998
2012-11-09,11.859114646911621
2012-11-12,11.836023330688477
2012-11-13,11.697503089904785
2012-11-14,11.543590545654297
2012-11-15,11.366585731506348
2012-11-16,11.312718391418457
2012-11-19,11.766766548156738
2012-11-20,11.789854049682617
2012-11-21,11.782157897949219
2012-11-23,11.9668550491333
2012-11-26,12.259292602539062
2012-11-27,11.9745512008667
2012-11-28,11.920677185058594
2012-11-29,12.143857955932617
2012-11-30,12.18233585357666
2012-12-03,12.351637840270996
2012-12-04,11.889896392822266
2012-12-05,11.851418495178223
2012-12-06,11.805240631103516
2012-12-07,11.874505996704102
2012-12-10,11.612850189208984
2012-12-11,11.528197288513184
2012-12-12,11.866809844970703
2012-12-13,12.351637840270996
2012-12-14,12.528643608093262
