Date,IFF
2010-01-04,29.679819107055664
2010-01-05,29.4608154296875
2010-01-06,29.580888748168945
2010-01-07,29.35480499267578
2010-01-08,29.248857498168945
2010-01-11,29.340707778930664
2010-01-12,29.26299476623535
2010-01-13,29.750455856323242
2010-01-14,29.757522583007812
2010-01-15,29.686878204345703
2010-01-19,30.209688186645508
2010-01-20,29.757522583007812
2010-01-21,29.446674346923828
2010-01-22,28.93093490600586
2010-01-25,28.87441062927246
2010-01-26,28.471717834472656
2010-01-27,28.457584381103516
2010-01-28,28.259767532348633
2010-01-29,28.09726905822754
2010-02-01,28.5494327545166
2010-02-02,29.02277946472168
2010-02-03,29.2205867767334
2010-02-04,28.42224884033203
2010-02-05,28.436382293701172
2010-02-08,28.153797149658203
2010-02-09,29.02277946472168
2010-02-10,29.277101516723633
2010-02-11,29.45372772216797
2010-02-12,29.446674346923828
2010-02-16,29.672761917114258
2010-02-17,29.743408203125
2010-02-18,29.941207885742188
2010-02-19,30.01186752319336
2010-02-22,29.84937858581543
2010-02-23,29.48905372619629
2010-02-24,29.602096557617188
2010-02-25,29.651554107666016
2010-02-26,29.750455856323242
2010-03-01,29.92001724243164
2010-03-02,30.266206741333008
2010-03-03,30.322717666625977
2010-03-04,30.753681182861328
2010-03-05,31.431928634643555
2010-03-08,31.276498794555664
2010-03-09,31.106935501098633
2010-03-10,31.043357849121094
2010-03-11,31.177595138549805
2010-03-12,31.601476669311523
2010-03-15,31.785173416137695
2010-03-16,32.05362319946289
2010-03-17,32.074832916259766
2010-03-18,32.08896255493164
2010-03-19,31.778106689453125
2010-03-22,32.310943603515625
2010-03-23,32.722999572753906
2010-03-24,32.538265228271484
2010-03-25,32.524070739746094
2010-03-26,32.431705474853516
2010-03-29,34.07282257080078
2010-03-30,33.881004333496094
2010-03-31,33.866790771484375
2010-04-01,34.2646484375
2010-04-05,34.683807373046875
2010-04-06,34.71932601928711
2010-04-07,34.71932601928711
2010-04-08,34.75484848022461
2010-04-09,35.422664642333984
2010-04-12,35.51502990722656
2010-04-13,35.806312561035156
2010-04-14,36.161537170410156
2010-04-15,36.60911560058594
2010-04-16,35.87735366821289
2010-04-19,35.998138427734375
2010-04-20,35.95551300048828
2010-04-21,35.6926383972168
2010-04-22,36.0052375793457
2010-04-23,36.74409103393555
2010-04-26,36.51675033569336
2010-04-27,35.749481201171875
2010-04-28,35.7636833190918
2010-04-29,36.45282745361328
2010-04-30,35.5860710144043
2010-05-03,36.24678039550781
2010-05-04,35.188232421875
2010-05-05,34.45646667480469
2010-05-06,33.149261474609375
2010-05-07,32.04097366333008
2010-05-10,33.419227600097656
2010-05-11,33.09242630004883
2010-05-12,33.76023483276367
2010-05-13,33.42633056640625
2010-05-14,32.7300910949707
2010-05-17,32.80823516845703
2010-05-18,32.25409698486328
2010-05-19,31.934396743774414
2010-05-20,30.73375129699707
2010-05-21,31.401567459106445
2010-05-24,30.92556381225586
2010-05-25,30.996614456176758
2010-05-26,30.740867614746094
2010-05-27,32.09778594970703
2010-05-28,31.614686965942383
2010-06-01,31.067651748657227
2010-06-02,31.9130802154541
2010-06-03,31.813627243041992
2010-06-04,30.62007713317871
2010-06-07,30.54193115234375
2010-06-08,31.209749221801758
2010-06-09,31.31631851196289
2010-06-10,32.02676773071289
2010-06-11,32.488548278808594
2010-06-14,32.225677490234375
2010-06-15,33.08531951904297
2010-06-16,33.03559875488281
2010-06-17,33.042701721191406
2010-06-18,33.01426315307617
2010-06-21,32.89284133911133
2010-06-22,32.521419525146484
2010-06-23,32.421424865722656
2010-06-24,31.807132720947266
2010-06-25,31.664270401000977
2010-06-28,31.428569793701172
2010-06-29,30.785694122314453
2010-06-30,30.299978256225586
2010-07-01,30.21427345275879
2010-07-02,29.992855072021484
2010-07-06,30.028566360473633
2010-07-07,31.25712776184082
2010-07-08,31.71428680419922
2010-07-09,31.87856101989746
2010-07-12,31.528562545776367
2010-07-13,32.31427001953125
2010-07-14,32.14999771118164
2010-07-15,32.14284133911133
2010-07-16,31.264270782470703
2010-07-19,31.46428108215332
2010-07-20,32.14284133911133
2010-07-21,32.192832946777344
2010-07-22,33.0142707824707
2010-07-23,33.18569564819336
2010-07-26,33.442840576171875
2010-07-27,32.69997787475586
2010-07-28,32.87856674194336
2010-07-29,32.53569793701172
2010-07-30,32.414268493652344
2010-08-02,32.79997634887695
2010-08-03,32.6142692565918
2010-08-04,32.77855682373047
2010-08-05,33.45713424682617
2010-08-06,33.47854995727539
2010-08-09,34.01426315307617
2010-08-10,33.81427764892578
2010-08-11,32.85713577270508
2010-08-12,32.72856903076172
2010-08-13,33.10712814331055
2010-08-16,32.77855682373047
2010-08-17,33.592838287353516
2010-08-18,33.49998474121094
2010-08-19,32.6142692565918
2010-08-20,32.735694885253906
2010-08-23,32.478553771972656
2010-08-24,31.90712547302246
2010-08-25,32.085697174072266
2010-08-26,32.249977111816406
2010-08-27,32.96426773071289
2010-08-30,32.59286117553711
2010-08-31,32.63569259643555
2010-09-01,33.849971771240234
2010-09-02,34.049983978271484
2010-09-03,34.08570098876953
2010-09-07,33.52141189575195
2010-09-08,33.61426544189453
2010-09-09,33.49998474121094
2010-09-10,33.32855224609375
2010-09-13,33.435691833496094
2010-09-14,33.91426086425781
2010-09-15,34.178550720214844
2010-09-16,34.178550720214844
2010-09-17,34.56427764892578
2010-09-20,35.1389045715332
2010-09-21,34.93058776855469
2010-09-22,34.88750457763672
2010-09-23,34.42060852050781
2010-09-24,35.20354461669922
2010-09-27,35.06707000732422
2010-09-28,35.526790618896484
