Date,HPE
2015-10-19,7.316451549530029
2015-10-20,7.457915782928467
2015-10-21,7.2855048179626465
2015-10-22,7.493281364440918
2015-10-23,7.5153889656066895
2015-10-26,7.258978366851807
2015-10-27,6.953944206237793
2015-10-28,7.197088718414307
2015-10-29,7.051202297210693
2015-10-30,6.507440090179443
2015-11-02,6.405760288238525
2015-11-03,6.34829044342041
2015-11-04,6.038835048675537
2015-11-05,5.870843887329102
2015-11-06,6.365973472595215
2015-11-09,6.277558326721191
2015-11-10,6.370395660400391
2015-11-11,6.237771034240723
2015-11-12,6.056517601013184
2015-11-13,5.919472694396973
2015-11-16,5.915051460266113
2015-11-17,5.844317436218262
2015-11-18,6.029991149902344
2015-11-19,6.091884613037109
2015-11-20,6.281980037689209
2015-11-23,6.122829437255859
2015-11-24,6.052097797393799
2015-11-25,6.242191791534424
2015-11-27,6.343869686126709
2015-11-30,6.569331169128418
2015-12-01,6.900895118713379
2015-12-02,6.6091203689575195
2015-12-03,6.463231086730957
2015-12-04,6.728481769561768
2015-12-07,6.854931354522705
2015-12-08,6.730699062347412
2015-12-09,6.588721752166748
2015-12-10,6.531041145324707
2015-12-11,6.291452884674072
2015-12-14,6.406810760498047
2015-12-15,6.460051536560059
2015-12-16,6.522167682647705
2015-12-17,6.349129676818848
2015-12-18,6.2825775146484375
2015-12-21,6.220461845397949
2015-12-22,6.238210678100586
2015-12-23,6.615342140197754
2015-12-24,6.664144992828369
2015-12-28,6.757321834564209
2015-12-29,6.744009971618652
2015-12-30,6.779504776000977
2015-12-31,6.744009971618652
2016-01-04,6.712953090667725
2016-01-05,6.668584823608398
2016-01-06,6.566537857055664
2016-01-07,6.082920074462891
2016-01-08,6.007493495941162
2016-01-11,5.8832621574401855
2016-01-12,5.8832621574401855
2016-01-13,5.656981468200684
2016-01-14,5.7679033279418945
2016-01-15,5.563808441162109
2016-01-19,5.466198921203613
2016-01-20,5.350839138031006
2016-01-21,5.506129741668701
2016-01-22,5.923190116882324
2016-01-25,5.918756484985352
2016-01-26,6.034113883972168
2016-01-27,5.940940856933594
2016-01-28,5.852204322814941
2016-01-29,6.105104446411133
2016-02-01,6.11841344833374
2016-02-02,5.967563152313232
2016-02-03,5.932065963745117
2016-02-04,6.145034313201904
2016-02-05,5.856640338897705
2016-02-08,5.550498008728027
2016-02-09,5.643672466278076
2016-02-10,5.70578670501709
2016-02-11,5.5016937255859375
2016-02-12,5.452887058258057
2016-02-16,5.470633506774902
2016-02-17,5.776777744293213
2016-02-18,6.00305700302124
2016-02-19,6.0651726722717285
2016-02-22,6.12285041809082
2016-02-23,5.807833671569824
2016-02-24,6.00305700302124
2016-02-25,6.06960916519165
2016-02-26,5.963125228881836
2016-02-29,5.887698173522949
2016-03-01,5.8921356201171875
2016-03-02,6.1672210693359375
2016-03-03,6.034113883972168
2016-03-04,6.850494384765625
2016-03-07,7.110978603363037
2016-03-08,6.781478404998779
2016-03-09,6.897247314453125
2016-03-10,7.079808235168457
2016-03-11,7.271274089813232
2016-03-14,7.306898593902588
2016-03-15,7.467196464538574
2016-03-16,7.654211044311523
