Date,DDS
2010-01-04,13.438942909240723
2010-01-05,13.51803970336914
2010-01-06,13.640278816223145
2010-01-07,13.302326202392578
2010-01-08,13.02189826965332
2010-01-11,12.89966106414795
2010-01-12,12.561713218688965
2010-01-13,12.712708473205566
2010-01-14,12.417902946472168
2010-01-15,12.425088882446289
2010-01-19,12.741474151611328
2010-01-20,12.432282447814941
2010-01-21,12.108712196350098
2010-01-22,11.900187492370605
2010-01-25,12.151854515075684
2010-01-26,11.957716941833496
2010-01-27,11.849853515625
2010-01-28,11.68447494506836
2010-01-29,11.907381057739258
2010-02-01,12.288477897644043
2010-02-02,12.087141036987305
2010-02-03,12.417902946472168
2010-02-04,11.662903785705566
2010-02-05,11.411238670349121
2010-02-08,11.224289894104004
2010-02-09,11.511905670166016
2010-02-10,11.411238670349121
2010-02-11,11.77076530456543
2010-02-12,11.806714057922363
2010-02-16,12.425088882446289
2010-02-17,12.310044288635254
2010-02-18,12.274093627929688
2010-02-19,12.35318660736084
2010-02-22,12.230948448181152
2010-02-23,11.857049942016602
2010-02-24,12.043999671936035
2010-02-25,12.238139152526855
2010-02-26,12.130288124084473
2010-03-01,14.402461051940918
2010-03-02,13.884748458862305
2010-03-03,14.344944953918457
2010-03-04,15.358794212341309
2010-03-05,15.919650077819824
2010-03-08,15.919650077819824
2010-03-09,15.754267692565918
2010-03-10,16.185691833496094
2010-03-11,16.379837036132812
2010-03-12,16.430173873901367
2010-03-15,16.54522132873535
2010-03-16,16.84001922607422
2010-03-17,16.962263107299805
2010-03-18,16.782503128051758
2010-03-19,16.422990798950195
2010-03-22,17.15641212463379
2010-03-23,17.537504196166992
2010-03-24,17.257068634033203
2010-03-25,17.30740737915039
2010-03-26,17.019786834716797
2010-03-29,17.048601150512695
2010-03-30,17.04139518737793
2010-03-31,16.998178482055664
2010-04-01,17.329498291015625
2010-04-05,18.481916427612305
2010-04-06,18.467514038085938
2010-04-07,18.68359375
2010-04-08,18.5467472076416
2010-04-09,19.389442443847656
2010-04-12,18.94288444519043
2010-04-13,19.01491355895996
2010-04-14,19.807199478149414
2010-04-15,20.23935890197754
2010-04-16,19.677553176879883
2010-04-19,19.900835037231445
2010-04-20,20.00887107849121
2010-04-21,20.304183959960938
2010-04-22,21.182905197143555
2010-04-23,22.018402099609375
2010-04-26,22.27769660949707
2010-04-27,21.334152221679688
2010-04-28,21.14689826965332
2010-04-29,21.593454360961914
2010-04-30,20.224952697753906
2010-05-03,21.406179428100586
2010-05-04,20.361804962158203
2010-05-05,20.563474655151367
2010-05-06,17.68963623046875
2010-05-07,16.702877044677734
2010-05-10,19.310222625732422
2010-05-11,19.158964157104492
2010-05-12,19.591121673583984
2010-05-13,18.525131225585938
2010-05-14,19.994464874267578
2010-05-17,19.980058670043945
2010-05-18,19.108551025390625
