Date,PFE
2010-01-04,9.519680976867676
2010-01-05,9.383904457092285
2010-01-06,9.353730201721191
2010-01-07,9.318528175354004
2010-01-08,9.393959045410156
2010-01-11,9.469390869140625
2010-01-12,9.439220428466797
2010-01-13,9.660491943359375
2010-01-14,9.745983123779297
2010-01-15,9.801299095153809
2010-01-19,10.057771682739258
2010-01-20,10.027597427368164
2010-01-21,9.675578117370605
2010-01-22,9.534767150878906
2010-01-25,9.479450225830078
2010-01-26,9.444250106811523
2010-01-27,9.554888725280762
2010-01-28,9.368817329406738
2010-01-29,9.383904457092285
2010-02-01,9.449277877807617
2010-02-02,9.675578117370605
2010-02-03,9.452216148376465
2010-02-04,9.152711868286133
2010-02-05,9.117179870605469
2010-02-08,9.056258201599121
2010-02-09,9.07656478881836
2010-02-10,9.00549602508545
2010-02-11,9.071488380432129
2010-02-12,9.035955429077148
2010-02-16,8.995344161987305
2010-02-17,8.969958305358887
2010-02-18,9.000422477722168
2010-02-19,9.132403373718262
2010-02-22,9.112103462219238
2010-02-23,8.969958305358887
2010-02-24,9.041030883789062
2010-02-25,8.98011302947998
2010-02-26,8.909046173095703
2010-03-01,9.01057243347168
2010-03-02,8.934425354003906
2010-03-03,8.792288780212402
2010-03-04,8.797365188598633
2010-03-05,8.873510360717773
2010-03-08,8.807514190673828
2010-03-09,8.746600151062012
2010-03-10,8.705984115600586
2010-03-11,8.777061462402344
2010-03-12,8.670453071594238
2010-03-15,8.761829376220703
2010-03-16,8.761829376220703
2010-03-17,8.73644733428955
2010-03-18,8.746600151062012
2010-03-19,8.58415699005127
2010-03-22,8.705984115600586
2010-03-23,8.90396785736084
2010-03-24,8.939501762390137
2010-03-25,8.82781982421875
2010-03-26,8.700912475585938
2010-03-29,8.771982192993164
2010-03-30,8.761829376220703
2010-03-31,8.705984115600586
2010-04-01,8.670453071594238
2010-04-05,8.579079627990723
2010-04-06,8.609539031982422
2010-04-07,8.665379524230957
2010-04-08,8.700912475585938
2010-04-09,8.75675106048584
2010-04-12,8.777061462402344
2010-04-13,8.721220970153809
2010-04-14,8.665379524230957
2010-04-15,8.62476634979248
2010-04-16,8.528316497802734
2010-04-19,8.523241996765137
2010-04-20,8.508011817932129
2010-04-21,8.426788330078125
2010-04-22,8.365872383117676
2010-04-23,8.58415699005127
2010-04-26,8.538466453552246
2010-04-27,8.355720520019531
2010-04-28,8.391251564025879
2010-04-29,8.558775901794434
2010-04-30,8.487706184387207
2010-05-03,8.58415699005127
2010-05-04,8.761829376220703
2010-05-05,8.813130378723145
2010-05-06,8.587414741516113
2010-05-07,8.443778038024902
2010-05-10,8.720789909362793
2010-05-11,8.725918769836426
