Date,AXP
2010-01-04,32.63796615600586
2010-01-05,32.566184997558594
2010-01-06,33.09259796142578
2010-01-07,33.62931823730469
2010-01-08,33.60527801513672
2010-01-11,33.22077560424805
2010-01-12,33.66135787963867
2010-01-13,33.76551818847656
2010-01-14,34.19008255004883
2010-01-15,33.95775604248047
2010-01-19,34.41438674926758
2010-01-20,34.43040466308594
2010-01-21,33.77351760864258
2010-01-22,30.913654327392578
2010-01-25,30.27280044555664
2010-01-26,30.52112579345703
2010-01-27,30.977731704711914
2010-01-28,29.984407424926758
2010-01-29,30.168664932250977
2010-02-01,30.60924530029297
2010-02-02,31.258121490478516
2010-02-03,30.705379486083984
2010-02-04,30.064516067504883
2010-02-05,30.320859909057617
2010-02-08,29.471712112426758
2010-02-09,30.072525024414062
2010-02-10,30.24073600769043
2010-02-11,30.673341751098633
2010-02-12,30.77747344970703
2010-02-16,31.73876190185547
2010-02-17,31.28215789794922
2010-02-18,31.36227798461914
2010-02-19,31.290163040161133
2010-02-22,31.186025619506836
2010-02-23,30.384952545166016
2010-02-24,30.76947593688965
2010-02-25,30.47307014465332
2010-02-26,30.593231201171875
2010-03-01,30.5451717376709
2010-03-02,30.75345230102539
2010-03-03,30.66532325744629
2010-03-04,31.153987884521484
2010-03-05,32.20340347290039
2010-03-08,31.810869216918945
2010-03-09,31.8028621673584
2010-03-10,31.818897247314453
2010-03-11,32.13129425048828
2010-03-12,32.65200424194336
2010-03-15,32.603939056396484
2010-03-16,32.780174255371094
2010-03-17,32.85227966308594
2010-03-18,32.844268798828125
2010-03-19,32.30752182006836
2010-03-22,32.908348083496094
2010-03-23,33.036537170410156
2010-03-24,32.85227966308594
2010-03-25,33.180721282958984
2010-03-26,32.940399169921875
2010-03-29,33.228790283203125
2010-03-30,33.22074890136719
2010-03-31,33.19660568237305
2010-04-01,33.55061340332031
2010-04-05,34.33103561401367
2010-04-06,34.69310760498047
2010-04-07,34.08967971801758
2010-04-08,35.151702880859375
2010-04-09,35.3045768737793
2010-04-12,35.835601806640625
2010-04-13,36.197669982910156
2010-04-14,37.38035583496094
2010-04-15,37.549320220947266
2010-04-16,36.28614807128906
2010-04-19,36.81717300415039
2010-04-20,37.17118835449219
2010-04-21,37.00222396850586
2010-04-22,37.62978744506836
2010-04-23,38.65963363647461
2010-04-26,37.92748260498047
2010-04-27,36.84130096435547
2010-04-28,37.07464599609375
2010-04-29,38.29757308959961
2010-04-30,37.10681915283203
2010-05-03,37.975738525390625
2010-05-04,36.897621154785156
2010-05-05,35.74708938598633
2010-05-06,34.19426345825195
2010-05-07,32.665584564208984
