Date,WOOF
2021-01-14,29.399999618530273
2021-01-15,27.709999084472656
2021-01-19,26.850000381469727
2021-01-20,26.040000915527344
2021-01-21,27.239999771118164
2021-01-22,26.06999969482422
2021-01-25,27.0
2021-01-26,27.600000381469727
2021-01-27,26.989999771118164
2021-01-28,26.18000030517578
2021-01-29,26.030000686645508
2021-02-01,25.459999084472656
2021-02-02,25.610000610351562
2021-02-03,26.010000228881836
2021-02-04,26.440000534057617
2021-02-05,26.350000381469727
2021-02-08,26.739999771118164
2021-02-09,26.65999984741211
2021-02-10,26.18000030517578
2021-02-11,25.75
2021-02-12,25.729999542236328
2021-02-16,24.8700008392334
2021-02-17,23.959999084472656
2021-02-18,23.5
2021-02-19,23.59000015258789
2021-02-22,23.15999984741211
2021-02-23,22.68000030517578
2021-02-24,21.809999465942383
2021-02-25,21.030000686645508
2021-02-26,19.93000030517578
2021-03-01,20.989999771118164
2021-03-02,20.799999237060547
2021-03-03,20.649999618530273
2021-03-04,19.079999923706055
2021-03-05,19.459999084472656
2021-03-08,20.719999313354492
2021-03-09,21.079999923706055
2021-03-10,21.489999771118164
2021-03-11,22.15999984741211
2021-03-12,22.709999084472656
2021-03-15,23.90999984741211
2021-03-16,22.979999542236328
2021-03-17,23.43000030517578
2021-03-18,22.530000686645508
2021-03-19,23.219999313354492
2021-03-22,22.399999618530273
2021-03-23,22.0049991607666
2021-03-24,21.709999084472656
2021-03-25,21.270000457763672
2021-03-26,20.989999771118164
2021-03-29,22.149999618530273
2021-03-30,21.8799991607666
2021-03-31,22.15999984741211
2021-04-01,21.670000076293945
2021-04-05,21.299999237060547
2021-04-06,21.3700008392334
2021-04-07,21.15999984741211
2021-04-08,21.40999984741211
2021-04-09,21.75
2021-04-12,22.31999969482422
2021-04-13,22.06999969482422
2021-04-14,21.940000534057617
2021-04-15,22.2450008392334
2021-04-16,22.709999084472656
2021-04-19,23.635000228881836
2021-04-20,24.030000686645508
2021-04-21,23.739999771118164
2021-04-22,24.59000015258789
2021-04-23,24.280000686645508
2021-04-26,24.68000030517578
2021-04-27,25.079999923706055
2021-04-28,24.690000534057617
2021-04-29,24.760000228881836
2021-04-30,23.6200008392334
2021-05-03,24.0
2021-05-04,24.170000076293945
2021-05-05,24.149999618530273
2021-05-06,23.850000381469727
2021-05-07,23.81999969482422
2021-05-10,24.6299991607666
2021-05-11,24.40999984741211
2021-05-12,23.43000030517578
2021-05-13,22.670000076293945
2021-05-14,24.65999984741211
2021-05-17,25.594999313354492
2021-05-18,25.1299991607666
2021-05-19,25.739999771118164
2021-05-20,25.469999313354492
2021-05-21,24.700000762939453
2021-05-24,24.579999923706055
2021-05-25,24.030000686645508
2021-05-26,24.5
2021-05-27,22.799999237060547
2021-05-28,22.649999618530273
2021-06-01,22.790000915527344
2021-06-02,22.899999618530273
2021-06-03,21.889999389648438
2021-06-04,22.09000015258789
2021-06-07,22.030000686645508
2021-06-08,23.65999984741211
2021-06-09,24.09000015258789
2021-06-10,23.3700008392334
2021-06-11,23.799999237060547
2021-06-14,28.049999237060547
2021-06-15,25.40999984741211
2021-06-16,22.850000381469727
2021-06-17,23.079999923706055
2021-06-18,22.270000457763672
2021-06-21,21.799999237060547
2021-06-22,21.799999237060547
2021-06-23,22.06999969482422
2021-06-24,22.06999969482422
2021-06-25,22.559999465942383
2021-06-28,22.139999389648438
2021-06-29,22.219999313354492
2021-06-30,22.40999984741211
2021-07-01,21.760000228881836
2021-07-02,21.56999969482422
2021-07-06,21.200000762939453
2021-07-07,21.049999237060547
2021-07-08,20.709999084472656
2021-07-09,21.450000762939453
2021-07-12,21.579999923706055
2021-07-13,21.1299991607666
2021-07-14,20.850000381469727
2021-07-15,19.920000076293945
2021-07-16,19.200000762939453
2021-07-19,19.290000915527344
2021-07-20,19.979999542236328
2021-07-21,20.489999771118164
2021-07-22,20.43000030517578
2021-07-23,20.969999313354492
2021-07-26,20.93000030517578
2021-07-27,20.65999984741211
2021-07-28,21.030000686645508
2021-07-29,20.690000534057617
2021-07-30,20.6299991607666
2021-08-02,20.229999542236328
2021-08-03,19.559999465942383
2021-08-04,19.709999084472656
2021-08-05,19.739999771118164
2021-08-06,19.969999313354492
2021-08-09,19.719999313354492
2021-08-10,19.670000076293945
2021-08-11,20.31999969482422
2021-08-12,20.25
2021-08-13,19.639999389648438
2021-08-16,20.239999771118164
2021-08-17,19.68000030517578
2021-08-18,19.299999237060547
2021-08-19,19.989999771118164
2021-08-20,21.540000915527344
2021-08-23,20.889999389648438
2021-08-24,21.6200008392334
2021-08-25,21.860000610351562
2021-08-26,21.280000686645508
2021-08-27,21.530000686645508
2021-08-30,21.190000534057617
2021-08-31,21.530000686645508
2021-09-01,22.219999313354492
2021-09-02,21.969999313354492
2021-09-03,21.719999313354492
2021-09-07,21.65999984741211
2021-09-08,21.959999084472656
2021-09-09,22.600000381469727
2021-09-10,21.760000228881836
2021-09-13,22.25
2021-09-14,22.43000030517578
2021-09-15,22.399999618530273
2021-09-16,22.700000762939453
2021-09-17,22.479999542236328
2021-09-20,22.309999465942383
2021-09-21,21.989999771118164
2021-09-22,22.389999389648438
2021-09-23,22.200000762939453
2021-09-24,22.079999923706055
2021-09-27,22.389999389648438
2021-09-28,21.790000915527344
2021-09-29,21.68000030517578
2021-09-30,21.100000381469727
2021-10-01,21.610000610351562
2021-10-04,21.329999923706055
2021-10-05,21.399999618530273
2021-10-06,21.40999984741211
2021-10-07,22.030000686645508
2021-10-08,22.079999923706055
2021-10-11,21.81999969482422
2021-10-12,22.15999984741211
