Date,LYB
2010-04-28,9.238382339477539
2010-04-29,9.658312797546387
2010-04-30,9.364361763000488
2010-05-03,9.574326515197754
2010-05-04,9.028419494628906
2010-05-05,8.646288871765137
2010-05-06,8.167574882507324
2010-05-07,7.810637474060059
2010-05-10,7.982804775238037
2010-05-11,7.936610221862793
2010-05-12,8.314546585083008
2010-05-13,8.251559257507324
2010-05-14,7.873622894287109
2010-05-17,7.915617942810059
2010-05-18,7.8904218673706055
2010-05-19,7.43270206451416
2010-05-20,7.0967583656311035
2010-05-21,6.949784755706787
2010-05-24,7.0967583656311035
2010-05-25,6.958181858062744
2010-05-26,7.2017412185668945
2010-05-27,7.516684055328369
2010-05-28,7.462095737457275
2010-06-01,7.3487162590026855
2010-06-02,7.2773261070251465
2010-06-03,7.2773261070251465
2010-06-04,7.15974760055542
2010-06-07,7.092560768127441
2010-06-08,7.033768177032471
2010-06-09,7.050564765930176
2010-06-10,7.126155376434326
2010-06-11,7.197540283203125
2010-06-14,7.344515323638916
2010-06-15,7.546080112457275
2010-06-16,7.4075026512146
2010-06-17,7.2647294998168945
2010-06-18,7.226934432983398
2010-06-21,7.1807451248168945
2010-06-22,7.071564197540283
2010-06-23,6.991776943206787
2010-06-24,7.054765701293945
2010-06-25,7.063164710998535
2010-06-28,7.08416223526001
2010-06-29,6.8238067626953125
2010-06-30,6.781815052032471
2010-07-01,6.529858589172363
2010-07-02,6.500462532043457
2010-07-06,6.324095249176025
2010-07-07,6.298898220062256
2010-07-08,6.319894313812256
2010-07-09,6.634840965270996
2010-07-12,6.643238067626953
2010-07-13,6.886796951293945
2010-07-14,6.886796951293945
2010-07-15,6.8741984367370605
2010-07-16,6.802814483642578
2010-07-19,6.907793045043945
2010-07-20,6.798611640930176
2010-07-21,6.819606781005859
2010-07-22,6.949784755706787
2010-07-23,7.046371936798096
2010-07-26,7.411701679229736
2010-07-27,7.65526008605957
2010-07-28,7.529281139373779
2010-07-29,7.53348445892334
2010-07-30,7.558679580688477
2010-08-02,7.583876132965088
2010-08-03,7.516684055328369
2010-08-04,7.684656143188477
2010-08-05,7.659460544586182
2010-08-06,7.558679580688477
2010-08-09,7.579674243927002
2010-08-10,7.554476737976074
2010-08-11,7.394908905029297
2010-08-12,7.3487162590026855
2010-08-13,7.56707763671875
2010-08-16,7.8526291847229
2010-08-17,8.007999420166016
2010-08-18,8.314546585083008
2010-08-19,8.314546585083008
2010-08-20,8.352335929870605
2010-08-23,8.423727989196777
2010-08-24,8.394331932067871
2010-08-25,8.369133949279785
2010-08-26,8.398530960083008
2010-08-27,8.58329963684082
2010-08-30,8.490913391113281
2010-08-31,8.60849380493164
2010-09-01,8.82685661315918
2010-09-02,8.797462463378906
2010-09-03,8.873048782348633
2010-09-07,8.801657676696777
2010-09-08,8.81425952911377
2010-09-09,8.692476272583008
2010-09-10,8.730273246765137
2010-09-13,8.97802734375
2010-09-14,9.032620429992676
2010-09-15,9.053617477416992
2010-09-16,9.175396919250488
2010-09-17,9.343367576599121
2010-09-20,9.322369575500488
2010-09-21,9.326570510864258
2010-09-22,9.213188171386719
2010-09-23,9.175396919250488
2010-09-24,9.431551933288574
2010-09-27,9.70030403137207
2010-09-28,9.847280502319336
2010-09-29,9.918668746948242
2010-09-30,10.036246299743652
2010-10-01,10.023646354675293
2010-10-04,10.116029739379883
2010-10-05,10.409977912902832
2010-10-06,10.17061996459961
2010-10-07,10.267207145690918
2010-10-08,10.603143692016602
2010-10-11,10.985278129577637
2010-10-12,11.04407024383545
2010-10-13,11.325424194335938
2010-10-14,11.346417427062988
2010-10-15,11.128058433532715
2010-10-18,11.233031272888184
2010-10-19,11.136454582214355
2010-10-20,11.392608642578125
2010-10-21,11.573171615600586
2010-10-22,11.568976402282715
2010-10-25,11.741148948669434
2010-10-26,11.640362739562988
2010-10-27,11.42619800567627
2010-10-28,11.5521821975708
2010-10-29,11.279230117797852
2010-11-01,10.918087005615234
2010-11-02,11.182647705078125
2010-11-03,11.317022323608398
2010-11-04,11.51018238067627
2010-11-05,11.904918670654297
2010-11-08,12.114885330200195
2010-11-09,11.942712783813477
2010-11-10,11.900716781616211
2010-11-11,11.879721641540527
2010-11-12,11.505985260009766
2010-11-15,11.615167617797852
2010-11-16,11.212040901184082
2010-11-17,11.434597969055176
2010-11-18,11.627763748168945
2010-11-19,12.072887420654297
2010-11-22,12.463421821594238
2010-11-23,12.15687370300293
2010-11-24,12.387834548950195
2010-11-26,12.337442398071289
2010-11-29,12.492818832397461
2010-11-30,12.2660551071167
2010-12-01,12.547407150268555
2010-12-02,12.803559303283691
2010-12-03,12.81615924835205
2010-12-06,13.051319122314453
2010-12-07,13.269681930541992
2010-12-08,12.95893669128418
2010-12-09,12.853957176208496
2010-12-10,13.059717178344727
2010-12-13,13.37885856628418
2010-12-14,13.433450698852539
2010-12-15,13.332667350769043
2010-12-16,13.10170841217041
2010-12-17,13.383061408996582
2010-12-20,13.479643821716309
2010-12-21,13.668606758117676
2010-12-22,13.836579322814941
2010-12-23,13.828182220458984
2010-12-27,13.840781211853027
2010-12-28,13.975154876708984
2010-12-29,14.025550842285156
2010-12-30,14.17672061920166
2010-12-31,14.445478439331055
2011-01-03,14.512664794921875
2011-01-04,14.64283561706543
2011-01-05,14.634444236755371
2011-01-06,14.684831619262695
2011-01-07,14.53785514831543
2011-01-10,14.798213958740234
2011-01-11,15.314718246459961
2011-01-12,15.42810344696045
2011-01-13,15.285329818725586
2011-01-14,15.373512268066406
2011-01-18,15.327313423156738
2011-01-19,14.974583625793457
