Date,IMKTA
2010-01-04,10.40168571472168
2010-01-05,10.342763900756836
2010-01-06,10.28730583190918
2010-01-07,10.26650619506836
2010-01-08,10.28730583190918
2010-01-11,10.370490074157715
2010-01-12,10.217982292175293
2010-01-13,10.224916458129883
2010-01-14,10.238778114318848
2010-01-15,10.224916458129883
2010-01-19,10.252645492553711
2010-01-20,10.23184871673584
2010-01-21,10.065476417541504
2010-01-22,9.996156692504883
2010-01-25,9.705005645751953
2010-01-26,9.892169952392578
2010-01-27,9.829782485961914
2010-01-28,9.732731819152832
2010-01-29,9.815918922424316
2010-02-01,9.663410186767578
2010-02-02,9.573293685913086
2010-02-03,9.344533920288086
2010-02-04,9.212822914123535
2010-02-05,9.268277168273926
2010-02-08,9.136566162109375
2010-02-09,9.254414558410645
2010-02-10,9.136566162109375
2010-02-11,9.309873580932617
2010-02-12,9.358397483825684
2010-02-16,9.309873580932617
2010-02-17,9.587158203125
2010-02-18,9.705005645751953
2010-02-19,9.739664077758789
2010-02-22,9.8991060256958
2010-02-23,9.788192749023438
2010-02-24,9.822854042053223
2010-02-25,9.9476318359375
2010-02-26,9.767393112182617
2010-03-01,10.155595779418945
2010-03-02,10.190255165100098
2010-03-03,10.120935440063477
2010-03-04,9.9476318359375
2010-03-05,10.211051940917969
2010-03-08,10.162524223327637
2010-03-09,10.120935440063477
2010-03-10,10.28037166595459
2010-03-11,10.28730583190918
2010-03-12,10.308098793029785
2010-03-15,10.245712280273438
2010-03-16,10.335830688476562
2010-03-17,10.439811706542969
2010-03-18,10.488337516784668
2010-03-19,10.356624603271484
2010-03-22,10.425947189331055
2010-03-23,10.398219108581543
2010-03-24,10.308098793029785
2010-03-25,10.335830688476562
2010-03-26,10.495269775390625
2010-03-29,10.377423286437988
2010-03-30,10.453675270080566
2010-03-31,10.419013977050781
2010-04-01,10.474471092224121
2010-04-05,10.890401840209961
2010-04-06,10.893904685974121
2010-04-07,10.893904685974121
2010-04-08,10.865880012512207
2010-04-09,10.683731079101562
2010-04-12,10.746780395507812
2010-04-13,10.970966339111328
