Date,RBCAA
2010-01-04,12.99048900604248
2010-01-05,11.899438858032227
2010-01-06,11.459190368652344
2010-01-07,11.280547142028809
2010-01-08,11.427294731140137
2010-01-11,11.152935981750488
2010-01-12,10.878575325012207
2010-01-13,10.648884773254395
2010-01-14,10.719067573547363
2010-01-15,10.897719383239746
2010-01-19,11.216737747192383
2010-01-20,10.865818977355957
2010-01-21,11.044468879699707
2010-01-22,10.923239707946777
2010-01-25,10.719067573547363
2010-01-26,10.591462135314941
2010-01-27,10.699929237365723
2010-01-28,10.674405097961426
2010-01-29,10.59783935546875
2010-02-01,10.387284278869629
2010-02-02,10.106551170349121
2010-02-03,10.029986381530762
2010-02-04,9.793912887573242
2010-02-05,10.036365509033203
2010-02-08,9.749248504638672
2010-02-09,9.679064750671387
2010-02-10,9.64078140258789
2010-02-11,9.832195281982422
2010-02-12,9.915138244628906
2010-02-16,10.138449668884277
2010-02-17,10.157590866088867
2010-02-18,10.431951522827148
2010-02-19,10.585077285766602
2010-02-22,10.853057861328125
2010-02-23,10.84029483795166
2010-02-24,10.955142974853516
2010-02-25,10.923239707946777
2010-02-26,10.763733863830566
2010-03-01,11.114649772644043
2010-03-02,11.331585884094238
2010-03-03,11.36348819732666
2010-03-04,11.599563598632812
2010-03-05,11.593184471130371
2010-03-08,11.267780303955078
2010-03-09,11.242263793945312
2010-03-10,11.280547142028809
2010-03-11,11.172078132629395
2010-03-12,11.255023002624512
2010-03-15,11.10827350616455
2010-03-16,11.121036529541016
2010-03-17,11.34090805053711
2010-03-18,11.36662769317627
2010-03-19,11.655932426452637
2010-03-22,11.861663818359375
2010-03-23,11.990240097045898
2010-03-24,11.861663818359375
2010-03-25,11.861663818359375
2010-03-26,11.778083801269531
2010-03-29,11.919524192810059
2010-03-30,12.176690101623535
2010-03-31,12.112399101257324
2010-04-01,12.253835678100586
2010-04-05,12.465994834899902
2010-04-06,12.620294570922852
2010-04-07,12.851740837097168
2010-04-08,12.986753463745117
2010-04-09,12.639585494995117
2010-04-12,12.652442932128906
2010-04-13,12.871028900146484
2010-04-14,12.941749572753906
2010-04-15,13.102477073669434
2010-04-16,12.748875617980957
2010-04-19,12.922464370727539
2010-04-20,13.134623527526855
2010-04-21,13.700377464294434
2010-04-22,15.076201438903809
