Date,USD
2010-01-04,0.6731523871421814
2010-01-05,0.6706188321113586
2010-01-06,0.6667227149009705
2010-01-07,0.6562016010284424
2010-01-08,0.6729568839073181
2010-01-11,0.6729568839073181
2010-01-12,0.6332105994224548
2010-01-13,0.6482130289077759
2010-01-14,0.653668224811554
2010-01-15,0.6137274503707886
2010-01-19,0.6287301778793335
2010-01-20,0.628145694732666
2010-01-21,0.6193779706954956
2010-01-22,0.5628759264945984
2010-01-25,0.5776829719543457
2010-01-26,0.5661882162094116
2010-01-27,0.5806054472923279
2010-01-28,0.5539140105247498
2010-01-29,0.5178690552711487
2010-02-01,0.5412495136260986
2010-02-02,0.5572254061698914
2010-02-03,0.5548873543739319
2010-02-04,0.5118296146392822
2010-02-05,0.5336507558822632
2010-02-08,0.5289746522903442
2010-02-09,0.5428081154823303
2010-02-10,0.5476788878440857
2010-02-11,0.5704741477966309
2010-02-12,0.5841125249862671
2010-02-16,0.6057390570640564
2010-02-17,0.6080770492553711
2010-02-18,0.6100260615348816
2010-02-19,0.6123641729354858
2010-02-22,0.6113893985748291
2010-02-23,0.5813855528831482
2010-02-24,0.6008682250976562
2010-02-25,0.5956078767776489
2010-02-26,0.5944388508796692
2010-03-01,0.6215206384658813
2010-03-02,0.6189880967140198
2010-03-03,0.6090515851974487
2010-03-04,0.6096360087394714
2010-03-05,0.6236640810966492
2010-03-08,0.6238586902618408
2010-03-09,0.6238586902618408
2010-03-10,0.6441218256950378
2010-03-11,0.6394456624984741
2010-03-12,0.6367176175117493
2010-03-15,0.6275612115859985
2010-03-16,0.6624357104301453
2010-03-17,0.6830888986587524
2010-03-18,0.6743212342262268
2010-03-19,0.6546424627304077
2010-03-22,0.6776329278945923
2010-03-23,0.707053542137146
2010-03-24,0.6810294389724731
2010-03-25,0.6765421628952026
2010-03-26,0.671469509601593
2010-03-29,0.6781032085418701
2010-03-30,0.6829798817634583
2010-03-31,0.6769323348999023
2010-04-01,0.677712619304657
2010-04-05,0.7071697115898132
2010-04-06,0.6989762187004089
2010-04-07,0.7026834487915039
2010-04-08,0.6886376738548279
2010-04-09,0.7013170123100281
2010-04-12,0.7118514776229858
2010-04-13,0.7247270941734314
2010-04-14,0.7807157039642334
2010-04-15,0.8008085489273071
2010-04-16,0.778374433517456
2010-04-19,0.7688159942626953
2010-04-20,0.7855921983718872
2010-04-21,0.763938307762146
2010-04-22,0.7832513451576233
2010-04-23,0.7885184288024902
2010-04-26,0.7885184288024902
2010-04-27,0.7438453435897827
2010-04-28,0.7465765476226807
2010-04-29,0.7649140357971191
2010-04-30,0.7095105051994324
2010-05-03,0.7362369894981384
2010-05-04,0.6843450665473938
2010-05-05,0.6724453568458557
2010-05-06,0.631478488445282
2010-05-07,0.6082634329795837
2010-05-10,0.6765421628952026
2010-05-11,0.6665928959846497
2010-05-12,0.7116566896438599
2010-05-13,0.6722506880760193
2010-05-14,0.6328434348106384
2010-05-17,0.6486452221870422
2010-05-18,0.6117748618125916
2010-05-19,0.6197735071182251
2010-05-20,0.5797818899154663
2010-05-21,0.5985098481178284
2010-05-24,0.5815378427505493
2010-05-25,0.5899261236190796
2010-05-26,0.5850493907928467
2010-05-27,0.6418179273605347
2010-05-28,0.622114360332489
2010-06-01,0.5998750329017639
2010-06-02,0.6359654068946838
2010-06-03,0.6490356922149658
2010-06-04,0.5942175388336182
2010-06-07,0.5530555248260498
2010-06-08,0.5493491888046265
2010-06-09,0.5376445651054382
2010-06-10,0.5749043822288513
2010-06-11,0.5854387283325195
2010-06-14,0.5924615859985352
2010-06-15,0.6441590189933777
2010-06-16,0.6474747657775879
2010-06-17,0.6478650569915771
2010-06-18,0.6455239653587341
2010-06-21,0.631478488445282
2010-06-22,0.6123110055923462
2010-06-23,0.6101636290550232
2010-06-24,0.5806900858879089
2010-06-25,0.5802994966506958
2010-06-28,0.5871315002441406
2010-06-29,0.5426281690597534
2010-06-30,0.522523045539856
2010-07-01,0.518423855304718
2010-07-02,0.5131535530090332
2010-07-06,0.5158868432044983
2010-07-07,0.5631231665611267
2010-07-08,0.5617561936378479
2010-07-09,0.5744438171386719
2010-07-12,0.5884974598884583
2010-07-13,0.612896740436554
2010-07-14,0.6152387261390686
2010-07-15,0.617970883846283
2010-07-16,0.5830326676368713
2010-07-19,0.6130915880203247
2010-07-20,0.6107491850852966
2010-07-21,0.5888881087303162
2010-07-22,0.6228512525558472
2010-07-23,0.6242172122001648
2010-07-26,0.6372947692871094
2010-07-27,0.6306584477424622
2010-07-28,0.6101636290550232
2010-07-29,0.5877171754837036
2010-07-30,0.5709303617477417
2010-08-02,0.5941582322120667
2010-08-03,0.579713761806488
2010-08-04,0.5894736051559448
2010-08-05,0.5871315002441406
2010-08-06,0.5869355201721191
2010-08-09,0.5929870009422302
2010-08-10,0.5592190027236938
2010-08-11,0.522523045539856
2010-08-12,0.5137395262718201
2010-08-13,0.5024186372756958
2010-08-16,0.5112022757530212
2010-08-17,0.5211570262908936
2010-08-18,0.5318920612335205
2010-08-19,0.5074939131736755
2010-08-20,0.5108116865158081
2010-08-23,0.49929603934288025
2010-08-24,0.4830949008464813
2010-08-25,0.489145427942276
2010-08-26,0.4715784788131714
2010-08-27,0.48758465051651
2010-08-30,0.46435675024986267
2010-08-31,0.44737526774406433
2010-09-01,0.4721640944480896
2010-09-02,0.4885600209236145
2010-09-03,0.5026135444641113
2010-09-07,0.4830949008464813
2010-09-08,0.47977638244628906
2010-09-09,0.4823145866394043
2010-09-10,0.4729452431201935
2010-09-13,0.503589928150177
