Date,NATL
2023-10-11,23.0
2023-10-12,20.719999313354492
2023-10-13,20.799999237060547
2023-10-16,20.940000534057617
2023-10-17,21.34000015258789
2023-10-18,21.309999465942383
2023-10-19,22.100000381469727
2023-10-20,22.700000762939453
2023-10-23,22.15999984741211
2023-10-24,23.579999923706055
2023-10-25,22.010000228881836
2023-10-26,22.260000228881836
2023-10-27,22.459999084472656
2023-10-30,22.049999237060547
2023-10-31,22.059999465942383
2023-11-01,22.09000015258789
2023-11-02,23.1200008392334
2023-11-03,23.420000076293945
2023-11-06,24.549999237060547
2023-11-07,24.149999618530273
2023-11-08,23.93000030517578
2023-11-09,23.1299991607666
2023-11-10,23.489999771118164
2023-11-13,24.399999618530273
2023-11-14,24.31999969482422
2023-11-15,24.799999237060547
2023-11-16,23.079999923706055
2023-11-17,22.440000534057617
2023-11-20,22.149999618530273
2023-11-21,22.729999542236328
2023-11-22,22.829999923706055
2023-11-24,23.299999237060547
2023-11-27,23.34000015258789
2023-11-28,23.239999771118164
2023-11-29,22.450000762939453
2023-11-30,22.209999084472656
2023-12-01,22.3799991607666
2023-12-04,22.309999465942383
2023-12-05,22.6299991607666
2023-12-06,22.25
2023-12-07,21.860000610351562
2023-12-08,21.8799991607666
2023-12-11,21.56999969482422
2023-12-12,21.90999984741211
2023-12-13,21.920000076293945
2023-12-14,22.110000610351562
2023-12-15,22.81999969482422
2023-12-18,23.700000762939453
2023-12-19,24.0
2023-12-20,23.899999618530273
2023-12-21,24.860000610351562
2023-12-22,25.420000076293945
2023-12-26,24.700000762939453
2023-12-27,24.440000534057617
2023-12-28,24.450000762939453
2023-12-29,24.290000915527344
2024-01-02,23.739999771118164
2024-01-03,22.65999984741211
2024-01-04,22.239999771118164
2024-01-05,23.309999465942383
2024-01-08,23.110000610351562
2024-01-09,22.639999389648438
2024-01-10,22.65999984741211
2024-01-11,22.280000686645508
2024-01-12,22.149999618530273
2024-01-16,21.989999771118164
2024-01-17,21.530000686645508
2024-01-18,21.940000534057617
2024-01-19,22.059999465942383
2024-01-22,22.530000686645508
2024-01-23,22.6299991607666
2024-01-24,21.969999313354492
2024-01-25,22.280000686645508
2024-01-26,22.649999618530273
2024-01-29,22.860000610351562
2024-01-30,22.950000762939453
2024-01-31,22.389999389648438
2024-02-01,22.170000076293945
2024-02-02,22.020000457763672
2024-02-05,21.889999389648438
2024-02-06,21.780000686645508
2024-02-07,21.90999984741211
2024-02-08,22.75
2024-02-09,23.399999618530273
2024-02-12,23.6299991607666
2024-02-13,22.75
2024-02-14,21.579999923706055
2024-02-15,21.850000381469727
2024-02-16,21.899999618530273
2024-02-20,21.520000457763672
2024-02-21,20.639999389648438
2024-02-22,20.700000762939453
2024-02-23,21.06999969482422
2024-02-26,21.190000534057617
2024-02-27,20.950000762939453
2024-02-28,21.190000534057617
2024-02-29,21.760000228881836
2024-03-01,21.149999618530273
2024-03-04,20.389999389648438
2024-03-05,19.979999542236328
2024-03-06,19.649999618530273
2024-03-07,19.530000686645508
2024-03-08,19.459999084472656
2024-03-11,19.670000076293945
2024-03-12,19.969999313354492
2024-03-13,19.959999084472656
2024-03-14,20.200000762939453
2024-03-15,19.979999542236328
2024-03-18,19.760000228881836
2024-03-19,19.610000610351562
2024-03-20,19.860000610351562
2024-03-21,19.6299991607666
2024-03-22,18.899999618530273
2024-03-25,19.139999389648438
2024-03-26,19.299999237060547
2024-03-27,19.829999923706055
2024-03-28,19.75
2024-04-01,19.5
2024-04-02,19.309999465942383
2024-04-03,19.350000381469727
2024-04-04,19.100000381469727
2024-04-05,19.110000610351562
2024-04-08,19.899999618530273
2024-04-09,21.239999771118164
2024-04-10,21.549999237060547
2024-04-11,21.079999923706055
2024-04-12,21.049999237060547
2024-04-15,20.40999984741211
2024-04-16,20.920000076293945
2024-04-17,20.68000030517578
2024-04-18,20.989999771118164
2024-04-19,21.059999465942383
2024-04-22,21.139999389648438
2024-04-23,22.1299991607666
2024-04-24,21.889999389648438
2024-04-25,21.530000686645508
2024-04-26,21.059999465942383
2024-04-29,20.639999389648438
2024-04-30,19.93000030517578
2024-05-01,20.56999969482422
2024-05-02,21.200000762939453
2024-05-03,21.479999542236328
2024-05-06,21.760000228881836
2024-05-07,22.3799991607666
2024-05-08,22.729999542236328
2024-05-09,22.40999984741211
2024-05-10,22.709999084472656
2024-05-13,22.549999237060547
2024-05-14,25.56999969482422
2024-05-15,26.440000534057617
2024-05-16,28.350000381469727
2024-05-17,28.5
2024-05-20,28.559999465942383
2024-05-21,28.139999389648438
2024-05-22,27.700000762939453
2024-05-23,27.799999237060547
2024-05-24,28.329999923706055
2024-05-28,27.479999542236328
2024-05-29,27.270000457763672
2024-05-30,27.75
2024-05-31,27.829999923706055
2024-06-03,27.75
2024-06-04,26.780000686645508
2024-06-05,27.329999923706055
2024-06-06,26.81999969482422
2024-06-07,27.110000610351562
2024-06-10,26.969999313354492
2024-06-11,26.860000610351562
2024-06-12,27.690000534057617
2024-06-13,28.31999969482422
2024-06-14,28.3799991607666
2024-06-17,28.84000015258789
2024-06-18,28.020000457763672
2024-06-20,27.34000015258789
2024-06-21,27.649999618530273
2024-06-24,28.610000610351562
2024-06-25,28.329999923706055
2024-06-26,28.31999969482422
2024-06-27,26.920000076293945
2024-06-28,27.020000457763672
2024-07-01,28.899999618530273
2024-07-02,28.68000030517578
2024-07-03,29.239999771118164
2024-07-05,28.5
2024-07-08,28.75
2024-07-09,28.25
2024-07-10,27.450000762939453
2024-07-11,27.889999389648438
2024-07-12,30.049999237060547
