Date,K
2010-01-04,29.727760314941406
2010-01-05,29.795297622680664
2010-01-06,29.80092430114746
2010-01-07,30.093530654907227
2010-01-08,30.037260055541992
2010-01-11,30.054136276245117
2010-01-12,30.042879104614258
2010-01-13,30.228574752807617
2010-01-14,30.301725387573242
2010-01-15,30.57746124267578
2010-01-19,30.66748809814453
2010-01-20,30.31298828125
2010-01-21,30.07102394104004
2010-01-22,30.57746124267578
2010-01-25,30.481796264648438
2010-01-26,30.86444664001465
2010-01-27,30.976980209350586
2010-01-28,30.84192657470703
2010-01-29,30.622474670410156
2010-02-01,30.791284561157227
2010-02-02,31.15142059326172
2010-02-03,31.055761337280273
2010-02-04,29.491437911987305
2010-02-05,29.665861129760742
2010-02-08,29.266338348388672
2010-02-09,29.536449432373047
2010-02-10,29.446413040161133
2010-02-11,29.60960578918457
2010-02-12,29.452041625976562
2010-02-16,29.598342895507812
2010-02-17,29.812177658081055
2010-02-18,29.829057693481445
2010-02-19,29.935977935791016
2010-02-22,29.744644165039062
2010-02-23,29.671504974365234
2010-02-24,29.485803604125977
2010-02-25,29.43517303466797
2010-02-26,29.557018280029297
2010-03-01,29.562685012817383
2010-03-02,29.817737579345703
2010-03-03,29.795074462890625
2010-03-04,29.840404510498047
2010-03-05,29.999109268188477
2010-03-08,29.82340431213379
2010-03-09,29.715713500976562
2010-03-10,29.761056900024414
2010-03-11,29.863065719604492
2010-03-12,29.749725341796875
2010-03-15,29.761056900024414
2010-03-16,29.942419052124023
2010-03-17,30.016096115112305
2010-03-18,29.948087692260742
2010-03-19,30.282482147216797
2010-03-22,30.69622802734375
2010-03-23,31.03627586364746
2010-03-24,30.951278686523438
2010-03-25,30.7415771484375
2010-03-26,30.469524383544922
2010-03-29,30.526195526123047
2010-03-30,30.4638614654541
2010-03-31,30.282482147216797
2010-04-01,30.384502410888672
2010-04-05,30.11812400817871
2010-04-06,30.061443328857422
2010-04-07,29.840404510498047
2010-04-08,29.647705078125
2010-04-09,29.931093215942383
2010-04-12,30.084125518798828
2010-04-13,30.10679054260254
2010-04-14,30.333505630493164
2010-04-15,30.344823837280273
2010-04-16,30.628210067749023
2010-04-19,30.480850219726562
2010-04-20,30.384502410888672
2010-04-21,30.5318546295166
2010-04-22,30.59421157836914
2010-04-23,30.39016342163086
2010-04-26,30.231462478637695
2010-04-27,29.715713500976562
2010-04-28,29.800718307495117
2010-04-29,31.17797088623047
2010-04-30,31.138307571411133
2010-05-03,31.024944305419922
2010-05-04,30.679227828979492
2010-05-05,31.024944305419922
2010-05-06,30.441177368164062
2010-05-07,29.948087692260742
2010-05-10,30.747243881225586
2010-05-11,30.820911407470703
2010-05-12,31.109970092773438
2010-05-13,30.962610244750977
2010-05-14,30.888927459716797
2010-05-17,31.501033782958984
2010-05-18,31.433027267456055
2010-05-19,31.268667221069336
2010-05-20,30.469524383544922
2010-05-21,30.650876998901367
2010-05-24,30.58287811279297
2010-05-25,30.282482147216797
2010-05-26,29.987764358520508
2010-05-27,30.58998680114746
2010-05-28,30.498641967773438
2010-06-01,30.58998680114746
2010-06-02,31.36057472229004
2010-06-03,31.457624435424805
2010-06-04,30.378772735595703
2010-06-07,30.532901763916016
2010-06-08,31.023799896240234
2010-06-09,30.812602996826172
2010-06-10,31.012374877929688
2010-06-11,30.629928588867188
2010-06-14,31.092294692993164
2010-06-15,31.177915573120117
2010-06-16,30.938182830810547
2010-06-17,31.280664443969727
2010-06-18,31.092294692993164
2010-06-21,30.80118179321289
2010-06-22,30.527193069458008
2010-06-23,30.470117568969727
2010-06-24,30.173276901245117
2010-06-25,29.922128677368164
2010-06-28,29.97349739074707
2010-06-29,29.539669036865234
2010-06-30,28.711994171142578
2010-07-01,28.980283737182617
2010-07-02,28.92319107055664
2010-07-06,29.288522720336914
2010-07-07,29.676673889160156
2010-07-08,29.648136138916016
2010-07-09,29.551097869873047
2010-07-12,29.471174240112305
2010-07-13,29.65384292602539
2010-07-14,29.71662712097168
