Date,CSX
2010-01-04,4.117818832397461
2010-01-05,4.226538181304932
2010-01-06,4.240020751953125
2010-01-07,4.2105255126953125
2010-01-08,4.414478302001953
2010-01-11,4.370652198791504
2010-01-12,4.273731231689453
2010-01-13,4.299858570098877
2010-01-14,4.260247707366943
2010-01-15,4.217266082763672
2010-01-19,4.256876468658447
2010-01-20,3.9905598163604736
2010-01-21,3.8228466510772705
2010-01-22,3.71834135055542
2010-01-25,3.788292646408081
2010-01-26,3.81778883934021
2010-01-27,3.8380162715911865
2010-01-28,3.681260108947754
2010-01-29,3.6121511459350586
2010-02-01,3.6938998699188232
2010-02-02,3.7486815452575684
2010-02-03,3.7090704441070557
2010-02-04,3.5674855709075928
2010-02-05,3.6172091960906982
2010-02-08,3.5826549530029297
2010-02-09,3.6306934356689453
2010-02-10,3.6306934356689453
2010-02-11,3.7975642681121826
2010-02-12,3.7840795516967773
2010-02-16,3.886054039001465
2010-02-17,3.886054039001465
2010-02-18,3.910494804382324
2010-02-19,3.941678524017334
2010-02-22,3.945892333984375
2010-02-23,3.9610602855682373
2010-02-24,4.005110740661621
2010-02-25,4.026288986206055
2010-02-26,4.020360469818115
2010-03-01,4.093211650848389
2010-03-02,4.105917453765869
2010-03-03,4.064407825469971
2010-03-04,4.0711870193481445
2010-03-05,4.148273468017578
2010-03-08,4.153355121612549
2010-03-09,4.194863319396973
2010-03-10,4.2262043952941895
2010-03-11,4.29312801361084
2010-03-12,4.31854248046875
2010-03-15,4.330399513244629
2010-03-16,4.365978240966797
2010-03-17,4.339719295501709
2010-03-18,4.392239093780518
2010-03-19,4.363436698913574
2010-03-22,4.388004779815674
2010-03-23,4.383767604827881
2010-03-24,4.328705787658691
2010-03-25,4.335483074188232
2010-03-26,4.319387435913086
2010-03-29,4.363436698913574
2010-03-30,4.348188877105713
2010-03-31,4.311764717102051
2010-04-01,4.421887397766113
2010-04-05,4.456618309020996
2010-04-06,4.443911075592041
2010-04-07,4.398167133331299
2010-04-08,4.487961769104004
2010-04-09,4.486268997192383
2010-04-12,4.479490756988525
2010-04-13,4.513376235961914
2010-04-14,4.698043346405029
2010-04-15,4.680252552032471
2010-04-16,4.611639499664307
2010-04-19,4.591306209564209
2010-04-20,4.67686653137207
2010-04-21,4.70058536529541
2010-04-22,4.7183732986450195
2010-04-23,4.813247203826904
2010-04-26,4.828498840332031
2010-04-27,4.720069408416748
2010-04-28,4.733621120452881
2010-04-29,4.85221529006958
2010-04-30,4.748022079467773
2010-05-03,4.870852470397949
2010-05-04,4.687031269073486
2010-05-05,4.55911922454834
2010-05-06,4.500666618347168
2010-05-07,4.461700916290283
2010-05-10,4.680252552032471
2010-05-11,4.7082085609436035
2010-05-12,4.806472301483154
2010-05-13,4.739550590515137
2010-05-14,4.661618709564209
2010-05-17,4.631119728088379
2010-05-18,4.565047264099121
2010-05-19,4.499821186065674
2010-05-20,4.215192794799805
2010-05-21,4.327859401702881
2010-05-24,4.275338649749756
2010-05-25,4.276185035705566
2010-05-26,4.325552463531494
2010-05-27,4.478760242462158
