Date,OGS
2014-01-16,23.62494468688965
2014-01-17,23.760555267333984
2014-01-21,23.81766128540039
2014-01-22,23.981815338134766
2014-01-23,23.953266143798828
2014-01-24,23.796236038208008
2014-01-27,23.796236038208008
2014-01-28,23.9960880279541
2014-01-29,24.06032943725586
2014-01-30,24.217342376708984
2014-01-31,24.352968215942383
2014-02-03,24.003225326538086
2014-02-04,23.710594177246094
2014-02-05,23.717723846435547
2014-02-06,23.83907127380371
2014-02-07,23.539291381835938
2014-02-10,23.19669532775879
2014-02-11,23.439373016357422
2014-02-12,23.01826286315918
2014-02-13,23.20383071899414
2014-02-14,23.632080078125
2014-02-18,23.68918228149414
2014-02-19,23.62494468688965
2014-02-20,23.653491973876953
2014-02-21,23.724872589111328
2014-02-24,23.667762756347656
2014-02-25,23.510744094848633
2014-02-26,23.682037353515625
2014-02-27,23.710594177246094
2014-02-28,24.253034591674805
2014-03-03,24.888275146484375
2014-03-04,25.102392196655273
2014-03-05,25.259410858154297
2014-03-06,25.523500442504883
2014-03-07,25.437850952148438
2014-03-10,25.095256805419922
2014-03-11,24.8311710357666
2014-03-12,25.473539352416992
2014-03-13,25.352205276489258
2014-03-14,25.75904083251953
2014-03-17,25.966020584106445
2014-03-18,26.13732147216797
2014-03-19,25.64484214782715
2014-03-20,25.82328224182129
2014-03-21,25.858963012695312
2014-03-24,25.523500442504883
2014-03-25,25.4093017578125
2014-03-26,24.83831024169922
2014-03-27,25.052433013916016
2014-03-28,25.052433013916016
2014-03-31,25.64484214782715
2014-04-01,25.78045082092285
2014-04-02,26.04454231262207
2014-04-03,25.858963012695312
2014-04-04,26.115903854370117
2014-04-07,25.92319679260254
2014-04-08,25.9089298248291
2014-04-09,25.544912338256836
2014-04-10,25.180908203125
2014-04-11,25.00246238708496
2014-04-14,25.266555786132812
2014-04-15,25.380752563476562
2014-04-16,25.63056755065918
2014-04-17,25.609153747558594
2014-04-21,25.67338752746582
2014-04-22,25.587743759155273
2014-04-23,25.651975631713867
2014-04-24,26.05880355834961
2014-04-25,26.080223083496094
2014-04-28,26.08022117614746
2014-04-29,26.0082950592041
2014-04-30,26.310386657714844
2014-05-01,26.51177406311035
2014-05-02,26.17372703552246
2014-05-05,26.101802825927734
2014-05-06,26.17372703552246
2014-05-07,26.288808822631836
2014-05-08,25.655858993530273
2014-05-09,25.85005760192871
2014-05-12,25.993907928466797
2014-05-13,25.886024475097656
2014-05-14,26.0082950592041
2014-05-15,25.943565368652344
2014-05-16,26.13776397705078
2014-05-19,25.78533363342285
2014-05-20,25.734981536865234
2014-05-21,25.619905471801758
2014-05-22,25.943565368652344
2014-05-23,26.044281005859375
2014-05-27,26.3751163482666
2014-05-28,26.720365524291992
2014-05-29,26.331966400146484
2014-05-30,26.34634780883789
2014-06-02,26.360733032226562
2014-06-03,25.900409698486328
2014-06-04,26.439847946166992
2014-06-05,26.569313049316406
2014-06-06,26.461429595947266
2014-06-09,26.835437774658203
2014-06-10,26.79947853088379
2014-06-11,26.67001724243164
2014-06-12,26.72754669189453
2014-06-13,27.216655731201172
2014-06-16,27.02245330810547
2014-06-17,27.03683853149414
2014-06-18,27.11595344543457
2014-06-19,26.900178909301758
2014-06-20,27.353307723999023
2014-06-23,27.317340850830078
2014-06-24,27.554704666137695
2014-06-25,27.727317810058594
2014-06-26,27.36050033569336
2014-06-27,27.15910530090332
2014-06-30,27.151920318603516
2014-07-01,26.885791778564453
2014-07-02,26.79228401184082
2014-07-03,26.67001724243164
2014-07-07,26.296001434326172
2014-07-08,26.396696090698242
2014-07-09,26.504581451416016
2014-07-10,26.61247444152832
2014-07-11,26.569313049316406
2014-07-14,26.63405418395996
2014-07-15,26.648433685302734
2014-07-16,26.583703994750977
2014-07-17,26.73474884033203
2014-07-18,27.13033103942871
2014-07-21,26.9217586517334
2014-07-22,27.166296005249023
2014-07-23,27.238224029541016
2014-07-24,27.569087982177734
2014-07-25,27.051210403442383
2014-07-28,27.25980567932129
2014-07-29,27.151920318603516
2014-07-30,26.709884643554688
2014-07-31,26.086708068847656
2014-08-01,25.920045852661133
2014-08-04,26.21714210510254
2014-08-05,25.876554489135742
2014-08-06,25.38381576538086
2014-08-07,25.391063690185547
2014-08-08,25.767866134643555
2014-08-11,25.521495819091797
2014-08-12,25.61569595336914
2014-08-13,25.71714973449707
2014-08-14,26.2606143951416
2014-08-15,26.731630325317383
2014-08-18,26.470760345458984
2014-08-19,26.804086685180664
2014-08-20,26.898296356201172
2014-08-21,26.782350540161133
2014-08-22,26.65192222595215
2014-08-25,26.673664093017578
2014-08-26,26.644672393798828
2014-08-27,27.0214900970459
2014-08-28,26.82583236694336
2014-08-29,27.122928619384766
2014-09-02,26.992483139038086
2014-09-03,26.811336517333984
2014-09-04,26.85482406616211
2014-09-05,27.07220458984375
2014-09-08,27.115678787231445
2014-09-09,26.804086685180664
2014-09-10,26.73887062072754
2014-09-11,26.94176483154297
2014-09-12,26.2388858795166
2014-09-15,26.1229305267334
2014-09-16,26.36931037902832
2014-09-17,26.289608001708984
2014-09-18,26.34757423400879
2014-09-19,26.57220458984375
2014-09-22,26.035985946655273
2014-09-23,25.978012084960938
2014-09-24,25.651933670043945
2014-09-25,25.32585334777832
2014-09-26,25.20265769958496
2014-09-29,25.14469337463379
2014-09-30,24.818601608276367
2014-10-01,24.840343475341797
2014-10-02,24.854833602905273
2014-10-03,25.31135368347168
2014-10-06,25.275117874145508
2014-10-07,25.072227478027344
2014-10-08,25.876554489135742
2014-10-09,25.014245986938477
2014-10-10,25.28961753845215
