Date,HR
2010-01-04,6.68016242980957
2010-01-05,6.6863694190979
2010-01-06,6.580830097198486
2010-01-07,6.633599758148193
2010-01-08,6.5839338302612305
2010-01-11,6.627391815185547
2010-01-12,6.540474891662598
2010-01-13,6.7360382080078125
2010-01-14,6.7236223220825195
2010-01-15,6.711202621459961
2010-01-19,6.903660774230957
2010-01-20,6.810535430908203
2010-01-21,6.664639472961426
2010-01-22,6.555996894836426
2010-01-25,6.62428617477417
2010-01-26,6.5994553565979
2010-01-27,6.62428617477417
2010-01-28,6.5622029304504395
2010-01-29,6.509431838989258
2010-02-01,6.630493640899658
2010-02-02,6.729827880859375
2010-02-03,6.701892852783203
2010-02-04,6.41940975189209
2010-02-05,6.478390693664551
2010-02-08,6.248683929443359
2010-02-09,6.211431980133057
2010-02-10,6.2083282470703125
2010-02-11,6.236265659332275
2010-02-12,6.289038181304932
2010-02-16,6.418219566345215
2010-02-17,6.471785068511963
2010-02-18,6.553706169128418
2010-02-19,6.566308975219727
2010-02-22,6.5883660316467285
2010-02-23,6.433974742889404
2010-02-24,6.515896797180176
2010-02-25,6.512745380401611
2010-02-26,6.582062721252441
2010-03-01,6.629323482513428
2010-03-02,6.645081520080566
2010-03-03,6.600968837738037
2010-03-04,6.686038017272949
2010-03-05,6.834126949310303
2010-03-08,6.950708389282227
2010-03-09,7.007425785064697
2010-03-10,7.114548206329346
2010-03-11,7.161813259124756
2010-03-12,7.262640476226807
2010-03-15,7.215378761291504
2010-03-16,7.473742961883545
2010-03-17,7.5367584228515625
2010-03-18,7.527304649353027
2010-03-19,7.539911270141602
2010-03-22,7.681702613830566
2010-03-23,7.568268775939941
2010-03-24,7.602931022644043
2010-03-25,7.587172508239746
2010-03-26,7.543064594268799
2010-03-29,7.4989519119262695
2010-03-30,7.448537826538086
2010-03-31,7.338257789611816
2010-04-01,7.347713947296143
2010-04-05,7.511551856994629
2010-04-06,7.571418285369873
2010-04-07,7.489499092102051
2010-04-08,7.457986831665039
2010-04-09,7.590327739715576
2010-04-12,7.549363136291504
2010-04-13,7.624986171722412
