Date,SPG
2010-01-04,37.742252349853516
2010-01-05,37.483985900878906
2010-01-06,37.06313705444336
2010-01-07,37.54616165161133
2010-01-08,36.64707565307617
2010-01-11,36.68054962158203
2010-01-12,35.95841979980469
2010-01-13,36.321861267089844
2010-01-14,36.48448181152344
2010-01-15,35.814964294433594
2010-01-19,36.66143035888672
2010-01-20,35.810176849365234
2010-01-21,34.67677307128906
2010-01-22,33.7585563659668
2010-01-25,34.48067855834961
2010-01-26,34.34199142456055
2010-01-27,34.6241455078125
2010-01-28,34.47111129760742
2010-01-29,34.43284225463867
2010-02-01,35.183685302734375
2010-02-02,35.61408615112305
2010-02-03,34.81544494628906
2010-02-04,33.21336364746094
2010-02-05,35.083251953125
2010-02-08,33.82072448730469
2010-02-09,33.7585563659668
2010-02-10,33.60549545288086
2010-02-11,34.37726974487305
2010-02-12,34.7293815612793
2010-02-16,36.08964157104492
2010-02-17,36.58645248413086
2010-02-18,37.24727249145508
2010-02-19,37.48845291137695
2010-02-22,37.93220901489258
2010-02-23,37.58009719848633
2010-02-24,37.396785736083984
2010-02-25,37.869510650634766
2010-02-26,37.76340103149414
2010-03-01,37.81645584106445
2010-03-02,37.628334045410156
2010-03-03,37.36302185058594
2010-03-04,37.43539047241211
2010-03-05,38.313262939453125
2010-03-08,38.48692321777344
2010-03-09,38.98373794555664
2010-03-10,38.959625244140625
2010-03-11,39.04161834716797
2010-03-12,39.591514587402344
2010-03-15,39.49504089355469
2010-03-16,40.604454040527344
2010-03-17,41.313499450683594
2010-03-18,40.787742614746094
2010-03-19,40.29573440551758
2010-03-22,40.98550796508789
2010-03-23,40.72502899169922
2010-03-24,40.76362228393555
2010-03-25,41.25563430786133
2010-03-26,41.00481414794922
2010-03-29,41.07230758666992
2010-03-30,41.077144622802734
2010-03-31,40.46938705444336
2010-04-01,40.74433898925781
2010-04-05,41.54985427856445
2010-04-06,42.30712890625
2010-04-07,40.77326583862305
2010-04-08,40.8697395324707
2010-04-09,41.5257453918457
2010-04-12,41.014442443847656
2010-04-13,42.53385925292969
2010-04-14,42.42291259765625
2010-04-15,41.014442443847656
2010-04-16,39.683143615722656
2010-04-19,39.987030029296875
2010-04-20,40.835968017578125
2010-04-21,41.959861755371094
2010-04-22,42.63515853881836
2010-04-23,43.19949722290039
2010-04-26,43.69631576538086
2010-04-27,42.196197509765625
2010-04-28,42.26856994628906
2010-04-29,44.57902145385742
