Date,CATY
2010-01-04,5.799727439880371
2010-01-05,5.842165946960449
2010-01-06,5.9553303718566895
2010-01-07,6.280683517456055
2010-01-08,6.507015705108643
2010-01-11,6.407994270324707
2010-01-12,6.379702568054199
2010-01-13,6.443357467651367
2010-01-14,6.740416049957275
2010-01-15,6.697981834411621
2010-01-19,6.789926052093506
2010-01-20,6.860654354095459
2010-01-21,7.341609954833984
2010-01-22,6.973820209503174
2010-01-25,6.995041370391846
2010-01-26,6.9596781730651855
2010-01-27,7.207223415374756
2010-01-28,7.1718621253967285
2010-01-29,6.775780200958252
2010-02-01,6.6060333251953125
2010-02-02,6.761634349822998
2010-02-03,6.591887950897217
2010-02-04,6.365558624267578
2010-02-05,6.365558624267578
2010-02-08,6.259463787078857
2010-02-09,6.365558624267578
2010-02-10,6.35141134262085
2010-02-11,6.301901340484619
2010-02-12,6.415065765380859
2010-02-16,6.620179176330566
2010-02-17,6.627252578735352
2010-02-18,6.697981834411621
2010-02-19,6.818218231201172
2010-02-22,7.030404567718506
2010-02-23,6.853579998016357
2010-02-24,6.980892658233643
2010-02-25,6.995055675506592
2010-02-26,6.903012275695801
2010-03-01,6.903012275695801
2010-03-02,6.931333541870117
2010-03-03,6.938416004180908
2010-03-04,6.846372604370117
2010-03-05,7.172054767608643
2010-03-08,7.122494220733643
2010-03-09,7.249933242797852
2010-03-10,7.667655944824219
2010-03-11,7.979178428649902
2010-03-12,7.872975826263428
2010-03-15,7.653496265411377
2010-03-16,7.8304948806762695
2010-03-17,8.170334815979004
2010-03-18,7.901293754577637
2010-03-19,7.858818531036377
2010-03-22,8.071215629577637
2010-03-23,8.18449592590332
2010-03-24,8.389815330505371
2010-03-25,8.340258598327637
2010-03-26,8.241137504577637
2010-03-29,8.191577911376953
2010-03-30,8.035816192626953
2010-03-31,8.22697639465332
2010-04-01,8.269455909729004
2010-04-05,8.481856346130371
2010-04-06,8.956216812133789
2010-04-07,8.934977531433105
2010-04-08,9.126137733459473
2010-04-09,9.147377967834473
2010-04-12,9.16861629486084
2010-04-13,9.11197566986084
2010-04-14,9.47305965423584
2010-04-15,9.70670223236084
2010-04-16,9.296059608459473
2010-04-19,9.225258827209473
2010-04-20,9.246498107910156
2010-04-21,9.855377197265625
2010-04-22,10.258940696716309
2010-04-23,10.407622337341309
2010-04-26,9.947422981262207
2010-04-27,9.70670223236084
2010-04-28,9.735020637512207
2010-04-29,8.857097625732422
2010-04-30,8.729656219482422
2010-05-03,8.786298751831055
2010-05-04,8.411059379577637
2010-05-05,8.878336906433105
2010-05-06,8.559736251831055
2010-05-07,8.43937873840332
2010-05-10,9.133216857910156
2010-05-11,9.239419937133789
2010-05-12,9.494297981262207
2010-05-13,9.381019592285156
2010-05-14,9.027016639709473
2010-05-17,9.119057655334473
2010-05-18,8.892499923706055
2010-05-19,8.708418846130371
2010-05-20,7.872975826263428
2010-05-21,8.269455909729004
2010-05-24,7.9437785148620605
2010-05-25,7.8446550369262695
2010-05-26,7.816333770751953
2010-05-27,8.007668495178223
2010-05-28,7.809248447418213
2010-06-01,7.525792121887207
2010-06-02,7.9722371101379395
2010-06-03,7.986412048339844
2010-06-04,7.355716705322266
2010-06-07,7.447842597961426
2010-06-08,7.447842597961426
2010-06-09,7.199810981750488
2010-06-10,7.490359306335449
2010-06-11,7.731297016143799
2010-06-14,7.568310737609863
2010-06-15,7.802161693572998
2010-06-16,8.050187110900879
2010-06-17,7.795074939727783
2010-06-18,7.965151309967041
2010-06-21,7.9934983253479
2010-06-22,7.780902862548828
2010-06-23,7.7596435546875
2010-06-24,7.617914199829102
2010-06-25,7.901370525360107
2010-06-28,7.752557277679443
2010-06-29,7.3273725509643555
2010-06-30,7.320289134979248
2010-07-01,7.284853458404541
2010-07-02,7.015567302703857
2010-07-06,6.923444747924805
2010-07-07,7.4336652755737305
2010-07-08,7.511617660522461
