Date,BCPC
2010-01-04,21.035606384277344
2010-01-05,20.213714599609375
2010-01-06,19.472156524658203
2010-01-07,20.213714599609375
2010-01-08,20.436185836791992
2010-01-11,20.053041458129883
2010-01-12,20.083942413330078
2010-01-13,20.28169059753418
2010-01-14,20.18281364440918
2010-01-15,19.892370223999023
2010-01-19,20.219894409179688
2010-01-20,20.040681838989258
2010-01-21,20.865671157836914
2010-01-22,19.706979751586914
2010-01-25,19.503055572509766
2010-01-26,18.78929901123047
2010-01-27,19.2156982421875
2010-01-28,18.399980545043945
2010-01-29,17.973581314086914
2010-02-01,18.075544357299805
2010-02-02,17.936508178710938
2010-02-03,17.79746437072754
2010-02-04,17.194944381713867
2010-02-05,17.30617904663086
2010-02-08,16.93539810180664
2010-02-09,17.15786361694336
2010-02-10,17.41741180419922
2010-02-11,17.83453941345215
2010-02-12,18.08481788635254
2010-02-16,18.446327209472656
2010-02-17,19.521589279174805
2010-02-18,20.20753288269043
2010-02-19,20.392921447753906
2010-02-22,20.800783157348633
2010-02-23,20.346576690673828
2010-02-24,20.226070404052734
2010-02-25,20.198265075683594
2010-02-26,20.30949592590332
2010-03-01,21.282798767089844
2010-03-02,21.134483337402344
2010-03-03,21.30133628845215
2010-03-04,21.347686767578125
2010-03-05,21.755538940429688
2010-03-08,21.746273040771484
2010-03-09,22.061437606811523
2010-03-10,22.154130935668945
2010-03-11,22.274635314941406
2010-03-12,22.432218551635742
2010-03-15,22.413679122924805
2010-03-16,22.710302352905273
2010-03-17,22.877153396606445
2010-03-18,23.09035301208496
2010-03-19,22.441484451293945
2010-03-22,22.969846725463867
2010-03-23,23.14596939086914
2010-03-24,22.830801010131836
2010-03-25,22.469295501708984
2010-03-26,22.358060836791992
2010-03-29,22.877153396606445
2010-03-30,23.025466918945312
2010-03-31,22.84934425354004
2010-04-01,22.99765396118164
2010-04-05,23.424055099487305
2010-04-06,23.600173950195312
2010-04-07,23.516752243041992
2010-04-08,23.099620819091797
2010-04-09,23.08108139038086
2010-04-12,23.13669776916504
2010-04-13,23.13669776916504
2010-04-14,23.720678329467773
2010-04-15,24.063650131225586
