Date,WDC
2010-01-04,27.380868911743164
2010-01-05,28.106826782226562
2010-01-06,28.13102149963379
2010-01-07,27.580503463745117
2010-01-08,27.719648361206055
2010-01-11,27.74989891052246
2010-01-12,27.036035537719727
2010-01-13,27.501859664916992
2010-01-14,27.68939781188965
2010-01-15,26.606504440307617
2010-01-19,27.199378967285156
2010-01-20,26.775897979736328
2010-01-21,27.399009704589844
2010-01-22,24.646408081054688
2010-01-25,25.10013771057129
2010-01-26,24.719005584716797
2010-01-27,24.585908889770508
2010-01-28,23.88414764404297
2010-01-29,22.982742309570312
2010-02-01,24.017248153686523
2010-02-02,24.483064651489258
2010-02-03,24.495166778564453
2010-02-04,23.424373626708984
2010-02-05,23.853900909423828
2010-02-08,23.98699378967285
2010-02-09,24.428613662719727
2010-02-10,24.241079330444336
2010-02-11,24.374170303344727
2010-02-12,24.10799217224121
2010-02-16,25.759550094604492
2010-02-17,25.795848846435547
2010-02-18,26.255632400512695
2010-02-19,26.104379653930664
2010-02-22,25.632505416870117
2010-02-23,24.706905364990234
2010-02-24,23.58771514892578
2010-02-25,23.654264450073242
2010-02-26,23.369930267333984
2010-03-01,24.489120483398438
2010-03-02,23.962799072265625
2010-03-03,23.375972747802734
2010-03-04,23.853900909423828
2010-03-05,23.74500846862793
2010-03-08,23.956748962402344
2010-03-09,23.46672248840332
2010-03-10,23.031145095825195
2010-03-11,23.509065628051758
2010-03-12,23.21868896484375
2010-03-15,23.140043258666992
2010-03-16,23.33967399597168
2010-03-17,23.69055938720703
2010-03-18,23.599815368652344
2010-03-19,23.073497772216797
2010-03-22,24.585908889770508
2010-03-23,25.420764923095703
2010-03-24,25.221128463745117
2010-03-25,24.610109329223633
2010-03-26,23.926496505737305
2010-03-29,24.18058204650879
2010-03-30,23.80550193786621
2010-03-31,23.58771514892578
2010-04-01,23.599815368652344
2010-04-05,24.579862594604492
2010-04-06,24.83395004272461
2010-04-07,24.368125915527344
2010-04-08,24.404422760009766
2010-04-09,25.03963851928711
2010-04-12,24.852096557617188
2010-04-13,24.289480209350586
2010-04-14,25.07593536376953
