Date,MSTR
2010-01-04,9.616000175476074
2010-01-05,9.784000396728516
2010-01-06,9.633999824523926
2010-01-07,9.24899959564209
2010-01-08,9.5
2010-01-11,9.07699966430664
2010-01-12,9.956999778747559
2010-01-13,9.809000015258789
2010-01-14,9.906999588012695
2010-01-15,10.359000205993652
2010-01-19,10.510000228881836
2010-01-20,10.244000434875488
2010-01-21,9.944999694824219
2010-01-22,9.701000213623047
2010-01-25,9.548999786376953
2010-01-26,9.734999656677246
2010-01-27,9.682999610900879
2010-01-28,9.550000190734863
2010-01-29,9.371999740600586
2010-02-01,9.437000274658203
2010-02-02,9.465999603271484
2010-02-03,9.663999557495117
2010-02-04,7.9029998779296875
2010-02-05,7.913000106811523
2010-02-08,8.12600040435791
2010-02-09,8.241999626159668
2010-02-10,8.402999877929688
2010-02-11,8.454000473022461
2010-02-12,8.479999542236328
2010-02-16,8.61400032043457
2010-02-17,8.600000381469727
2010-02-18,8.503999710083008
2010-02-19,8.565999984741211
2010-02-22,8.63599967956543
2010-02-23,8.612000465393066
2010-02-24,8.718999862670898
2010-02-25,8.723999977111816
2010-02-26,8.862000465393066
2010-03-01,9.067000389099121
2010-03-02,8.831000328063965
2010-03-03,8.897000312805176
2010-03-04,8.928000450134277
2010-03-05,9.133000373840332
2010-03-08,8.654000282287598
2010-03-09,8.538999557495117
2010-03-10,8.649999618530273
2010-03-11,8.668999671936035
2010-03-12,8.748000144958496
2010-03-15,8.706999778747559
2010-03-16,8.647000312805176
2010-03-17,8.583000183105469
2010-03-18,8.501999855041504
2010-03-19,8.927000045776367
2010-03-22,8.911999702453613
2010-03-23,8.9399995803833
2010-03-24,8.75100040435791
2010-03-25,8.630000114440918
2010-03-26,8.5
2010-03-29,8.550999641418457
2010-03-30,8.555999755859375
2010-03-31,8.506999969482422
2010-04-01,8.54699993133545
2010-04-05,8.581000328063965
2010-04-06,8.593000411987305
2010-04-07,8.626999855041504
2010-04-08,8.598999977111816
2010-04-09,8.545999526977539
2010-04-12,8.442000389099121
2010-04-13,8.486000061035156
2010-04-14,8.520000457763672
2010-04-15,8.473999977111816
