Date,PACS
2024-04-11,23.0
2024-04-12,24.0
2024-04-15,24.139999389648438
2024-04-16,24.200000762939453
2024-04-17,23.399999618530273
2024-04-18,23.0
2024-04-19,23.649999618530273
2024-04-22,23.040000915527344
2024-04-23,24.3700008392334
2024-04-24,23.950000762939453
2024-04-25,24.260000228881836
2024-04-26,24.729999542236328
2024-04-29,24.709999084472656
2024-04-30,24.969999313354492
2024-05-01,24.8799991607666
2024-05-02,24.989999771118164
2024-05-03,24.809999465942383
2024-05-06,24.93000030517578
2024-05-07,24.989999771118164
2024-05-08,24.670000076293945
2024-05-09,24.850000381469727
2024-05-10,24.8700008392334
2024-05-13,25.079999923706055
2024-05-14,26.90999984741211
2024-05-15,28.350000381469727
2024-05-16,28.299999237060547
2024-05-17,28.209999084472656
2024-05-20,28.549999237060547
2024-05-21,27.709999084472656
2024-05-22,27.65999984741211
2024-05-23,29.219999313354492
2024-05-24,30.030000686645508
2024-05-28,29.780000686645508
2024-05-29,29.450000762939453
2024-05-30,29.959999084472656
2024-05-31,30.399999618530273
2024-06-03,30.469999313354492
2024-06-04,30.040000915527344
2024-06-05,30.31999969482422
2024-06-06,29.829999923706055
2024-06-07,29.5
2024-06-10,30.059999465942383
2024-06-11,29.65999984741211
2024-06-12,29.540000915527344
2024-06-13,29.75
2024-06-14,29.25
2024-06-17,29.440000534057617
2024-06-18,29.709999084472656
2024-06-20,29.329999923706055
2024-06-21,29.549999237060547
2024-06-24,29.549999237060547
2024-06-25,28.639999389648438
2024-06-26,29.290000915527344
2024-06-27,30.190000534057617
2024-06-28,29.5
2024-07-01,29.25
2024-07-02,29.739999771118164
2024-07-03,29.989999771118164
2024-07-05,29.559999465942383
2024-07-08,30.09000015258789
2024-07-09,30.040000915527344
2024-07-10,30.18000030517578
2024-07-11,30.8700008392334
2024-07-12,31.010000228881836
2024-07-15,31.799999237060547
2024-07-16,32.81999969482422
2024-07-17,33.18000030517578
2024-07-18,33.040000915527344
2024-07-19,32.290000915527344
2024-07-22,33.2599983215332
2024-07-23,33.880001068115234
2024-07-24,33.7400016784668
2024-07-25,34.2599983215332
2024-07-26,34.880001068115234
2024-07-29,34.290000915527344
2024-07-30,35.45000076293945
2024-07-31,35.79999923706055
2024-08-01,35.7400016784668
2024-08-02,35.38999938964844
2024-08-05,32.54999923706055
2024-08-06,33.2599983215332
2024-08-07,32.540000915527344
2024-08-08,34.34000015258789
2024-08-09,32.75
2024-08-12,32.349998474121094
2024-08-13,38.43000030517578
2024-08-14,38.209999084472656
2024-08-15,39.91999816894531
2024-08-16,38.790000915527344
2024-08-19,39.81999969482422
2024-08-20,39.0099983215332
2024-08-21,40.029998779296875
2024-08-22,40.029998779296875
2024-08-23,41.31999969482422
2024-08-26,41.540000915527344
2024-08-27,40.31999969482422
2024-08-28,39.7400016784668
2024-08-29,39.2400016784668
2024-08-30,39.66999816894531
2024-09-03,39.529998779296875
2024-09-04,36.72999954223633
2024-09-05,37.2400016784668
2024-09-06,37.099998474121094
2024-09-09,38.25
2024-09-10,38.34000015258789
2024-09-11,39.52000045776367
2024-09-12,40.0
2024-09-13,40.720001220703125
2024-09-16,40.970001220703125
2024-09-17,40.77000045776367
2024-09-18,40.79999923706055
2024-09-19,41.59000015258789
2024-09-20,40.77000045776367
2024-09-23,40.38999938964844
2024-09-24,40.45000076293945
2024-09-25,39.869998931884766
2024-09-26,39.619998931884766
2024-09-27,39.560001373291016
2024-09-30,39.970001220703125
2024-10-01,38.880001068115234
2024-10-02,38.880001068115234
2024-10-03,38.45000076293945
2024-10-04,38.5
2024-10-07,38.47999954223633
2024-10-08,38.33000183105469
2024-10-09,39.0099983215332
2024-10-10,38.5
2024-10-11,39.13999938964844
2024-10-14,40.11000061035156
2024-10-15,40.93000030517578
2024-10-16,41.91999816894531
2024-10-17,41.349998474121094
2024-10-18,41.88999938964844
2024-10-21,40.77000045776367
2024-10-22,41.060001373291016
2024-10-23,42.0
2024-10-24,41.90999984741211
2024-10-25,42.09000015258789
2024-10-28,41.72999954223633
2024-10-29,42.22999954223633
2024-10-30,42.93000030517578
2024-10-31,42.68000030517578
2024-11-01,42.939998626708984
2024-11-04,31.010000228881836
2024-11-05,29.540000915527344
2024-11-06,18.09000015258789
2024-11-07,19.829999923706055
2024-11-08,21.329999923706055
2024-11-11,21.959999084472656
2024-11-12,20.530000686645508
2024-11-13,20.489999771118164
2024-11-14,18.43000030517578
2024-11-15,17.40999984741211
2024-11-18,16.93000030517578
2024-11-19,17.100000381469727
2024-11-20,17.25
2024-11-21,16.549999237060547
2024-11-22,16.5
2024-11-25,16.219999313354492
2024-11-26,16.610000610351562
2024-11-27,16.549999237060547
2024-11-29,15.8100004196167
2024-12-02,15.899999618530273
2024-12-03,15.050000190734863
2024-12-04,15.180000305175781
2024-12-05,14.619999885559082
2024-12-06,15.510000228881836
2024-12-09,15.609999656677246
2024-12-10,15.199999809265137
2024-12-11,15.119999885559082
2024-12-12,14.850000381469727
2024-12-13,15.40999984741211
2024-12-16,15.180000305175781
2024-12-17,13.949999809265137
2024-12-18,13.079999923706055
2024-12-19,13.069999694824219
2024-12-20,13.010000228881836
2024-12-23,13.079999923706055
2024-12-24,13.09000015258789
2024-12-26,13.180000305175781
2024-12-27,13.010000228881836
2024-12-30,12.8100004196167
2024-12-31,13.109999656677246
2025-01-02,12.930000305175781
2025-01-03,13.350000381469727
2025-01-06,13.359999656677246
2025-01-07,13.260000228881836
2025-01-08,13.199999809265137
2025-01-10,12.829999923706055
2025-01-13,13.34000015258789
