Date,TFC
2010-01-04,14.90392017364502
2010-01-05,15.11757755279541
2010-01-06,15.437009811401367
2010-01-07,16.05843734741211
2010-01-08,15.878397941589355
2010-01-11,15.878397941589355
2010-01-12,15.930660247802734
2010-01-13,16.203628540039062
2010-01-14,16.563703536987305
2010-01-15,16.122318267822266
2010-01-19,16.36043930053711
2010-01-20,16.552095413208008
2010-01-21,16.888944625854492
2010-01-22,16.348817825317383
2010-01-25,16.011974334716797
2010-01-26,15.564775466918945
2010-01-27,16.424325942993164
2010-01-28,16.447551727294922
2010-01-29,16.186206817626953
2010-02-01,16.389474868774414
2010-02-02,16.505630493164062
2010-02-03,16.145551681518555
2010-02-04,15.640277862548828
2010-02-05,15.977128028869629
2010-02-08,15.756431579589844
2010-02-09,15.797087669372559
2010-02-10,15.8958158493042
2010-02-11,15.791276931762695
2010-02-12,15.63447380065918
2010-02-16,15.919041633605957
2010-02-17,15.808699607849121
2010-02-18,15.82612419128418
2010-02-19,15.860966682434082
2010-02-22,16.383670806884766
2010-02-23,16.116512298583984
2010-02-24,16.540477752685547
2010-02-25,16.39528465270996
2010-02-26,16.56952476501465
2010-03-01,16.145551681518555
2010-03-02,16.15135955810547
2010-03-03,15.901626586914062
2010-03-04,16.15135955810547
2010-03-05,16.56952476501465
2010-03-08,16.674049377441406
2010-03-09,16.737937927246094
2010-03-10,17.2083740234375
2010-03-11,17.66718292236328
2010-03-12,17.829795837402344
2010-03-15,17.876270294189453
2010-03-16,18.346694946289062
2010-03-17,18.67772674560547
2010-03-18,18.532529830932617
2010-03-19,18.497684478759766
2010-03-22,18.584810256958008
2010-03-23,18.642887115478516
2010-03-24,18.654508590698242
2010-03-25,18.753236770629883
2010-03-26,18.729997634887695
2010-03-29,18.70096206665039
2010-03-30,18.567384719848633
2010-03-31,18.811302185058594
2010-04-01,18.857770919799805
2010-04-05,19.119115829467773
2010-04-06,19.473392486572266
2010-04-07,19.380054473876953
2010-04-08,19.648406982421875
2010-04-09,19.747581481933594
2010-04-12,19.8642635345459
2010-04-13,19.549230575561523
2010-04-14,20.155956268310547
2010-04-15,19.94010353088379
2010-04-16,19.695079803466797
2010-04-19,19.840925216674805
2010-04-20,20.161787033081055
2010-04-21,20.482654571533203
2010-04-22,20.033445358276367
2010-04-23,19.998437881469727
2010-04-26,19.44422721862793
2010-04-27,18.995018005371094
2010-04-28,19.076698303222656
2010-04-29,19.55506706237793
2010-04-30,19.391725540161133
2010-05-03,19.934267044067383
2010-05-04,19.56673812866211
