Date,PDM
2010-02-10,6.699603080749512
2010-02-11,6.764019966125488
2010-02-12,6.8713884353637695
2010-02-16,7.043172836303711
2010-02-17,7.103294849395752
2010-02-18,7.408214569091797
2010-02-19,7.6744818687438965
2010-02-22,7.300849437713623
2010-02-23,7.287967205047607
2010-02-24,7.24931526184082
2010-02-25,7.275082111358643
2010-02-26,7.193483352661133
2010-03-01,7.300849437713623
2010-03-02,7.653007507324219
2010-03-03,7.322323799133301
2010-03-04,7.386743068695068
2010-03-05,7.472632884979248
2010-03-08,7.446866035461426
2010-03-09,7.558527946472168
2010-03-10,7.5928826332092285
2010-03-11,7.67377233505249
2010-03-12,7.717502117156982
2010-03-15,7.804951190948486
2010-03-16,8.128518104553223
2010-03-17,8.3296537399292
2010-03-18,8.386495590209961
2010-03-19,8.47831916809082
2010-03-22,8.552651405334473
2010-03-23,8.46082878112793
2010-03-24,8.45645809173584
2010-03-25,8.45645809173584
2010-03-26,8.683829307556152
2010-03-29,8.832496643066406
2010-03-30,8.535160064697266
2010-03-31,8.67945384979248
2010-04-01,8.587630271911621
2010-04-05,8.635732650756836
2010-04-06,8.657591819763184
2010-04-07,8.56576919555664
2010-04-08,8.648845672607422
2010-04-09,8.806257247924805
2010-04-12,8.806257247924805
2010-04-13,8.753790855407715
2010-04-14,8.788768768310547
2010-04-15,8.661962509155273
2010-04-16,8.522045135498047
2010-04-19,8.513298988342285
2010-04-20,8.513298988342285
2010-04-21,8.50455379486084
2010-04-22,8.548274040222168
2010-04-23,8.740668296813965
2010-04-26,8.762537002563477
2010-04-27,8.56576919555664
2010-04-28,8.64010238647461
2010-04-29,8.797511100769043
2010-04-30,8.762537002563477
2010-05-03,8.85872745513916
2010-05-04,8.902454376220703
2010-05-05,8.745041847229004
2010-05-06,8.543910026550293
2010-05-07,8.495810508728027
2010-05-10,8.661962509155273
2010-05-11,8.657591819763184
2010-05-12,8.644474029541016
2010-05-13,8.557027816772461
2010-05-14,8.522045135498047
2010-05-17,8.417105674743652
2010-05-18,8.163496971130371
2010-05-19,8.093534469604492
2010-05-20,8.019204139709473
2010-05-21,8.180987358093262
2010-05-24,7.940497875213623
2010-05-25,7.826811790466309
2010-05-26,8.176615715026855
2010-05-27,8.34714412689209
2010-05-28,8.299046516418457
2010-06-01,8.229086875915527
2010-06-02,8.180987358093262
2010-06-03,8.119773864746094
2010-06-04,7.971106052398682
2010-06-07,7.90114688873291
2010-06-08,7.988600254058838
2010-06-09,8.067301750183105
2010-06-10,8.360260009765625
2010-06-11,8.451396942138672
2010-06-14,8.571436882019043
2010-06-15,8.642565727233887
2010-06-16,8.700361251831055
2010-06-17,8.70925235748291
2010-06-18,8.80261516571045
2010-06-21,8.584770202636719
2010-06-22,8.278013229370117
2010-06-23,8.389159202575684
2010-06-24,8.398046493530273
2010-06-25,8.633675575256348
2010-06-28,8.558097839355469
2010-06-29,8.31802749633789
2010-06-30,8.326913833618164
2010-07-01,8.051279067993164
2010-07-02,7.904572010040283
2010-07-06,7.708955764770508
2010-07-07,7.811209678649902
2010-07-08,7.869004249572754
2010-07-09,8.00238037109375
2010-07-12,7.913462162017822
2010-07-13,8.029050827026367
2010-07-14,7.9534687995910645
2010-07-15,7.917906284332275
2010-07-16,7.900125503540039
2010-07-19,7.87345027923584
2010-07-20,8.03349494934082
2010-07-21,7.860111713409424
2010-07-22,8.01126766204834
2010-07-23,8.03349494934082
2010-07-26,8.060169219970703
2010-07-27,8.082401275634766
2010-07-28,7.99793004989624
2010-07-29,7.949029445648193
2010-07-30,8.00238037109375
2010-08-02,8.255784034729004
2010-08-03,7.980149269104004
2010-08-04,8.051279067993164
2010-08-05,8.091290473937988
2010-08-06,7.9534687995910645
2010-08-09,7.99793004989624
2010-08-10,7.780087471008301
2010-08-11,7.602260589599609
2010-08-12,7.602260589599609
2010-08-13,7.633377552032471
2010-08-16,7.597814083099365
2010-08-17,7.6556077003479
2010-08-18,7.651162147521973
2010-08-19,7.611145973205566
2010-08-20,7.76230525970459
2010-08-23,7.7045111656188965
2010-08-24,7.993484020233154
2010-08-25,7.984589576721191
2010-08-26,8.006821632385254
2010-08-27,8.082401275634766
2010-08-30,7.9534687995910645
2010-08-31,8.162422180175781
2010-09-01,8.411385536193848
2010-09-02,8.224666595458984
2010-09-03,8.224666595458984
2010-09-07,8.202434539794922
2010-09-08,8.224666595458984
2010-09-09,8.175761222839355
2010-09-10,8.162422180175781
2010-09-13,8.30490779876709
2010-09-14,8.27777099609375
2010-09-15,8.286813735961914
2010-09-16,8.119453430175781
2010-09-17,8.413468360900879
2010-09-20,8.413468360900879
2010-09-21,8.399900436401367
2010-09-22,8.395374298095703
2010-09-23,8.069695472717285
2010-09-24,8.232535362243652
2010-09-27,8.36823844909668
2010-09-28,8.56274127960205
2010-09-29,8.517509460449219
2010-09-30,8.553695678710938
2010-10-01,8.46774959564209
2010-10-04,8.445134162902832
2010-10-05,8.508462905883789
2010-10-06,8.454181671142578
2010-10-07,8.445134162902832
2010-10-08,8.42703914642334
2010-10-11,8.386332511901855
2010-10-12,8.535603523254395
2010-10-13,8.508462905883789
2010-10-14,8.264202117919922
2010-10-15,8.3184814453125
2010-10-18,8.4813232421875
2010-10-19,8.48584270477295
2010-10-20,8.635116577148438
2010-10-21,8.46774959564209
2010-10-22,8.594402313232422
2010-10-25,8.621549606323242
2010-10-26,8.558218002319336
2010-10-27,8.46774959564209
2010-10-28,8.48584270477295
2010-10-29,8.535603523254395
2010-11-01,8.617024421691895
2010-11-02,8.666781425476074
