Date,BLND
2021-07-16,20.899999618530273
2021-07-19,17.93000030517578
2021-07-20,17.5
2021-07-21,17.540000915527344
2021-07-22,17.260000228881836
2021-07-23,17.479999542236328
2021-07-26,17.600000381469727
2021-07-27,17.0
2021-07-28,17.799999237060547
2021-07-29,18.06999969482422
2021-07-30,18.059999465942383
2021-08-02,18.0
2021-08-03,17.899999618530273
2021-08-04,18.079999923706055
2021-08-05,18.0
2021-08-06,18.450000762939453
2021-08-09,19.5
2021-08-10,18.09000015258789
2021-08-11,18.229999542236328
2021-08-12,18.31999969482422
2021-08-13,18.0
2021-08-16,18.43000030517578
2021-08-17,18.729999542236328
2021-08-18,19.5
2021-08-19,19.780000686645508
2021-08-20,18.049999237060547
2021-08-23,17.43000030517578
2021-08-24,16.950000762939453
2021-08-25,15.920000076293945
2021-08-26,16.360000610351562
2021-08-27,15.920000076293945
2021-08-30,16.15999984741211
2021-08-31,16.190000534057617
2021-09-01,17.1299991607666
2021-09-02,16.969999313354492
2021-09-03,17.459999084472656
2021-09-07,16.110000610351562
2021-09-08,15.880000114440918
2021-09-09,16.700000762939453
2021-09-10,16.399999618530273
2021-09-13,16.280000686645508
2021-09-14,16.290000915527344
2021-09-15,15.949999809265137
2021-09-16,16.110000610351562
2021-09-17,16.100000381469727
2021-09-20,15.1899995803833
2021-09-21,15.15999984741211
2021-09-22,15.239999771118164
2021-09-23,14.640000343322754
2021-09-24,14.470000267028809
2021-09-27,14.489999771118164
2021-09-28,13.800000190734863
2021-09-29,14.100000381469727
2021-09-30,13.479999542236328
2021-10-01,13.8100004196167
2021-10-04,13.109999656677246
2021-10-05,13.380000114440918
2021-10-06,13.100000381469727
2021-10-07,13.520000457763672
2021-10-08,13.25
2021-10-11,13.829999923706055
2021-10-12,13.569999694824219
2021-10-13,13.5600004196167
2021-10-14,13.529999732971191
2021-10-15,13.0
2021-10-18,13.119999885559082
2021-10-19,14.010000228881836
2021-10-20,13.890000343322754
2021-10-21,14.3100004196167
2021-10-22,14.09000015258789
2021-10-25,13.949999809265137
2021-10-26,14.039999961853027
2021-10-27,13.800000190734863
2021-10-28,13.869999885559082
2021-10-29,14.5
2021-11-01,14.199999809265137
2021-11-02,14.510000228881836
2021-11-03,14.770000457763672
2021-11-04,15.5
2021-11-05,15.529999732971191
2021-11-08,15.670000076293945
2021-11-09,15.550000190734863
2021-11-10,15.449999809265137
2021-11-11,12.960000038146973
2021-11-12,12.760000228881836
2021-11-15,12.979999542236328
