Date,MCW
2021-06-25,20.299999237060547
2021-06-28,22.399999618530273
2021-06-29,20.770000457763672
2021-06-30,21.530000686645508
2021-07-01,21.979999542236328
2021-07-02,22.739999771118164
2021-07-06,22.950000762939453
2021-07-07,22.389999389648438
2021-07-08,21.770000457763672
2021-07-09,21.770000457763672
2021-07-12,22.59000015258789
2021-07-13,21.420000076293945
2021-07-14,21.030000686645508
2021-07-15,20.770000457763672
2021-07-16,20.790000915527344
2021-07-19,20.020000457763672
2021-07-20,21.15999984741211
2021-07-21,22.25
2021-07-22,22.639999389648438
2021-07-23,23.530000686645508
2021-07-26,22.93000030517578
2021-07-27,21.100000381469727
2021-07-28,21.06999969482422
2021-07-29,21.229999542236328
2021-07-30,20.84000015258789
2021-08-02,21.610000610351562
2021-08-03,20.979999542236328
2021-08-04,20.290000915527344
2021-08-05,19.90999984741211
2021-08-06,20.309999465942383
2021-08-09,20.280000686645508
2021-08-10,20.260000228881836
2021-08-11,19.969999313354492
2021-08-12,20.190000534057617
2021-08-13,19.639999389648438
2021-08-16,18.389999389648438
2021-08-17,18.1200008392334
2021-08-18,18.950000762939453
2021-08-19,18.75
2021-08-20,19.649999618530273
2021-08-23,20.56999969482422
2021-08-24,19.030000686645508
2021-08-25,18.709999084472656
2021-08-26,18.739999771118164
2021-08-27,18.790000915527344
2021-08-30,18.690000534057617
2021-08-31,19.190000534057617
2021-09-01,19.040000915527344
2021-09-02,19.020000457763672
2021-09-03,19.260000228881836
2021-09-07,18.56999969482422
2021-09-08,18.5
2021-09-09,18.200000762939453
2021-09-10,18.270000457763672
2021-09-13,18.229999542236328
2021-09-14,18.5
2021-09-15,18.790000915527344
2021-09-16,18.510000228881836
2021-09-17,17.950000762939453
2021-09-20,17.709999084472656
2021-09-21,17.690000534057617
2021-09-22,17.739999771118164
2021-09-23,17.510000228881836
2021-09-24,17.56999969482422
2021-09-27,17.559999465942383
2021-09-28,17.510000228881836
2021-09-29,17.3700008392334
2021-09-30,18.25
2021-10-01,19.139999389648438
2021-10-04,17.479999542236328
2021-10-05,17.90999984741211
2021-10-06,18.190000534057617
2021-10-07,18.200000762939453
