Date,MA
2010-01-04,23.64915657043457
2010-01-05,23.57918930053711
2010-01-06,23.545089721679688
2010-01-07,23.3912296295166
2010-01-08,23.39952278137207
2010-01-11,23.014419555664062
2010-01-12,23.001514434814453
2010-01-13,23.599445343017578
2010-01-14,23.99837875366211
2010-01-15,24.198293685913086
2010-01-19,24.391780853271484
2010-01-20,24.266475677490234
2010-01-21,23.816877365112305
2010-01-22,23.199600219726562
2010-01-25,23.258560180664062
2010-01-26,22.904775619506836
2010-01-27,23.61604118347168
2010-01-28,22.982168197631836
2010-01-29,23.023630142211914
2010-02-01,23.34793472290039
2010-02-02,23.26869773864746
2010-02-03,22.809871673583984
2010-02-04,20.46330451965332
2010-02-05,20.337081909179688
2010-02-08,20.85854148864746
2010-02-09,20.586767196655273
2010-02-10,20.90460968017578
2010-02-11,21.098085403442383
2010-02-12,20.773778915405273
2010-02-16,20.7572021484375
2010-02-17,20.71390151977539
2010-02-18,20.453166961669922
2010-02-19,20.511199951171875
2010-02-22,20.659534454345703
2010-02-23,20.45500946044922
2010-02-24,20.430133819580078
2010-02-25,20.406169891357422
2010-02-26,20.671512603759766
2010-03-01,21.442651748657227
2010-03-02,21.356975555419922
2010-03-03,21.388296127319336
2010-03-04,21.466609954833984
2010-03-05,22.069137573242188
2010-03-08,22.628387451171875
2010-03-09,22.708534240722656
2010-03-10,22.995986938476562
2010-03-11,23.050344467163086
2010-03-12,23.030075073242188
2010-03-15,23.04021453857422
2010-03-16,22.972028732299805
2010-03-17,22.908462524414062
2010-03-18,22.69194984436035
2010-03-19,22.513221740722656
2010-03-22,22.763818740844727
2010-03-23,22.626537322998047
2010-03-24,22.542707443237305
2010-03-25,22.672597885131836
2010-03-26,22.686431884765625
2010-03-29,22.849504470825195
2010-03-30,23.25487518310547
2010-03-31,23.401363372802734
2010-04-01,23.395837783813477
2010-04-05,23.54693603515625
2010-04-06,23.8389949798584
2010-04-07,23.567968368530273
2010-04-08,23.680437088012695
2010-04-09,23.864795684814453
2010-04-12,23.928401947021484
2010-04-13,23.82977867126465
2010-04-14,24.2565860748291
2010-04-15,24.210494995117188
2010-04-16,23.921953201293945
2010-04-19,23.719148635864258
2010-04-20,24.096179962158203
2010-04-21,24.02243995666504
2010-04-22,24.11554718017578
2010-04-23,24.633621215820312
2010-04-26,24.50087547302246
2010-04-27,23.49329376220703
2010-04-28,23.32275390625
2010-04-29,23.542152404785156
2010-04-30,22.86551856994629
2010-05-03,23.114416122436523
2010-05-04,23.16143798828125
2010-05-05,21.9344539642334
2010-05-06,21.230152130126953
2010-05-07,20.565502166748047
2010-05-10,21.231081008911133
2010-05-11,20.57933807373047
2010-05-12,21.444032669067383
2010-05-13,21.415454864501953
2010-05-14,19.584659576416016
2010-05-17,19.433475494384766
2010-05-18,18.695995330810547
2010-05-19,18.66281509399414
2010-05-20,18.9439754486084
2010-05-21,19.713720321655273
2010-05-24,19.34405517578125
2010-05-25,19.070270538330078
2010-05-26,18.897886276245117
2010-05-27,19.155996322631836
2010-05-28,18.60011863708496
2010-06-01,18.472915649414062
2010-06-02,18.53099250793457
2010-06-03,18.621328353881836
2010-06-04,18.129989624023438
2010-06-07,18.443416595458984
2010-06-08,18.210187911987305
2010-06-09,18.018449783325195
2010-06-10,18.908945083618164
2010-06-11,18.886817932128906
2010-06-14,18.82136344909668
2010-06-15,19.319164276123047
