Date,VIK
2024-05-01,26.100000381469727
2024-05-02,26.989999771118164
2024-05-03,29.0
2024-05-06,28.940000534057617
2024-05-07,28.649999618530273
2024-05-08,28.5
2024-05-09,28.5
2024-05-10,28.6200008392334
2024-05-13,28.0
2024-05-14,28.100000381469727
2024-05-15,28.049999237060547
2024-05-16,28.06999969482422
2024-05-17,28.489999771118164
2024-05-20,29.809999465942383
2024-05-21,29.350000381469727
2024-05-22,29.1200008392334
2024-05-23,28.68000030517578
2024-05-24,29.68000030517578
2024-05-28,30.600000381469727
2024-05-29,29.709999084472656
2024-05-30,30.579999923706055
2024-05-31,31.40999984741211
2024-06-03,31.579999923706055
2024-06-04,31.969999313354492
2024-06-05,31.510000228881836
2024-06-06,30.59000015258789
2024-06-07,31.469999313354492
2024-06-10,31.5
2024-06-11,31.709999084472656
2024-06-12,32.31999969482422
2024-06-13,32.9900016784668
2024-06-14,30.860000610351562
2024-06-17,30.969999313354492
2024-06-18,31.450000762939453
2024-06-20,31.450000762939453
2024-06-21,31.530000686645508
2024-06-24,31.030000686645508
2024-06-25,30.93000030517578
2024-06-26,31.270000457763672
2024-06-27,32.709999084472656
2024-06-28,33.939998626708984
2024-07-01,33.2599983215332
2024-07-02,33.5
2024-07-03,34.150001525878906
2024-07-05,33.849998474121094
2024-07-08,34.119998931884766
2024-07-09,34.34000015258789
2024-07-10,33.630001068115234
2024-07-11,34.40999984741211
2024-07-12,34.959999084472656
2024-07-15,35.68000030517578
2024-07-16,36.650001525878906
2024-07-17,35.130001068115234
2024-07-18,35.849998474121094
2024-07-19,37.0
2024-07-22,36.33000183105469
2024-07-23,36.75
2024-07-24,34.540000915527344
2024-07-25,34.18000030517578
2024-07-26,35.189998626708984
2024-07-29,35.349998474121094
2024-07-30,35.52000045776367
2024-07-31,35.70000076293945
2024-08-01,35.0
2024-08-02,32.93000030517578
2024-08-05,32.130001068115234
2024-08-06,33.2400016784668
2024-08-07,32.459999084472656
2024-08-08,33.029998779296875
2024-08-09,33.5099983215332
2024-08-12,33.2599983215332
2024-08-13,33.380001068115234
2024-08-14,34.209999084472656
2024-08-15,35.630001068115234
2024-08-16,35.13999938964844
2024-08-19,35.5
2024-08-20,35.93000030517578
2024-08-21,36.439998626708984
2024-08-22,33.220001220703125
2024-08-23,35.630001068115234
2024-08-26,35.7400016784668
2024-08-27,35.380001068115234
2024-08-28,33.709999084472656
2024-08-29,33.650001525878906
2024-08-30,33.54999923706055
2024-09-03,32.75
2024-09-04,33.029998779296875
2024-09-05,33.189998626708984
2024-09-06,32.38999938964844
2024-09-09,32.439998626708984
2024-09-10,31.280000686645508
2024-09-11,31.579999923706055
