Date,DY
2010-01-04,8.3100004196167
2010-01-05,8.289999961853027
2010-01-06,8.5600004196167
2010-01-07,8.819999694824219
2010-01-08,8.670000076293945
2010-01-11,8.680000305175781
2010-01-12,8.600000381469727
2010-01-13,8.920000076293945
2010-01-14,9.109999656677246
2010-01-15,8.710000038146973
2010-01-19,9.170000076293945
2010-01-20,8.819999694824219
2010-01-21,8.710000038146973
2010-01-22,8.430000305175781
2010-01-25,8.390000343322754
2010-01-26,8.350000381469727
2010-01-27,8.369999885559082
2010-01-28,8.229999542236328
2010-01-29,8.170000076293945
2010-02-01,8.119999885559082
2010-02-02,8.199999809265137
2010-02-03,8.100000381469727
2010-02-04,8.0
2010-02-05,8.020000457763672
2010-02-08,7.800000190734863
2010-02-09,7.849999904632568
2010-02-10,7.75
2010-02-11,7.929999828338623
2010-02-12,7.909999847412109
2010-02-16,8.039999961853027
2010-02-17,8.279999732971191
2010-02-18,8.470000267028809
2010-02-19,8.609999656677246
2010-02-22,8.760000228881836
2010-02-23,8.229999542236328
2010-02-24,9.3100004196167
2010-02-25,9.119999885559082
2010-02-26,9.029999732971191
2010-03-01,8.850000381469727
2010-03-02,8.829999923706055
2010-03-03,8.770000457763672
2010-03-04,8.600000381469727
2010-03-05,8.729999542236328
2010-03-08,8.819999694824219
2010-03-09,8.75
2010-03-10,8.520000457763672
2010-03-11,8.5
2010-03-12,9.010000228881836
2010-03-15,8.84000015258789
2010-03-16,8.789999961853027
2010-03-17,8.800000190734863
2010-03-18,8.739999771118164
2010-03-19,9.1899995803833
2010-03-22,9.279999732971191
2010-03-23,9.329999923706055
2010-03-24,9.130000114440918
2010-03-25,8.9399995803833
2010-03-26,8.90999984741211
2010-03-29,9.0
2010-03-30,8.960000038146973
2010-03-31,8.770000457763672
2010-04-01,9.15999984741211
2010-04-05,9.5
2010-04-06,9.550000190734863
2010-04-07,9.430000305175781
2010-04-08,9.649999618530273
2010-04-09,9.850000381469727
2010-04-12,9.779999732971191
2010-04-13,9.489999771118164
2010-04-14,9.8100004196167
2010-04-15,9.930000305175781
2010-04-16,10.039999961853027
2010-04-19,9.930000305175781
2010-04-20,10.220000267028809
2010-04-21,10.579999923706055
2010-04-22,10.59000015258789
2010-04-23,10.789999961853027
2010-04-26,10.800000190734863
2010-04-27,10.449999809265137
2010-04-28,10.699999809265137
2010-04-29,11.130000114440918
2010-04-30,10.619999885559082
2010-05-03,10.9399995803833
2010-05-04,10.680000305175781
2010-05-05,10.09000015258789
2010-05-06,9.960000038146973
2010-05-07,9.300000190734863
2010-05-10,9.760000228881836
2010-05-11,9.829999923706055
2010-05-12,10.180000305175781
2010-05-13,10.079999923706055
2010-05-14,9.680000305175781
2010-05-17,9.75
2010-05-18,9.4399995803833
2010-05-19,9.180000305175781
2010-05-20,8.539999961853027
2010-05-21,8.609999656677246
2010-05-24,8.430000305175781
2010-05-25,8.5
2010-05-26,9.5600004196167
2010-05-27,9.899999618530273
2010-05-28,9.880000114440918
2010-06-01,9.319999694824219
2010-06-02,9.510000228881836
2010-06-03,9.59000015258789
2010-06-04,9.260000228881836
2010-06-07,8.850000381469727
2010-06-08,8.720000267028809
2010-06-09,8.829999923706055
2010-06-10,9.119999885559082
2010-06-11,9.100000381469727
2010-06-14,9.100000381469727
2010-06-15,9.359999656677246
2010-06-16,9.319999694824219
2010-06-17,9.170000076293945
2010-06-18,9.329999923706055
2010-06-21,9.25
2010-06-22,9.079999923706055
2010-06-23,9.449999809265137
2010-06-24,9.390000343322754
2010-06-25,9.550000190734863
2010-06-28,9.510000228881836
2010-06-29,8.829999923706055
2010-06-30,8.550000190734863
2010-07-01,8.229999542236328
2010-07-02,8.050000190734863
2010-07-06,7.949999809265137
2010-07-07,8.1899995803833
2010-07-08,8.199999809265137
2010-07-09,8.59000015258789
2010-07-12,8.380000114440918
2010-07-13,8.770000457763672
2010-07-14,8.649999618530273
2010-07-15,8.510000228881836
2010-07-16,8.09000015258789
2010-07-19,8.1899995803833
2010-07-20,8.289999961853027
2010-07-21,8.140000343322754
2010-07-22,8.869999885559082
2010-07-23,9.0
2010-07-26,9.369999885559082
2010-07-27,9.40999984741211
2010-07-28,9.109999656677246
2010-07-29,9.109999656677246
2010-07-30,9.050000190734863
2010-08-02,9.260000228881836
2010-08-03,9.239999771118164
2010-08-04,9.319999694824219
2010-08-05,9.359999656677246
2010-08-06,9.3100004196167
2010-08-09,9.390000343322754
2010-08-10,9.180000305175781
2010-08-11,8.65999984741211
2010-08-12,8.420000076293945
2010-08-13,8.34000015258789
2010-08-16,8.369999885559082
2010-08-17,8.869999885559082
2010-08-18,8.9399995803833
2010-08-19,8.630000114440918
2010-08-20,8.710000038146973
2010-08-23,8.40999984741211
2010-08-24,8.510000228881836
2010-08-25,7.849999904632568
2010-08-26,7.449999809265137
2010-08-27,7.860000133514404
2010-08-30,7.869999885559082
2010-08-31,8.039999961853027
2010-09-01,8.279999732971191
2010-09-02,8.479999542236328
2010-09-03,8.579999923706055
2010-09-07,8.390000343322754
2010-09-08,8.210000038146973
2010-09-09,8.229999542236328
2010-09-10,8.289999961853027
2010-09-13,8.520000457763672
2010-09-14,8.539999961853027
2010-09-15,8.729999542236328
2010-09-16,8.710000038146973
2010-09-17,8.710000038146973
2010-09-20,9.149999618530273
2010-09-21,9.109999656677246
2010-09-22,8.970000267028809
2010-09-23,8.960000038146973
2010-09-24,9.369999885559082
2010-09-27,9.510000228881836
2010-09-28,9.640000343322754
2010-09-29,9.760000228881836
2010-09-30,9.989999771118164
