Date,ES
2010-01-04,15.195709228515625
2010-01-05,15.142638206481934
2010-01-06,15.33722972869873
2010-01-07,15.313641548156738
2010-01-08,15.354915618896484
2010-01-11,15.455162048339844
2010-01-12,15.419780731201172
2010-01-13,15.56130313873291
2010-01-14,15.56130313873291
2010-01-15,15.30184555053711
2010-01-19,15.573097229003906
2010-01-20,15.496439933776855
2010-01-21,15.307744979858398
2010-01-22,15.012913703918457
2010-01-25,15.06008529663086
2010-01-26,15.012913703918457
2010-01-27,15.071878433227539
2010-01-28,15.012913703918457
2010-01-29,14.930359840393066
2010-02-01,15.113157272338867
2010-02-02,15.325432777404785
2010-02-03,15.295951843261719
2010-02-04,14.871391296386719
2010-02-05,14.824217796325684
2010-02-08,14.611942291259766
2010-02-09,14.7652587890625
2010-02-10,14.735771179199219
2010-02-11,14.871391296386719
2010-02-12,14.818319320678711
2010-02-16,15.207498550415039
2010-02-17,15.242880821228027
2010-02-18,15.413878440856934
2010-02-19,15.726410865783691
2010-02-22,15.732306480407715
2010-02-23,15.525921821594238
2010-02-24,15.484647750854492
2010-02-25,15.226213455200195
2010-02-26,15.244078636169434
2010-03-01,15.547769546508789
2010-03-02,15.619222640991211
2010-03-03,15.577531814575195
2010-03-04,15.63708782196045
2010-03-05,15.785955429077148
2010-03-08,15.827638626098633
2010-03-09,15.774040222167969
2010-03-10,15.916954040527344
2010-03-11,15.881234169006348
2010-03-12,15.96459674835205
2010-03-15,16.077735900878906
2010-03-16,16.22660255432129
2010-03-17,16.173009872436523
2010-03-18,16.178970336914062
2010-03-19,16.173009872436523
2010-03-22,16.131332397460938
2010-03-23,16.22064781188965
2010-03-24,16.04796600341797
2010-03-25,16.131332397460938
2010-03-26,16.089645385742188
2010-03-29,16.399295806884766
2010-03-30,16.571977615356445
2010-03-31,16.458833694458008
2010-04-01,16.65534210205078
2010-04-05,16.697031021118164
2010-04-06,16.792306900024414
2010-04-07,16.62557029724121
2010-04-08,16.49456787109375
2010-04-09,16.56007194519043
2010-04-12,16.55411148071289
2010-04-13,16.518394470214844
2010-04-14,16.595788955688477
2010-04-15,16.60770606994629
2010-04-16,16.30401611328125
2010-04-19,16.351652145385742
2010-04-20,16.423110961914062
2010-04-21,16.46479034423828
2010-04-22,16.536252975463867
2010-04-23,16.53029441833496
2010-04-26,16.46479034423828
2010-04-27,16.089645385742188
2010-04-28,16.274242401123047
2010-04-29,16.41714859008789
2010-04-30,16.54816436767578
2010-05-03,16.52433967590332
2010-05-04,16.30401611328125
2010-05-05,16.131332397460938
2010-05-06,15.482259750366211
2010-05-07,15.202394485473633
2010-05-10,15.678771018981934
2010-05-11,15.785955429077148
2010-05-12,16.03605079650879
2010-05-13,15.857414245605469
2010-05-14,15.839546203613281
2010-05-17,15.827638626098633
2010-05-18,15.774040222167969
2010-05-19,15.845502853393555
2010-05-20,15.470359802246094
2010-05-21,15.547769546508789
2010-05-24,15.363171577453613
2010-05-25,15.196446418762207
2010-05-26,15.333395957946777
2010-05-27,15.52946662902832
2010-05-28,15.607656478881836
2010-06-01,15.216714859008789
2010-06-02,15.565556526184082
2010-06-03,15.8422269821167
2010-06-04,15.252802848815918
2010-06-07,15.216714859008789
2010-06-08,15.349041938781738
2010-06-09,15.20468807220459
2010-06-10,15.643744468688965
2010-06-11,15.643744468688965
2010-06-14,15.685847282409668
2010-06-15,15.92642879486084
2010-06-16,16.02867317199707
2010-06-17,16.233163833618164
2010-06-18,16.16098976135254
2010-06-21,16.02867317199707
2010-06-22,15.67381763458252
2010-06-23,15.433234214782715
2010-06-24,15.469324111938477
2010-06-25,15.511425018310547
2010-06-28,15.637726783752441
2010-06-29,15.355051040649414
2010-06-30,15.324971199035645
2010-07-01,15.355051040649414
2010-07-02,15.427218437194824
2010-07-06,15.649761199951172
2010-07-07,16.094831466674805
2010-07-08,16.269258499145508
2010-07-09,16.16700553894043
2010-07-12,16.233163833618164
2010-07-13,16.431640625
2010-07-14,16.413604736328125
2010-07-15,16.606067657470703
2010-07-16,16.22113609313965
2010-07-19,16.395559310913086
2010-07-20,16.594038009643555
2010-07-21,16.40157127380371
2010-07-22,16.714332580566406
2010-07-23,16.810558319091797
2010-07-26,16.924835205078125
2010-07-27,17.25563621520996
2010-07-28,17.075191497802734
2010-07-29,16.87070655822754
2010-07-30,16.744400024414062
2010-08-02,17.141361236572266
2010-08-03,17.021066665649414
2010-08-04,17.30375099182129
2010-08-05,17.526288986206055
2010-08-06,17.424039840698242
2010-08-09,17.46012306213379
2010-08-10,17.562374114990234
2010-08-11,17.387954711914062
2010-08-12,17.219545364379883
2010-08-13,17.291719436645508
2010-08-16,17.351871490478516
2010-08-17,17.586429595947266
2010-08-18,17.436067581176758
2010-08-19,17.20150375366211
2010-08-20,17.16541290283203
2010-08-23,17.231578826904297
2010-08-24,17.309762954711914
2010-08-25,17.381938934326172
2010-08-26,17.189476013183594
2010-08-27,17.57440185546875
2010-08-30,17.383880615234375
2010-08-31,17.578044891357422
2010-09-01,17.984577178955078
2010-09-02,17.723665237426758
2010-09-03,17.88750648498535
2010-09-07,17.73579978942871
2010-09-08,17.675127029418945
2010-09-09,17.88750648498535
2010-09-10,17.851083755493164
2010-09-13,18.10593605041504
2010-09-14,18.15447425842285
2010-09-15,17.966373443603516
2010-09-16,17.753999710083008
2010-09-17,17.669055938720703
2010-09-20,17.88750648498535
2010-09-21,17.73579978942871
2010-09-22,17.741870880126953
2010-09-23,17.584115982055664
2010-09-24,17.960304260253906
2010-09-27,18.020986557006836
2010-09-28,18.087726593017578
