Date,GPI
2010-01-04,25.203083038330078
2010-01-05,26.244253158569336
2010-01-06,27.698442459106445
2010-01-07,28.954727172851562
2010-01-08,29.126811981201172
2010-01-11,28.601938247680664
2010-01-12,27.018672943115234
2010-01-13,27.164945602416992
2010-01-14,26.863786697387695
2010-01-15,25.934486389160156
2010-01-19,27.09610366821289
2010-01-20,26.459369659423828
2010-01-21,25.676345825195312
2010-01-22,24.617971420288086
2010-01-25,26.717510223388672
2010-01-26,27.07029914855957
2010-01-27,25.418201446533203
2010-01-28,24.953554153442383
2010-01-29,24.953554153442383
2010-02-01,26.41634178161621
2010-02-02,27.259605407714844
2010-02-03,26.932628631591797
2010-02-04,25.220298767089844
2010-02-05,25.900070190429688
2010-02-08,25.59890365600586
2010-02-09,26.571231842041016
2010-02-10,26.037744522094727
2010-02-11,24.44586944580078
2010-02-12,22.630292892456055
2010-02-16,22.139822006225586
2010-02-17,23.069137573242188
2010-02-18,24.15331268310547
2010-02-19,24.351221084594727
2010-02-22,23.697275161743164
2010-02-23,23.292844772338867
2010-02-24,23.060522079467773
2010-02-25,24.024242401123047
2010-02-26,23.895170211791992
2010-03-01,24.196338653564453
2010-03-02,24.32540512084961
2010-03-03,25.25470733642578
2010-03-04,26.41634178161621
2010-03-05,27.362852096557617
2010-03-08,27.500534057617188
2010-03-09,26.872394561767578
2010-03-10,27.672626495361328
2010-03-11,27.65541648864746
2010-03-12,27.793092727661133
2010-03-15,27.569374084472656
2010-03-16,27.12192726135254
2010-03-17,28.12867546081543
2010-03-18,28.5847110748291
2010-03-19,28.75681495666504
2010-03-22,29.169837951660156
2010-03-23,30.185197830200195
2010-03-24,28.76542854309082
2010-03-25,28.834245681762695
2010-03-26,29.023555755615234
2010-03-29,28.274959564208984
2010-03-30,28.31797218322754
2010-03-31,27.414485931396484
2010-04-01,28.094255447387695
2010-04-05,28.042631149291992
2010-04-06,27.75006675720215
2010-04-07,27.65541648864746
2010-04-08,27.689834594726562
2010-04-09,26.74332618713379
2010-04-12,27.02727508544922
2010-04-13,27.044485092163086
2010-04-14,28.980527877807617
2010-04-15,29.290306091308594
2010-04-16,28.99774742126465
2010-04-19,28.851469039916992
2010-04-20,29.230073928833008
2010-04-21,31.58775520324707
2010-04-22,32.53426742553711
2010-04-23,32.54287338256836
2010-04-26,32.31914520263672
2010-04-27,30.85637092590332
2010-04-28,28.834245681762695
2010-04-29,29.169837951660156
2010-04-30,26.717510223388672
2010-05-03,27.646812438964844
2010-05-04,26.67448616027832
2010-05-05,25.968902587890625
2010-05-06,24.69541358947754
2010-05-07,23.069137573242188
2010-05-10,25.650527954101562
2010-05-11,25.83123207092285
2010-05-12,26.665878295898438
2010-05-13,25.211688995361328
2010-05-14,24.790063858032227
2010-05-17,24.833086013793945
2010-05-18,23.421920776367188
2010-05-19,23.671459197998047
2010-05-20,22.501220703125
2010-05-21,23.955406188964844
2010-05-24,23.54237937927246
