Date,REXR
2013-07-19,10.236258506774902
2013-07-22,10.207094192504883
2013-07-23,10.272712707519531
2013-07-24,10.2216796875
2013-07-25,10.22896671295166
2013-07-26,10.301873207092285
2013-07-29,10.236258506774902
2013-07-30,10.214387893676758
2013-07-31,10.22896671295166
2013-08-01,10.214387893676758
2013-08-02,10.207094192504883
2013-08-05,10.214387893676758
2013-08-06,10.170642852783203
2013-08-07,10.0758638381958
2013-08-08,9.937336921691895
2013-08-09,9.813392639160156
2013-08-12,9.9154634475708
2013-08-13,10.134185791015625
2013-08-14,10.19980239868164
2013-08-15,9.908171653747559
2013-08-16,10.112316131591797
2013-08-19,9.78422737121582
2013-08-20,9.9154634475708
2013-08-21,9.609251022338867
2013-08-22,9.689444541931152
2013-08-23,9.9154634475708
2013-08-26,9.87171745300293
2013-08-27,9.959208488464355
2013-08-28,9.682161331176758
2013-08-29,9.674867630004883
2013-08-30,9.609251022338867
2013-09-03,9.879010200500488
2013-09-04,9.864426612854004
2013-09-05,9.660285949707031
2013-09-06,9.616540908813477
2013-09-09,9.806098937988281
2013-09-10,9.864426612854004
2013-09-11,9.78422737121582
2013-09-12,9.90088176727295
2013-09-13,9.966497421264648
2013-09-16,10.177931785583496
2013-09-17,10.185219764709473
2013-09-18,10.272712707519531
2013-09-19,10.170642852783203
2013-09-20,9.806098937988281
2013-09-23,10.11960506439209
2013-09-24,10.05398941040039
2013-09-25,10.185219764709473
2013-09-26,10.163352012634277
2013-09-27,10.002952575683594
2013-09-30,9.849847793579102
2013-10-01,9.98108196258545
2013-10-02,9.937336921691895
2013-10-03,9.951916694641113
2013-10-04,9.857137680053711
2013-10-07,9.762356758117676
2013-10-08,9.587380409240723
2013-10-09,9.638413429260254
2013-10-10,9.75506591796875
2013-10-11,9.798811912536621
2013-10-14,9.9154634475708
2013-10-15,9.88630199432373
2013-10-16,9.87171745300293
2013-10-17,9.908171653747559
2013-10-18,9.973788261413574
2013-10-21,9.893589973449707
2013-10-22,9.966497421264648
2013-10-23,9.98108196258545
2013-10-24,10.0758638381958
2013-10-25,10.31645393371582
2013-10-28,10.243549346923828
2013-10-29,10.214387893676758
2013-10-30,10.207094192504883
2013-10-31,9.930046081542969
2013-11-01,9.951916694641113
2013-11-04,9.9154634475708
2013-11-05,9.864426612854004
2013-11-06,9.88630199432373
2013-11-07,9.842552185058594
2013-11-08,9.529053688049316
2013-11-11,9.529053688049316
2013-11-12,9.558218002319336
2013-11-13,9.638413429260254
2013-11-14,9.806098937988281
2013-11-15,9.879010200500488
2013-11-18,10.105025291442871
2013-11-19,10.002952575683594
2013-11-20,10.05398941040039
2013-11-21,10.105025291442871
2013-11-22,10.061280250549316
2013-11-25,10.032116889953613
2013-11-26,10.105025291442871
2013-11-27,10.148768424987793
2013-11-29,10.156059265136719
2013-12-02,10.177931785583496
2013-12-03,10.05398941040039
2013-12-04,10.097736358642578
2013-12-05,10.11960506439209
2013-12-06,10.192513465881348
2013-12-09,10.105025291442871
2013-12-10,10.061280250549316
2013-12-11,9.813392639160156
2013-12-12,9.601961135864258
2013-12-13,9.638413429260254
2013-12-16,9.580086708068848
2013-12-17,9.550923347473145
2013-12-18,9.631123542785645
2013-12-19,9.587380409240723
2013-12-20,9.623830795288086
2013-12-23,9.762356758117676
2013-12-24,9.791522979736328
2013-12-26,9.673016548156738
2013-12-27,9.769298553466797
2013-12-30,9.843364715576172
2013-12-31,9.776705741882324
2014-01-02,9.502663612365723
2014-01-03,9.872992515563965
2014-01-06,9.85817813873291
2014-01-07,9.754487991333008
2014-01-08,9.724861145019531
2014-01-09,9.739675521850586
2014-01-10,9.843364715576172
2014-01-13,9.769298553466797
2014-01-14,9.784112930297852
2014-01-15,9.754487991333008
2014-01-16,9.754487991333008
2014-01-17,9.724861145019531
2014-01-21,9.710051536560059
2014-01-22,9.717453002929688
2014-01-23,9.843364715576172
2014-01-24,9.91002368927002
2014-01-27,9.628575325012207
2014-01-28,9.650795936584473
2014-01-29,9.673016548156738
2014-01-30,9.85817813873291
2014-01-31,10.110005378723145
2014-02-03,9.88039779663086
2014-02-04,9.991499900817871
2014-02-05,9.776705741882324
2014-02-06,9.754487991333008
2014-02-07,9.85817813873291
2014-02-10,9.969280242919922
2014-02-11,9.969280242919922
2014-02-12,9.924838066101074
2014-02-13,10.1470365524292
2014-02-14,10.065563201904297
2014-02-18,10.176663398742676
2014-02-19,10.07297134399414
2014-02-20,10.176663398742676
2014-02-21,9.961870193481445
2014-02-24,10.07297134399414
2014-02-25,9.998903274536133
2014-02-26,10.258136749267578
2014-02-27,10.606246948242188
2014-02-28,10.50995922088623
2014-03-03,10.406268119812012
2014-03-04,10.82844352722168
2014-03-05,10.924729347229004
2014-03-06,10.82844352722168
2014-03-07,10.695123672485352
2014-03-10,10.724752426147461
2014-03-11,10.80622386932373
2014-03-12,10.66550064086914
2014-03-13,10.546992301940918
2014-03-14,10.5692138671875
2014-03-17,10.584024429321289
2014-03-18,10.591432571411133
2014-03-19,10.50995922088623
2014-03-20,10.435895919799805
2014-03-21,10.4210844039917
2014-03-24,10.532180786132812
2014-03-25,10.495146751403809
2014-03-26,10.406268119812012
2014-03-27,10.570613861083984
2014-03-28,10.510852813720703
2014-03-31,10.593029022216797
2014-04-01,10.548208236694336
2014-04-02,10.720026969909668
2014-04-03,10.652790069580078
2014-04-04,10.56314468383789
2014-04-07,10.525792121887207
2014-04-08,10.63785171508789
2014-04-09,10.615439414978027
2014-04-10,10.578085899353027
2014-04-11,10.47350025177002
2014-04-14,10.510852813720703
