Date,AURA
2021-10-29,14.800000190734863
2021-11-01,15.300000190734863
2021-11-02,17.209999084472656
2021-11-03,17.829999923706055
2021-11-04,18.309999465942383
2021-11-05,18.690000534057617
2021-11-08,15.800000190734863
2021-11-09,17.149999618530273
2021-11-10,16.260000228881836
2021-11-11,17.25
2021-11-12,17.489999771118164
2021-11-15,20.700000762939453
2021-11-16,24.889999389648438
2021-11-17,23.989999771118164
2021-11-18,22.309999465942383
2021-11-19,22.5
2021-11-22,19.81999969482422
2021-11-23,17.950000762939453
2021-11-24,19.989999771118164
2021-11-26,22.6200008392334
2021-11-29,17.75
2021-11-30,17.440000534057617
2021-12-01,18.110000610351562
2021-12-02,19.139999389648438
2021-12-03,18.610000610351562
2021-12-06,16.559999465942383
2021-12-07,15.699999809265137
2021-12-08,16.559999465942383
2021-12-09,17.200000762939453
2021-12-10,17.25
2021-12-13,16.450000762939453
2021-12-14,17.0
2021-12-15,18.260000228881836
2021-12-16,18.1299991607666
2021-12-17,16.110000610351562
2021-12-20,14.760000228881836
2021-12-21,15.010000228881836
2021-12-22,15.319999694824219
2021-12-23,16.040000915527344
2021-12-27,17.610000610351562
2021-12-28,16.18000030517578
2021-12-29,16.510000228881836
2021-12-30,16.6200008392334
2021-12-31,16.979999542236328
2022-01-03,18.790000915527344
2022-01-04,18.940000534057617
2022-01-05,17.299999237060547
2022-01-06,18.25
2022-01-07,16.93000030517578
2022-01-10,17.729999542236328
2022-01-11,17.59000015258789
2022-01-12,15.9399995803833
2022-01-13,16.450000762939453
2022-01-14,16.399999618530273
2022-01-18,16.260000228881836
2022-01-19,19.5
2022-01-20,18.15999984741211
2022-01-21,17.809999465942383
2022-01-24,18.010000228881836
2022-01-25,17.8700008392334
2022-01-26,17.690000534057617
2022-01-27,17.760000228881836
2022-01-28,17.75
2022-01-31,18.25
2022-02-01,18.219999313354492
2022-02-02,17.809999465942383
2022-02-03,18.200000762939453
2022-02-04,18.040000915527344
2022-02-07,19.110000610351562
2022-02-08,18.190000534057617
2022-02-09,18.110000610351562
2022-02-10,18.329999923706055
2022-02-11,17.81999969482422
2022-02-14,18.559999465942383
2022-02-15,20.989999771118164
2022-02-16,21.989999771118164
2022-02-17,20.0
2022-02-18,17.899999618530273
2022-02-22,19.15999984741211
2022-02-23,19.170000076293945
2022-02-24,19.010000228881836
2022-02-25,18.209999084472656
2022-02-28,17.899999618530273
2022-03-01,18.780000686645508
2022-03-02,18.540000915527344
2022-03-03,18.350000381469727
2022-03-04,18.989999771118164
2022-03-07,18.219999313354492
2022-03-08,17.899999618530273
2022-03-09,18.940000534057617
2022-03-10,19.030000686645508
2022-03-11,19.219999313354492
2022-03-14,19.829999923706055
2022-03-15,21.530000686645508
2022-03-16,22.309999465942383
2022-03-17,21.059999465942383
2022-03-18,22.0
2022-03-21,21.65999984741211
2022-03-22,21.479999542236328
2022-03-23,20.510000228881836
2022-03-24,21.15999984741211
2022-03-25,21.170000076293945
2022-03-28,23.34000015258789
2022-03-29,22.0
2022-03-30,22.989999771118164
2022-03-31,22.0
2022-04-01,21.860000610351562
2022-04-04,21.510000228881836
2022-04-05,21.25
2022-04-06,21.0
2022-04-07,19.719999313354492
2022-04-08,19.239999771118164
2022-04-11,17.100000381469727
2022-04-12,16.959999084472656
2022-04-13,18.260000228881836
2022-04-14,17.850000381469727
2022-04-18,17.510000228881836
2022-04-19,17.75
2022-04-20,17.959999084472656
2022-04-21,17.1299991607666
2022-04-22,16.8799991607666
2022-04-25,17.559999465942383
2022-04-26,18.040000915527344
2022-04-27,16.209999084472656
2022-04-28,15.949999809265137
2022-04-29,16.959999084472656
2022-05-02,17.8700008392334
2022-05-03,17.729999542236328
2022-05-04,17.920000076293945
2022-05-05,17.90999984741211
2022-05-06,17.899999618530273
2022-05-09,15.9399995803833
2022-05-10,16.65999984741211
2022-05-11,15.770000457763672
2022-05-12,15.630000114440918
2022-05-13,16.540000915527344
2022-05-16,16.31999969482422
2022-05-17,17.049999237060547
2022-05-18,17.200000762939453
2022-05-19,17.65999984741211
2022-05-20,17.020000457763672
2022-05-23,17.280000686645508
2022-05-24,16.764999389648438
2022-05-25,16.5
2022-05-26,16.479999542236328
2022-05-27,17.010000228881836
2022-05-31,17.469999313354492
2022-06-01,16.40999984741211
2022-06-02,17.190000534057617
2022-06-03,17.59000015258789
2022-06-06,17.489999771118164
2022-06-07,16.18000030517578
2022-06-08,16.780000686645508
2022-06-09,15.069999694824219
2022-06-10,15.0600004196167
2022-06-13,13.25
2022-06-14,13.180000305175781
2022-06-15,13.720000267028809
2022-06-16,12.869999885559082
2022-06-17,13.760000228881836
2022-06-21,13.199999809265137
2022-06-22,13.15999984741211
2022-06-23,12.369999885559082
2022-06-24,13.3100004196167
2022-06-27,12.90999984741211
2022-06-28,12.4399995803833
2022-06-29,12.569999694824219
2022-06-30,14.170000076293945
2022-07-01,14.210000038146973
2022-07-05,14.529999732971191
2022-07-06,14.40999984741211
2022-07-07,15.300000190734863
2022-07-08,15.149999618530273
2022-07-11,14.380000114440918
2022-07-12,14.149999618530273
2022-07-13,14.180000305175781
2022-07-14,14.029999732971191
2022-07-15,14.359999656677246
2022-07-18,13.6899995803833
2022-07-19,14.739999771118164
2022-07-20,13.729999542236328
2022-07-21,13.890000343322754
2022-07-22,13.600000381469727
2022-07-25,13.890000343322754
2022-07-26,14.399999618530273
2022-07-27,14.270000457763672
2022-07-28,14.130000114440918
2022-07-29,14.260000228881836
2022-08-01,13.350000381469727
2022-08-02,13.65999984741211
2022-08-03,14.0
