Date,RYAN
2021-07-22,27.034149169921875
2021-07-23,28.105682373046875
2021-07-26,28.66602897644043
2021-07-27,29.285354614257812
2021-07-28,29.147727966308594
2021-07-29,28.892133712768555
2021-07-30,29.00027084350586
2021-08-02,29.48196792602539
2021-08-03,29.09857749938965
2021-08-04,28.420263290405273
2021-08-05,29.403324127197266
2021-08-06,29.2362060546875
2021-08-09,29.619596481323242
2021-08-10,29.51146125793457
2021-08-11,29.373830795288086
2021-08-12,29.422985076904297
2021-08-13,29.472137451171875
2021-08-16,29.078914642333984
2021-08-17,28.97077751159668
2021-08-18,29.2362060546875
2021-08-19,29.737565994262695
2021-08-20,30.53384017944336
2021-08-23,31.634872436523438
2021-08-24,32.24436950683594
2021-08-25,31.153173446655273
2021-08-26,31.310461044311523
2021-08-27,30.828763961791992
2021-08-30,32.24436950683594
2021-08-31,32.35250473022461
2021-09-01,31.860973358154297
2021-09-02,33.119293212890625
2021-09-03,33.866416931152344
2021-09-07,34.4071044921875
2021-09-08,33.42403793334961
2021-09-09,34.259639739990234
2021-09-10,32.47047424316406
2021-09-13,32.726070404052734
2021-09-14,32.3033561706543
2021-09-15,32.62776184082031
2021-09-16,31.860973358154297
2021-09-17,31.045032501220703
2021-09-20,30.77960777282715
2021-09-21,31.615211486816406
2021-09-22,32.608097076416016
2021-09-23,33.15861511230469
2021-09-24,33.1684455871582
2021-09-27,33.256919860839844
2021-09-28,32.38199234008789
2021-09-29,33.17827606201172
2021-09-30,33.29623794555664
2021-10-01,32.94234085083008
2021-10-04,32.33284378051758
2021-10-05,32.696571350097656
2021-10-06,33.53218078613281
2021-10-07,34.19082260131836
2021-10-08,34.58405303955078
2021-10-11,34.38743591308594
2021-10-12,34.42676544189453
2021-10-13,35.685081481933594
2021-10-14,36.314231872558594
2021-10-15,36.5501708984375
2021-10-18,36.30440139770508
2021-10-19,36.64847183227539
2021-10-20,36.72712326049805
2021-10-21,35.85219955444336
2021-10-22,35.9799919128418
2021-10-25,35.82270812988281
2021-10-26,36.64847183227539
2021-10-27,36.29457092285156
2021-10-28,36.67797088623047
2021-10-29,37.14983367919922
2021-11-01,36.57966232299805
2021-11-02,36.5501708984375
2021-11-03,36.22575759887695
2021-11-04,36.37321472167969
2021-11-05,36.64847183227539
2021-11-08,37.29729080200195
2021-11-09,37.002376556396484
2021-11-10,36.92373275756836
2021-11-11,37.41526412963867
2021-11-12,39.676300048828125
2021-11-15,38.447479248046875
2021-11-16,37.74950408935547
2021-11-17,37.92645263671875
2021-11-18,38.634254455566406
2021-11-19,39.2634162902832
2021-11-22,39.430538177490234
2021-11-23,39.076637268066406
2021-11-24,39.29290771484375
2021-11-26,39.4108772277832
2021-11-29,39.430538177490234
2021-11-30,37.621707916259766
2021-12-01,37.80848693847656
2021-12-02,38.8406982421875
2021-12-03,38.56544494628906
2021-12-06,37.19898986816406
2021-12-07,38.43764114379883
2021-12-08,38.88985824584961
2021-12-09,37.513572692871094
2021-12-10,37.78882598876953
2021-12-13,37.828147888183594
2021-12-14,37.89696502685547
2021-12-15,37.28746795654297
2021-12-16,38.20170593261719
2021-12-17,38.8406982421875
2021-12-20,37.543060302734375
2021-12-21,37.906795501708984
2021-12-22,38.48679733276367
2021-12-23,38.67357635498047
2021-12-27,39.519012451171875
2021-12-28,39.135623931884766
