Date,LH
2010-01-04,62.84385299682617
2010-01-05,62.078582763671875
2010-01-06,61.049964904785156
2010-01-07,61.033512115478516
2010-01-08,60.942989349365234
2010-01-11,61.6259765625
2010-01-12,60.73727035522461
2010-01-13,62.01274108886719
2010-01-14,63.29644012451172
2010-01-15,62.33367156982422
2010-01-19,63.00843811035156
2010-01-20,62.35835266113281
2010-01-21,61.3873405456543
2010-01-22,59.47001647949219
2010-01-25,60.11186599731445
2010-01-26,60.218841552734375
2010-01-27,59.40419387817383
2010-01-28,58.4578742980957
2010-01-29,58.50724411010742
2010-02-01,58.91868209838867
2010-02-02,59.741573333740234
2010-02-03,59.08325958251953
2010-02-04,58.04642868041992
2010-02-05,58.12871551513672
2010-02-08,57.71726608276367
2010-02-09,57.72550582885742
2010-02-10,58.400264739990234
2010-02-11,58.88576889038086
2010-02-12,59.05034255981445
2010-02-16,59.6016845703125
2010-02-17,60.19416427612305
2010-02-18,60.169471740722656
2010-02-19,60.87716293334961
2010-02-22,60.868927001953125
2010-02-23,60.39988327026367
2010-02-24,60.48217010498047
2010-02-25,60.177703857421875
2010-02-26,60.32582092285156
2010-03-01,61.049964904785156
2010-03-02,61.428489685058594
2010-03-03,60.30113220214844
2010-03-04,59.73334503173828
2010-03-05,59.618133544921875
2010-03-08,59.28075408935547
2010-03-09,59.15732192993164
2010-03-10,59.51116180419922
2010-03-11,60.71257781982422
2010-03-12,60.646751403808594
2010-03-15,61.4449462890625
2010-03-16,61.71650695800781
2010-03-17,62.30074691772461
2010-03-18,62.67927551269531
2010-03-19,62.13616180419922
2010-03-22,62.75334167480469
2010-03-23,61.165164947509766
2010-03-24,60.87716293334961
2010-03-25,61.634212493896484
2010-03-26,62.19377899169922
2010-03-29,62.3830451965332
2010-03-30,62.49824905395508
2010-03-31,62.30074691772461
2010-04-01,63.502159118652344
2010-04-05,63.27175521850586
2010-04-06,63.485713958740234
2010-04-07,62.91792297363281
2010-04-08,62.6463623046875
2010-04-09,62.671043395996094
2010-04-12,63.09071350097656
2010-04-13,62.901466369628906
2010-04-14,62.75334167480469
2010-04-15,63.97943878173828
2010-04-16,63.34581756591797
2010-04-19,65.27959442138672
2010-04-20,66.02842712402344
2010-04-21,66.65381622314453
2010-04-22,66.39871978759766
2010-04-23,65.82271575927734
2010-04-26,64.93399810791016
2010-04-27,63.70787811279297
