Date,KNF
2023-06-06,36.88999938964844
2023-06-07,39.34000015258789
2023-06-08,40.97999954223633
2023-06-09,43.66999816894531
2023-06-12,44.0
2023-06-13,44.91999816894531
2023-06-14,46.38999938964844
2023-06-15,47.599998474121094
2023-06-16,45.90999984741211
2023-06-20,45.09000015258789
2023-06-21,46.86000061035156
2023-06-22,45.459999084472656
2023-06-23,45.56999969482422
2023-06-26,46.86000061035156
2023-06-27,47.20000076293945
2023-06-28,45.77000045776367
2023-06-29,43.790000915527344
2023-06-30,43.5
2023-07-03,45.0099983215332
2023-07-05,43.369998931884766
2023-07-06,42.20000076293945
2023-07-07,42.939998626708984
2023-07-10,43.5
2023-07-11,43.150001525878906
2023-07-12,43.0
2023-07-13,43.79999923706055
2023-07-14,43.75
2023-07-17,42.939998626708984
2023-07-18,44.31999969482422
2023-07-19,43.689998626708984
2023-07-20,42.869998931884766
2023-07-21,43.0099983215332
2023-07-24,43.93000030517578
2023-07-25,43.779998779296875
2023-07-26,44.29999923706055
2023-07-27,43.58000183105469
2023-07-28,43.90999984741211
2023-07-31,43.470001220703125
2023-08-01,43.77000045776367
2023-08-02,44.18000030517578
2023-08-03,45.2400016784668
2023-08-04,46.290000915527344
2023-08-07,47.54999923706055
2023-08-08,51.5
2023-08-09,49.939998626708984
2023-08-10,50.33000183105469
2023-08-11,50.619998931884766
2023-08-14,50.54999923706055
2023-08-15,52.06999969482422
2023-08-16,49.61000061035156
2023-08-17,48.72999954223633
2023-08-18,48.56999969482422
2023-08-21,49.70000076293945
2023-08-22,48.36000061035156
2023-08-23,47.83000183105469
2023-08-24,47.75
2023-08-25,48.13999938964844
2023-08-28,49.810001373291016
2023-08-29,50.5099983215332
2023-08-30,50.66999816894531
2023-08-31,51.459999084472656
2023-09-01,52.58000183105469
2023-09-05,49.400001525878906
2023-09-06,48.58000183105469
2023-09-07,49.599998474121094
2023-09-08,50.61000061035156
2023-09-11,52.70000076293945
2023-09-12,51.9900016784668
2023-09-13,51.709999084472656
2023-09-14,51.61000061035156
2023-09-15,50.15999984741211
2023-09-18,49.36000061035156
2023-09-19,49.2400016784668
2023-09-20,50.29999923706055
2023-09-21,47.68000030517578
2023-09-22,48.099998474121094
2023-09-25,48.70000076293945
2023-09-26,47.869998931884766
2023-09-27,48.38999938964844
2023-09-28,49.650001525878906
2023-09-29,48.83000183105469
2023-10-02,48.060001373291016
2023-10-03,47.7400016784668
2023-10-04,48.900001525878906
2023-10-05,49.0099983215332
2023-10-06,50.29999923706055
2023-10-09,51.0099983215332
2023-10-10,51.70000076293945
2023-10-11,52.88999938964844
2023-10-12,52.68000030517578
2023-10-13,52.459999084472656
2023-10-16,53.849998474121094
2023-10-17,53.369998931884766
2023-10-18,51.27000045776367
2023-10-19,50.38999938964844
2023-10-20,49.86000061035156
2023-10-23,49.11000061035156
2023-10-24,49.77000045776367
2023-10-25,49.040000915527344
2023-10-26,47.83000183105469
2023-10-27,48.0099983215332
2023-10-30,49.04999923706055
2023-10-31,50.31999969482422
2023-11-01,53.08000183105469
2023-11-02,53.86000061035156
2023-11-03,54.709999084472656
2023-11-06,58.959999084472656
2023-11-07,55.34000015258789
2023-11-08,55.959999084472656
2023-11-09,56.040000915527344
2023-11-10,56.029998779296875
2023-11-13,56.189998626708984
2023-11-14,57.279998779296875
2023-11-15,57.56999969482422
2023-11-16,56.689998626708984
2023-11-17,57.650001525878906
2023-11-20,57.20000076293945
2023-11-21,57.2400016784668
2023-11-22,58.63999938964844
2023-11-24,58.75
2023-11-27,60.83000183105469
2023-11-28,59.150001525878906
2023-11-29,59.349998474121094
2023-11-30,59.68000030517578
2023-12-01,60.459999084472656
2023-12-04,60.91999816894531
2023-12-05,60.04999923706055
2023-12-06,61.310001373291016
2023-12-07,62.09000015258789
2023-12-08,62.529998779296875
2023-12-11,62.540000915527344
2023-12-12,62.93000030517578
2023-12-13,63.709999084472656
2023-12-14,64.29000091552734
2023-12-15,64.31999969482422
2023-12-18,64.69999694824219
2023-12-19,65.51000213623047
2023-12-20,64.30999755859375
2023-12-21,64.93000030517578
2023-12-22,65.51000213623047
2023-12-26,66.75
2023-12-27,67.2699966430664
2023-12-28,67.02999877929688
2023-12-29,66.18000030517578
2024-01-02,64.19000244140625
2024-01-03,61.90999984741211
2024-01-04,62.45000076293945
2024-01-05,64.0
2024-01-08,64.77999877929688
2024-01-09,63.70000076293945
2024-01-10,64.37999725341797
2024-01-11,64.31999969482422
2024-01-12,63.95000076293945
2024-01-16,63.06999969482422
2024-01-17,62.06999969482422
2024-01-18,63.779998779296875
2024-01-19,63.970001220703125
2024-01-22,64.80000305175781
2024-01-23,63.209999084472656
2024-01-24,63.099998474121094
2024-01-25,64.63999938964844
2024-01-26,65.98999786376953
2024-01-29,67.91000366210938
2024-01-30,67.08999633789062
2024-01-31,65.48999786376953
2024-02-01,67.69999694824219
2024-02-02,69.0
2024-02-05,66.0
2024-02-06,66.7699966430664
2024-02-07,66.83000183105469
2024-02-08,68.13999938964844
2024-02-09,68.33000183105469
2024-02-12,68.1500015258789
2024-02-13,66.30000305175781
2024-02-14,68.93000030517578
2024-02-15,69.38999938964844
2024-02-16,69.58999633789062
2024-02-20,69.05000305175781
2024-02-21,71.93000030517578
2024-02-22,72.13999938964844
2024-02-23,72.33000183105469
2024-02-26,72.2699966430664
2024-02-27,72.08999633789062
2024-02-28,72.30999755859375
2024-02-29,74.08999633789062
2024-03-01,74.48999786376953
2024-03-04,75.37999725341797
2024-03-05,74.69999694824219
2024-03-06,75.27999877929688
