Date,KFY
2010-01-04,14.773368835449219
2010-01-05,14.677828788757324
2010-01-06,14.703892707824707
2010-01-07,14.747309684753418
2010-01-08,14.747309684753418
2010-01-11,14.4259672164917
2010-01-12,13.948283195495605
2010-01-13,14.113299369812012
2010-01-14,13.791953086853027
2010-01-15,13.18399429321289
2010-01-19,13.21873664855957
2010-01-20,12.89738655090332
2010-01-21,12.628145217895508
2010-01-22,12.63683032989502
2010-01-25,12.645516395568848
2010-01-26,12.680259704589844
2010-01-27,12.810537338256836
2010-01-28,12.69762897491455
2010-01-29,12.853958129882812
2010-02-01,12.966864585876465
2010-02-02,13.288216590881348
2010-02-03,13.331636428833008
2010-02-04,13.270844459533691
2010-02-05,13.279528617858887
2010-02-08,12.767108917236328
2010-02-09,13.21004867553711
2010-02-10,12.906068801879883
2010-02-11,13.40112018585205
2010-02-12,13.566143989562988
2010-02-16,13.791953086853027
2010-02-17,13.878803253173828
2010-02-18,14.156728744506836
2010-02-19,14.399909973144531
2010-02-22,14.773368835449219
2010-02-23,14.76468276977539
2010-02-24,15.112091064453125
2010-02-25,14.90364933013916
2010-02-26,14.834163665771484
2010-03-01,15.120776176452637
2010-03-02,15.007863998413086
2010-03-03,15.112091064453125
2010-03-04,15.320528984069824
2010-03-05,15.633190155029297
2010-03-08,15.667932510375977
2010-03-09,15.841631889343262
2010-03-10,15.867691040039062
2010-03-11,16.162994384765625
2010-03-12,15.96323013305664
2010-03-15,15.650565147399902
2010-03-16,15.563715934753418
2010-03-17,15.624512672424316
2010-03-18,15.528975486755371
2010-03-19,15.077347755432129
2010-03-22,15.416065216064453
2010-03-23,15.390012741088867
2010-03-24,15.146828651428223
2010-03-25,15.138144493103027
2010-03-26,15.520285606384277
2010-03-29,15.581080436706543
2010-03-30,15.607147216796875
2010-03-31,15.329209327697754
2010-04-01,15.468179702758789
2010-04-05,15.607147216796875
2010-04-06,15.442119598388672
2010-04-07,15.337897300720215
2010-04-08,15.28579330444336
2010-04-09,15.28579330444336
2010-04-12,15.277103424072266
2010-04-13,15.390012741088867
2010-04-14,15.728734016418457
2010-04-15,15.702677726745605
2010-04-16,15.850323677062988
2010-04-19,15.468179702758789
2010-04-20,15.528975486755371
2010-04-21,15.025235176086426
2010-04-22,14.842848777770996
2010-04-23,15.35527229309082
2010-04-26,15.494235038757324
2010-04-27,14.782054901123047
2010-04-28,14.703892707824707
2010-04-29,14.521502494812012
2010-04-30,14.078560829162598
2010-05-03,14.330427169799805
2010-05-04,13.896174430847168
2010-05-05,13.80932331085205
2010-05-06,13.592194557189941
