Date,VTR
2010-01-04,24.942405700683594
2010-01-05,25.063220977783203
2010-01-06,24.781291961669922
2010-01-07,25.057464599609375
2010-01-08,24.781291961669922
2010-01-11,25.281864166259766
2010-01-12,25.120773315429688
2010-01-13,25.839981079101562
2010-01-14,25.75367546081543
2010-01-15,25.70189666748047
2010-01-19,26.081640243530273
2010-01-20,25.638593673706055
2010-01-21,25.063220977783203
2010-01-22,24.597171783447266
2010-01-25,24.533885955810547
2010-01-26,24.424560546875
2010-01-27,24.787063598632812
2010-01-28,24.568401336669922
2010-01-29,24.28072166442871
2010-02-01,24.602928161621094
2010-02-02,24.97117042541504
2010-02-03,24.579914093017578
2010-02-04,23.561500549316406
2010-02-05,24.20592498779297
2010-02-08,23.711091995239258
2010-02-09,23.636301040649414
2010-02-10,23.814668655395508
2010-02-11,24.09084701538086
2010-02-12,24.096599578857422
2010-02-16,24.913631439208984
2010-02-17,25.414201736450195
2010-02-18,25.86874771118164
2010-02-19,25.943544387817383
2010-02-22,25.909019470214844
2010-02-23,25.73065948486328
2010-02-24,25.834232330322266
2010-02-25,25.575300216674805
2010-02-26,25.42571449279785
2010-03-01,25.598329544067383
2010-03-02,25.575300216674805
2010-03-03,25.49475860595703
2010-03-04,25.529281616210938
2010-03-05,25.960811614990234
2010-03-08,26.11615562438965
2010-03-09,26.288782119750977
2010-03-10,26.43723487854004
2010-03-11,26.728321075439453
2010-03-12,27.065994262695312
2010-03-15,27.15913963317871
2010-03-16,27.607431411743164
2010-03-17,27.89853286743164
2010-03-18,27.677289962768555
2010-03-19,27.601604461669922
2010-03-22,28.306062698364258
2010-03-23,28.224544525146484
2010-03-24,28.323518753051758
2010-03-25,28.247838973999023
2010-03-26,28.003318786621094
2010-03-29,28.026609420776367
2010-03-30,28.026609420776367
2010-03-31,27.642364501953125
2010-04-01,27.5899658203125
2010-04-05,28.03243637084961
2010-04-06,28.445781707763672
2010-04-07,27.87523078918457
2010-04-08,27.543397903442383
2010-04-09,27.36290740966797
2010-04-12,27.194080352783203
2010-04-13,27.549213409423828
2010-04-14,27.18825340270996
