Date,PRKS
2013-04-19,29.366220474243164
2013-04-22,28.840566635131836
2013-04-23,28.779245376586914
2013-04-24,28.44633674621582
2013-04-25,29.08587646484375
2013-04-26,28.314924240112305
2013-04-29,29.05083656311035
2013-04-30,29.436304092407227
2013-05-01,28.954463958740234
2013-05-02,29.515151977539062
2013-05-03,29.02454948425293
2013-05-06,28.91065788269043
2013-05-07,29.541439056396484
2013-05-08,29.80426025390625
2013-05-09,30.093360900878906
2013-05-10,30.802989959716797
2013-05-13,32.29233169555664
2013-05-14,32.34489059448242
2013-05-15,32.72160339355469
2013-05-16,32.72160339355469
2013-05-17,34.06201934814453
2013-05-20,34.03573226928711
2013-05-21,33.387428283691406
2013-05-22,33.05451202392578
2013-05-23,32.81797409057617
2013-05-24,33.28229904174805
2013-05-28,33.03700256347656
2013-05-29,31.67031478881836
2013-05-30,31.188461303710938
2013-05-31,31.004487991333008
2013-06-03,31.2235050201416
2013-06-04,32.064544677734375
2013-06-05,31.880573272705078
2013-06-06,32.80921936035156
2013-06-07,32.90559387207031
2013-06-10,33.05451202392578
2013-06-11,32.43250274658203
2013-06-12,32.0908317565918
2013-06-13,32.528873443603516
2013-06-14,33.247257232666016
2013-06-17,33.203453063964844
2013-06-18,33.4588623046875
2013-06-19,33.71427536010742
2013-06-20,33.46767044067383
2013-06-21,33.22987747192383
2013-06-24,32.96565628051758
2013-06-25,31.970434188842773
2013-06-26,31.309886932373047
2013-06-27,30.913558959960938
2013-06-28,30.913558959960938
2013-07-01,32.06731414794922
2013-07-02,31.44199562072754
2013-07-03,30.97520637512207
2013-07-05,31.221813201904297
2013-07-08,32.13776779174805
2013-07-09,33.88161849975586
2013-07-10,33.93445587158203
2013-07-11,34.2779426574707
2013-07-12,33.74950408935547
2013-07-15,34.242713928222656
2013-07-16,34.092987060546875
2013-07-17,33.731895446777344
2013-07-18,33.62620162963867
2013-07-19,33.731895446777344
2013-07-22,33.51170349121094
2013-07-23,33.75830841064453
2013-07-24,33.30033874511719
2013-07-25,33.000885009765625
