Date,HL
2010-01-04,6.000921249389648
2010-01-05,6.047297477722168
2010-01-06,6.353371620178223
2010-01-07,6.186422824859619
2010-01-08,6.204970359802246
2010-01-11,6.149323463439941
2010-01-12,5.722672939300537
2010-01-13,5.833970546722412
2010-01-14,5.796872138977051
2010-01-15,5.713396072387695
2010-01-19,5.787596225738525
2010-01-20,5.425872325897217
2010-01-21,4.943572998046875
2010-01-22,4.832273483276367
2010-01-25,4.785897731781006
2010-01-26,4.674597263336182
2010-01-27,4.609672546386719
2010-01-28,4.544750213623047
2010-01-29,4.229397296905518
2010-02-01,4.758072853088379
2010-02-02,4.720972061157227
2010-02-03,4.7395219802856445
2010-02-04,4.192298412322998
2010-02-05,4.489097595214844
2010-02-08,4.238673686981201
2010-02-09,4.535472393035889
2010-02-10,4.489097595214844
2010-02-11,4.804447650909424
2010-02-12,4.748798370361328
2010-02-16,5.110522270202637
2010-02-17,5.008497714996338
2010-02-18,4.915748119354248
2010-02-19,4.887921333312988
2010-02-22,4.915748119354248
2010-02-23,4.6560468673706055
2010-02-24,4.6282219886779785
2010-02-25,4.804447650909424
2010-02-26,4.822997570037842
2010-03-01,4.943572998046875
2010-03-02,5.119797706604004
2010-03-03,5.15689754486084
2010-03-04,5.082695960998535
2010-03-05,5.240371227264404
2010-03-08,5.221822261810303
2010-03-09,5.15689754486084
2010-03-10,5.101247787475586
2010-03-11,5.15689754486084
2010-03-12,5.101247787475586
2010-03-15,5.091972351074219
2010-03-16,5.342398643493652
2010-03-17,5.435148239135742
2010-03-18,5.286746978759766
2010-03-19,5.091972351074219
2010-03-22,5.0270466804504395
2010-03-23,5.212547779083252
2010-03-24,4.943572998046875
2010-03-25,4.804447650909424
2010-03-26,4.943572998046875
2010-03-29,5.0270466804504395
2010-03-30,5.0270466804504395
2010-03-31,5.073422908782959
2010-04-01,5.32384729385376
2010-04-05,5.472248554229736
2010-04-06,5.472248554229736
2010-04-07,5.592823505401611
2010-04-08,5.583549499511719
2010-04-09,5.676298141479492
2010-04-12,5.518622398376465
2010-04-13,5.379499435424805
2010-04-14,5.425872325897217
2010-04-15,5.416597366333008
2010-04-16,5.2310967445373535
2010-04-19,5.15689754486084
2010-04-20,5.268196105957031
2010-04-21,5.314572334289551
2010-04-22,5.407324314117432
2010-04-23,5.4815239906311035
2010-04-26,5.462972640991211
2010-04-27,5.425872325897217
