Date,EA
2010-01-04,17.663650512695312
2010-01-05,18.159976959228516
2010-01-06,17.692842483520508
2010-01-07,17.556594848632812
2010-01-08,17.906944274902344
2010-01-11,17.78042984008789
2010-01-12,16.398481369018555
2010-01-13,16.70990753173828
2010-01-14,16.719640731811523
2010-01-15,16.573659896850586
2010-01-19,16.70990753173828
2010-01-20,16.748836517333984
2010-01-21,16.91427993774414
2010-01-22,16.320627212524414
2010-01-25,16.37901496887207
2010-01-26,16.291427612304688
2010-01-27,16.670978546142578
2010-01-28,16.320627212524414
2010-01-29,15.843757629394531
2010-02-01,16.291427612304688
2010-02-02,16.612590789794922
2010-02-03,16.80722999572754
2010-02-04,16.52499771118164
2010-02-05,16.797496795654297
2010-02-08,17.021329879760742
2010-02-09,15.532330513000488
2010-02-10,15.512866020202637
2010-02-11,15.688041687011719
2010-02-12,15.629652976989746
2010-02-16,15.872954368591309
2010-02-17,16.184375762939453
2010-02-18,16.14545249938965
2010-02-19,16.30116081237793
2010-02-22,16.14545249938965
2010-02-23,15.872954368591309
2010-02-24,16.077329635620117
2010-02-25,16.116254806518555
2010-02-26,16.135719299316406
2010-03-01,16.417951583862305
2010-03-02,16.291427612304688
2010-03-03,16.35955238342285
2010-03-04,16.369287490844727
2010-03-05,16.6612491607666
2010-03-08,16.816957473754883
2010-03-09,17.10892105102539
2010-03-10,17.41061019897461
2010-03-11,17.420345306396484
2010-03-12,17.2938289642334
2010-03-15,17.39114761352539
2010-03-16,17.4398136138916
2010-03-17,17.653913497924805
2010-03-18,18.033458709716797
2010-03-19,17.926410675048828
2010-03-22,18.062658309936523
2010-03-23,18.023733139038086
2010-03-24,18.033458709716797
2010-03-25,18.062658309936523
2010-03-26,18.344890594482422
2010-03-29,18.179445266723633
2010-03-30,18.286495208740234
2010-03-31,18.159976959228516
2010-04-01,18.335161209106445
2010-04-05,18.588186264038086
2010-04-06,18.59792137145996
2010-04-07,18.666048049926758
2010-04-08,18.675783157348633
2010-04-09,18.841222763061523
2010-04-12,18.880151748657227
2010-04-13,18.802291870117188
2010-04-14,19.211040496826172
2010-04-15,18.928810119628906
2010-04-16,19.045595169067383
2010-04-19,19.18184471130371
2010-04-20,19.434877395629883
2010-04-21,19.22077178955078
