Date,BEN
2010-01-04,20.403614044189453
2010-01-05,20.562305450439453
2010-01-06,20.57741928100586
2010-01-07,20.392269134521484
2010-01-08,20.413055419921875
2010-01-11,20.858903884887695
2010-01-12,20.951492309570312
2010-01-13,21.087505340576172
2010-01-14,20.97982406616211
2010-01-15,20.462173461914062
2010-01-19,20.921255111694336
2010-01-20,20.58308982849121
2010-01-21,19.78394317626953
2010-01-22,19.130273818969727
2010-01-25,19.553457260131836
2010-01-26,18.981029510498047
2010-01-27,19.62525177001953
2010-01-28,18.95456886291504
2010-01-29,18.708974838256836
2010-02-01,19.16617202758789
2010-02-02,19.23040199279785
2010-02-03,19.237957000732422
2010-02-04,18.56728744506836
2010-02-05,18.51439094543457
2010-02-08,18.193220138549805
2010-02-09,18.367033004760742
2010-02-10,18.382144927978516
2010-02-11,18.512495040893555
2010-02-12,18.48793601989746
2010-02-16,18.88845443725586
2010-02-17,19.062259674072266
2010-02-18,19.158611297607422
2010-02-19,19.196401596069336
2010-02-22,19.149168014526367
2010-02-23,18.897899627685547
2010-02-24,19.203948974609375
2010-02-25,18.924354553222656
2010-02-26,19.217178344726562
2010-03-01,19.428768157958984
2010-03-02,19.6724796295166
2010-03-03,19.63280487060547
2010-03-04,19.969083786010742
2010-03-05,20.64731788635254
2010-03-08,20.46406364440918
2010-03-09,20.433837890625
2010-03-10,20.295923233032227
2010-03-11,20.3979434967041
2010-03-12,20.46785545349121
2010-03-15,20.46595573425293
2010-03-16,20.581195831298828
2010-03-17,21.059167861938477
2010-03-18,21.081846237182617
2010-03-19,20.851350784301758
2010-03-22,21.049718856811523
2010-03-23,21.289655685424805
2010-03-24,20.900474548339844
2010-03-25,21.202747344970703
2010-03-26,20.962820053100586
2010-03-29,21.057464599609375
2010-03-30,21.144548416137695
2010-03-31,20.99311065673828
2010-04-01,21.5098876953125
2010-04-05,21.668903350830078
2010-04-06,21.579933166503906
2010-04-07,21.358449935913086
2010-04-08,21.492855072021484
2010-04-09,21.735149383544922
2010-04-12,21.780582427978516
2010-04-13,22.494234085083008
2010-04-14,22.96368408203125
2010-04-15,22.9542236328125
2010-04-16,22.422304153442383
2010-04-19,22.568063735961914
2010-04-20,22.600244522094727
2010-04-21,22.32575798034668
2010-04-22,22.189472198486328
2010-04-23,22.647571563720703
2010-04-26,22.07400131225586
2010-04-27,21.384946823120117
2010-04-28,21.617795944213867
2010-04-29,22.401479721069336
2010-04-30,21.890378952026367
2010-05-03,22.19703483581543
2010-05-04,21.453107833862305
2010-05-05,21.282730102539062
