Date,CME
2010-01-04,36.601566314697266
2010-01-05,36.571651458740234
2010-01-06,36.32365417480469
2010-01-07,36.36853790283203
2010-01-08,37.34023666381836
2010-01-11,37.33271789550781
2010-01-12,36.57590866088867
2010-01-13,36.68923568725586
2010-01-14,36.53102493286133
2010-01-15,36.04893493652344
2010-01-19,36.15048599243164
2010-01-20,35.273963928222656
2010-01-21,33.24618148803711
2010-01-22,33.36482238769531
2010-01-25,32.815391540527344
2010-01-26,30.593069076538086
2010-01-27,31.462121963500977
2010-01-28,31.05376434326172
2010-01-29,30.659339904785156
2010-02-01,31.129671096801758
2010-02-02,31.34239959716797
2010-02-03,31.224809646606445
2010-02-04,28.785491943359375
2010-02-05,30.01583480834961
2010-02-08,29.96025276184082
2010-02-09,30.270246505737305
2010-02-10,29.540151596069336
2010-02-11,30.47227668762207
2010-02-12,31.113624572753906
2010-02-16,31.763561248779297
2010-02-17,31.32849884033203
2010-02-18,31.17992401123047
2010-02-19,31.19166374206543
2010-02-22,30.682849884033203
2010-02-23,29.56367301940918
2010-02-24,31.060178756713867
2010-02-25,31.58077049255371
2010-02-26,32.24885559082031
2010-03-01,32.17829895019531
2010-03-02,33.07941818237305
2010-03-03,32.69460678100586
2010-03-04,32.87202453613281
2010-03-05,33.151031494140625
2010-03-08,33.59629821777344
2010-03-09,33.06092834472656
2010-03-10,33.03516387939453
2010-03-11,33.61238098144531
2010-03-12,33.734703063964844
2010-03-15,33.70573806762695
2010-03-16,33.72505187988281
2010-03-17,33.90422439575195
2010-03-18,33.3559684753418
2010-03-19,33.43642807006836
2010-03-22,33.43321990966797
2010-03-23,33.32377624511719
2010-03-24,34.21537399291992
2010-03-25,34.31729507446289
2010-03-26,33.872039794921875
2010-03-29,33.8655891418457
2010-03-30,33.92030715942383
2010-03-31,33.91603088378906
2010-04-01,34.302284240722656
2010-04-05,34.02437973022461
2010-04-06,34.00079345703125
2010-04-07,33.72290802001953
2010-04-08,33.45037841796875
2010-04-09,33.485782623291016
2010-04-12,33.313045501708984
2010-04-13,33.28193664550781
2010-04-14,34.276527404785156
2010-04-15,34.45355987548828
2010-04-16,33.495445251464844
2010-04-19,34.44819641113281
2010-04-20,34.37201690673828
2010-04-21,34.60163497924805
2010-04-22,36.26144027709961
2010-04-23,35.92775344848633
2010-04-26,36.666996002197266
2010-04-27,35.75608444213867
2010-04-28,35.439571380615234
2010-04-29,35.56725311279297
2010-04-30,35.32798385620117
2010-05-03,35.29365539550781
2010-05-04,34.56406784057617
2010-05-05,34.83444595336914
2010-05-06,34.48252868652344
2010-05-07,33.81731414794922
2010-05-10,35.728179931640625
2010-05-11,35.32048797607422
2010-05-12,35.325843811035156
2010-05-13,34.74646759033203
2010-05-14,33.84092712402344
2010-05-17,33.909603118896484
2010-05-18,33.0716552734375
2010-05-19,33.334495544433594
2010-05-20,32.509429931640625
2010-05-21,34.17353057861328
2010-05-24,34.65634536743164
2010-05-25,33.50724792480469
2010-05-26,33.2239990234375
2010-05-27,34.21965408325195
2010-05-28,33.97397232055664
2010-06-01,33.43535232543945
2010-06-02,34.646690368652344
2010-06-03,34.70783233642578
2010-06-04,33.32914733886719
2010-06-07,32.14033508300781
2010-06-08,32.10804748535156
2010-06-09,31.39287567138672
2010-06-10,32.69826889038086
2010-06-11,32.57546615600586
2010-06-14,33.088157653808594
2010-06-15,33.36173629760742
2010-06-16,33.458648681640625
2010-06-17,33.33695602416992
2010-06-18,33.080623626708984
2010-06-21,33.09785461425781
2010-06-22,32.74996566772461
2010-06-23,32.37300109863281
2010-06-24,31.255006790161133
2010-06-25,32.018646240234375
2010-06-28,31.966947555541992
2010-06-29,31.009443283081055
2010-06-30,30.324451446533203
2010-07-01,29.99593734741211
2010-07-02,29.603900909423828
2010-07-06,29.56727409362793
2010-07-07,29.956100463867188
2010-07-08,30.333045959472656
2010-07-09,29.854839324951172
2010-07-12,29.8365421295166
2010-07-13,29.97438621520996
2010-07-14,29.67173957824707
2010-07-15,29.764375686645508
2010-07-16,28.674381256103516
2010-07-19,28.807945251464844
2010-07-20,29.644819259643555
2010-07-21,29.41970443725586
2010-07-22,30.34275245666504
2010-07-23,30.864032745361328
2010-07-26,30.552766799926758
2010-07-27,30.573240280151367
2010-07-28,30.535541534423828
2010-07-29,30.785417556762695
2010-07-30,30.02823829650879
2010-08-02,30.81772804260254
2010-08-03,30.111183166503906
2010-08-04,29.959308624267578
2010-08-05,29.602819442749023
2010-08-06,29.237701416015625
2010-08-09,29.292621612548828
2010-08-10,28.42450714111328
2010-08-11,27.154666900634766
2010-08-12,26.860639572143555
2010-08-13,26.36841583251953
2010-08-16,26.548290252685547
2010-08-17,26.69260597229004
2010-08-18,26.476125717163086
2010-08-19,25.93113136291504
2010-08-20,25.600482940673828
2010-08-23,25.617713928222656
2010-08-24,25.7168025970459
2010-08-25,26.48366355895996
2010-08-26,27.02542495727539
2010-08-27,27.65226936340332
2010-08-30,26.818628311157227
2010-08-31,26.7281551361084
2010-09-01,27.602724075317383
2010-09-02,28.267263412475586
2010-09-03,28.553754806518555
2010-09-07,27.835378646850586
2010-09-08,28.20428466796875
2010-09-09,28.38279914855957
2010-09-10,28.658660888671875
2010-09-13,29.321857452392578
2010-09-14,29.136852264404297
2010-09-15,29.371614456176758
2010-09-16,29.000537872314453
2010-09-17,28.547224044799805
2010-09-20,29.41812515258789
2010-09-21,29.095748901367188
2010-09-22,28.814464569091797
2010-09-23,28.2388973236084
2010-09-24,29.170392990112305
2010-09-27,28.79498291015625
2010-09-28,28.6175594329834
