Date,PJT
2015-09-22,26.21150016784668
2015-09-23,25.84295654296875
2015-09-24,25.15081214904785
2015-09-25,24.7193546295166
2015-09-28,23.550792694091797
2015-09-29,21.123807907104492
2015-09-30,21.5732479095459
2015-10-01,18.876596450805664
2015-10-02,18.040634155273438
2015-10-05,18.759740829467773
2015-10-06,19.146259307861328
2015-10-07,18.948505401611328
2015-10-08,18.427152633666992
2015-10-09,18.75075340270996
2015-10-12,18.966482162475586
2015-10-13,18.678842544555664
2015-10-14,19.505813598632812
2015-10-15,19.748506546020508
2015-10-16,19.73952865600586
2015-10-19,19.919292449951172
2015-10-20,20.036155700683594
2015-10-21,20.503578186035156
2015-10-22,20.566499710083008
2015-10-23,20.539531707763672
2015-10-26,19.964252471923828
2015-10-27,19.46086883544922
2015-10-28,19.299072265625
2015-10-29,19.128278732299805
2015-10-30,19.32603645324707
2015-11-02,19.31705093383789
2015-11-03,19.32603645324707
2015-11-04,19.6676082611084
2015-11-05,19.766496658325195
2015-11-06,19.613683700561523
2015-11-09,19.379968643188477
2015-11-10,19.22715187072754
2015-11-11,19.191205978393555
2015-11-12,19.21817398071289
2015-11-13,19.23615074157715
2015-11-16,19.32603645324707
2015-11-17,19.685590744018555
2015-11-18,19.514806747436523
2015-11-19,19.415931701660156
2015-11-20,19.43390464782715
2015-11-23,19.703567504882812
2015-11-24,19.892335891723633
2015-11-25,20.440656661987305
2015-11-27,20.8811092376709
2015-11-30,21.069875717163086
2015-12-01,21.21370506286621
2015-12-02,21.393474578857422
2015-12-03,21.168750762939453
2015-12-04,21.636178970336914
2015-12-07,20.449642181396484
2015-12-08,20.206947326660156
2015-12-09,20.18897247314453
2015-12-10,20.34177589416504
2015-12-11,20.638404846191406
2015-12-14,20.917062759399414
2015-12-15,21.995731353759766
2015-12-16,22.615955352783203
2015-12-17,23.263158798217773
2015-12-18,24.575525283813477
2015-12-21,23.65866470336914
2015-12-22,23.721590042114258
2015-12-23,23.451923370361328
2015-12-24,24.054174423217773
2015-12-28,25.04295539855957
2015-12-29,26.085657119750977
2015-12-30,25.4114933013916
2015-12-31,25.42946434020996
2016-01-04,25.222732543945312
2016-01-05,24.584518432617188
2016-01-06,22.481122970581055
2016-01-07,21.6002140045166
2016-01-08,22.049663543701172
2016-01-11,22.04067611694336
2016-01-12,21.86089515686035
2016-01-13,21.663131713867188
2016-01-14,21.923816680908203
2016-01-15,21.80695915222168
2016-01-19,21.348526000976562
2016-01-20,21.699094772338867
2016-01-21,22.14853286743164
2016-01-22,22.930566787719727
2016-01-25,22.66090202331543
2016-01-26,23.29012680053711
2016-01-27,23.353046417236328
2016-01-28,22.948551177978516
2016-01-29,23.2092227935791
2016-02-01,23.99125099182129
2016-02-02,22.58000373840332
2016-02-03,23.2092227935791
2016-02-04,22.741802215576172
2016-02-05,22.112579345703125
2016-02-08,20.503578186035156
2016-02-09,21.672128677368164
2016-02-10,21.887859344482422
2016-02-11,20.719310760498047
2016-02-12,21.76201820373535
2016-02-16,21.86089515686035
2016-02-17,22.597980499267578
2016-02-18,23.955297470092773
2016-02-19,24.350812911987305
2016-02-22,25.222732543945312
2016-02-23,24.13507652282715
2016-02-24,24.5935001373291
2016-02-25,24.48563575744629
2016-02-26,24.611486434936523
