Date,RITM
2013-05-02,3.607139825820923
2013-05-03,3.6018030643463135
2013-05-06,3.68717885017395
2013-05-07,3.7885639667510986
2013-05-08,3.7672200202941895
2013-05-09,3.724531412124634
2013-05-10,3.7191951274871826
2013-05-13,3.655163049697876
2013-05-14,3.644491195678711
2013-05-15,3.4950833320617676
2013-05-16,3.7352046966552734
2013-05-17,3.692516803741455
2013-05-20,3.6765074729919434
2013-05-21,3.6818437576293945
2013-05-22,3.607139825820923
2013-05-23,3.703187942504883
2013-05-24,3.6978516578674316
2013-05-28,3.4950833320617676
2013-05-29,3.596468448638916
2013-05-30,3.644491195678711
2013-05-31,3.6498281955718994
2013-06-03,3.6231486797332764
2013-06-04,3.596468448638916
2013-06-05,3.5857951641082764
2013-06-06,3.596468448638916
2013-06-07,3.4950833320617676
2013-06-10,3.516427516937256
2013-06-11,3.462493419647217
2013-06-12,3.3762025833129883
2013-06-13,3.5002472400665283
2013-06-14,3.5541813373565674
2013-06-17,3.6135077476501465
2013-06-18,3.602719783782959
2013-06-19,3.5433945655822754
2013-06-20,3.484067916870117
2013-06-21,3.49485445022583
2013-06-24,3.3923826217651367
2013-06-25,3.4894602298736572
2013-06-26,3.47867488861084
2013-06-27,3.532607316970825
2013-06-28,3.6350808143615723
2013-07-01,3.505641460418701
2013-07-02,3.47867488861084
2013-07-03,3.484067916870117
2013-07-05,3.65665340423584
2013-07-08,3.6296865940093994
2013-07-09,3.5433945655822754
2013-07-10,3.5757534503936768
2013-07-11,3.5973267555236816
2013-07-12,3.7105865478515625
2013-07-15,3.6674399375915527
2013-07-16,3.6350808143615723
2013-07-17,3.6350808143615723
2013-07-18,3.6620473861694336
2013-07-19,3.5757534503936768
2013-07-22,3.5811474323272705
2013-07-23,3.5757534503936768
2013-07-24,3.516427516937256
2013-07-25,3.532607316970825
2013-07-26,3.462493419647217
2013-07-29,3.457101583480835
2013-07-30,3.5811474323272705
2013-07-31,3.5757534503936768
2013-08-01,3.65665340423584
2013-08-02,3.640472888946533
2013-08-05,3.591933012008667
2013-08-06,3.672832727432251
2013-08-07,3.694406270980835
2013-08-08,3.7159783840179443
2013-08-09,3.6620473861694336
2013-08-12,3.6135077476501465
2013-08-13,3.586540699005127
2013-08-14,3.5218210220336914
2013-08-15,3.4085607528686523
2013-08-16,3.349236249923706
2013-08-19,3.2899091243743896
2013-08-20,3.2899091243743896
2013-08-21,3.386988878250122
2013-08-22,3.3762025833129883
2013-08-23,3.49485445022583
2013-08-26,3.462493419647217
2013-08-27,3.386988878250122
2013-08-28,3.3438422679901123
2013-08-29,3.4409210681915283
2013-08-30,3.424740791320801
2013-09-03,3.47867488861084
2013-09-04,3.462493419647217
2013-09-05,3.457101583480835
2013-09-06,3.4409210681915283
2013-09-09,3.457101583480835
