Date,LUNG
2020-10-01,39.310001373291016
2020-10-02,41.900001525878906
2020-10-05,46.220001220703125
2020-10-06,46.790000915527344
2020-10-07,47.099998474121094
2020-10-08,43.119998931884766
2020-10-09,42.25
2020-10-12,42.0
2020-10-13,41.349998474121094
2020-10-14,42.130001068115234
2020-10-15,42.400001525878906
2020-10-16,44.459999084472656
2020-10-19,47.279998779296875
2020-10-20,48.75
2020-10-21,43.900001525878906
2020-10-22,43.060001373291016
2020-10-23,42.2400016784668
2020-10-26,42.650001525878906
2020-10-27,41.88999938964844
2020-10-28,42.29999923706055
2020-10-29,43.060001373291016
2020-10-30,42.060001373291016
2020-11-02,42.939998626708984
2020-11-03,47.02000045776367
2020-11-04,46.630001068115234
2020-11-05,48.220001220703125
2020-11-06,46.79999923706055
2020-11-09,48.11000061035156
2020-11-10,46.33000183105469
2020-11-11,45.72999954223633
2020-11-12,46.25
2020-11-13,46.4900016784668
2020-11-16,47.13999938964844
2020-11-17,46.7400016784668
2020-11-18,46.709999084472656
2020-11-19,46.68000030517578
2020-11-20,46.45000076293945
2020-11-23,48.459999084472656
2020-11-24,50.79999923706055
2020-11-25,52.79999923706055
2020-11-27,55.0
2020-11-30,54.20000076293945
2020-12-01,52.970001220703125
2020-12-02,51.060001373291016
2020-12-03,51.599998474121094
2020-12-04,50.380001068115234
2020-12-07,51.599998474121094
2020-12-08,51.630001068115234
2020-12-09,51.279998779296875
2020-12-10,50.790000915527344
2020-12-11,50.810001373291016
2020-12-14,46.56999969482422
2020-12-15,47.810001373291016
2020-12-16,49.560001373291016
2020-12-17,50.54999923706055
2020-12-18,53.619998931884766
2020-12-21,55.77000045776367
2020-12-22,60.47999954223633
2020-12-23,65.19000244140625
2020-12-24,65.22000122070312
2020-12-28,63.18000030517578
2020-12-29,62.779998779296875
2020-12-30,66.66999816894531
2020-12-31,69.0199966430664
2021-01-04,59.66999816894531
2021-01-05,55.84000015258789
2021-01-06,59.619998931884766
2021-01-07,60.959999084472656
2021-01-08,61.959999084472656
2021-01-11,61.619998931884766
2021-01-12,61.779998779296875
2021-01-13,61.779998779296875
2021-01-14,59.77000045776367
2021-01-15,59.369998931884766
2021-01-19,61.310001373291016
2021-01-20,62.34000015258789
2021-01-21,62.939998626708984
2021-01-22,65.86000061035156
2021-01-25,67.54000091552734
2021-01-26,63.099998474121094
2021-01-27,56.04999923706055
2021-01-28,60.18000030517578
2021-01-29,56.720001220703125
2021-02-01,56.0
2021-02-02,58.0
2021-02-03,58.380001068115234
2021-02-04,60.0
2021-02-05,60.2400016784668
2021-02-08,60.0099983215332
2021-02-09,58.83000183105469
2021-02-10,58.099998474121094
2021-02-11,59.45000076293945
2021-02-12,59.4900016784668
2021-02-16,58.560001373291016
2021-02-17,58.029998779296875
2021-02-18,56.130001068115234
2021-02-19,57.619998931884766
2021-02-22,56.08000183105469
2021-02-23,54.29999923706055
2021-02-24,55.0
2021-02-25,54.0
2021-02-26,56.83000183105469
2021-03-01,60.16999816894531
2021-03-02,58.04999923706055
2021-03-03,57.70000076293945
2021-03-04,56.79999923706055
2021-03-05,58.150001525878906
2021-03-08,50.06999969482422
2021-03-09,51.029998779296875
2021-03-10,56.88999938964844
2021-03-11,61.63999938964844
2021-03-12,60.439998626708984
2021-03-15,58.36000061035156
2021-03-16,58.970001220703125
2021-03-17,59.849998474121094
2021-03-18,55.349998474121094
2021-03-19,52.900001525878906
2021-03-22,54.33000183105469
2021-03-23,52.400001525878906
2021-03-24,51.2599983215332
2021-03-25,49.0
2021-03-26,47.959999084472656
2021-03-29,44.31999969482422
2021-03-30,44.0
2021-03-31,45.7400016784668
2021-04-01,48.0
2021-04-05,47.81999969482422
2021-04-06,46.349998474121094
2021-04-07,46.349998474121094
2021-04-08,45.529998779296875
2021-04-09,43.47999954223633
2021-04-12,43.06999969482422
2021-04-13,45.0099983215332
2021-04-14,43.630001068115234
2021-04-15,44.18000030517578
2021-04-16,43.86000061035156
2021-04-19,43.72999954223633
2021-04-20,42.08000183105469
2021-04-21,44.0
2021-04-22,43.0
2021-04-23,44.970001220703125
2021-04-26,47.2400016784668
2021-04-27,46.95000076293945
2021-04-28,47.81999969482422
2021-04-29,47.060001373291016
2021-04-30,47.0099983215332
2021-05-03,47.09000015258789
2021-05-04,46.880001068115234
2021-05-05,43.0099983215332
2021-05-06,41.869998931884766
2021-05-07,42.54999923706055
2021-05-10,39.33000183105469
2021-05-11,40.349998474121094
2021-05-12,38.9900016784668
2021-05-13,38.02000045776367
2021-05-14,37.61000061035156
2021-05-17,38.22999954223633
2021-05-18,39.88999938964844
2021-05-19,41.029998779296875
2021-05-20,42.599998474121094
2021-05-21,40.36000061035156
2021-05-24,41.150001525878906
2021-05-25,42.0
2021-05-26,44.0
2021-05-27,43.4900016784668
2021-05-28,42.91999816894531
2021-06-01,43.400001525878906
2021-06-02,41.970001220703125
2021-06-03,42.2599983215332
2021-06-04,42.61000061035156
2021-06-07,43.7599983215332
2021-06-08,44.33000183105469
2021-06-09,44.08000183105469
2021-06-10,44.630001068115234
2021-06-11,44.36000061035156
2021-06-14,44.36000061035156
2021-06-15,43.869998931884766
2021-06-16,42.91999816894531
2021-06-17,43.11000061035156
2021-06-18,42.189998626708984
2021-06-21,43.2400016784668
2021-06-22,43.11000061035156
2021-06-23,43.959999084472656
2021-06-24,43.5
2021-06-25,44.47999954223633
2021-06-28,45.040000915527344
2021-06-29,45.470001220703125
2021-06-30,44.119998931884766
2021-07-01,44.209999084472656
2021-07-02,44.47999954223633
