Date,LBRT
2018-01-11,15.663840293884277
2018-01-12,20.040504455566406
2018-01-16,20.105003356933594
2018-01-17,20.565704345703125
2018-01-18,20.565704345703125
2018-01-19,20.805267333984375
2018-01-22,21.100114822387695
2018-01-23,21.21990394592285
2018-01-24,21.118545532226562
2018-01-25,20.989551544189453
2018-01-26,20.869766235351562
2018-01-29,20.777624130249023
2018-01-30,20.36299705505371
2018-01-31,20.399850845336914
2018-02-01,20.01285743713379
2018-02-02,19.257308959960938
2018-02-05,18.861108779907227
2018-02-06,19.524518966674805
2018-02-07,19.220457077026367
2018-02-08,18.713687896728516
2018-02-09,17.340797424316406
2018-02-12,17.718570709228516
2018-02-13,17.709354400634766
2018-02-14,18.33591079711914
2018-02-15,18.289840698242188
2018-02-16,18.24376678466797
2018-02-20,18.299055099487305
2018-02-21,18.474119186401367
2018-02-22,18.33591079711914
2018-02-23,18.870323181152344
2018-02-26,18.612333297729492
2018-02-27,18.068700790405273
2018-02-28,17.128877639770508
2018-03-01,16.36410903930664
2018-03-02,16.124542236328125
2018-03-05,16.916950225830078
2018-03-06,16.80638313293457
2018-03-07,16.456249237060547
2018-03-08,16.170612335205078
2018-03-09,16.96302032470703
2018-03-12,17.497432708740234
2018-03-13,16.990665435791016
2018-03-14,16.24432945251465
2018-03-15,15.682271957397461
2018-03-16,16.336463928222656
2018-03-19,15.802048683166504
2018-03-20,16.06926155090332
2018-03-21,16.944595336914062
2018-03-22,16.695817947387695
2018-03-23,16.428606033325195
2018-03-26,16.16139793395996
2018-03-27,15.33213996887207
2018-03-28,14.945149421691895
2018-03-29,15.562487602233887
2018-04-02,15.147858619689941
2018-04-03,15.599344253540039
2018-04-04,15.857332229614258
2018-04-05,16.373323440551758
2018-04-06,16.142974853515625
2018-04-09,16.06926155090332
2018-04-10,17.74620819091797
2018-04-11,17.515859603881836
2018-04-12,17.267080307006836
2018-04-13,17.221010208129883
2018-04-16,17.54350471496582
2018-04-17,17.884424209594727
2018-04-18,18.114778518676758
2018-04-19,18.27141571044922
