Date,WMK
2010-01-04,23.423542022705078
2010-01-05,23.052648544311523
2010-01-06,23.001493453979492
2010-01-07,22.848020553588867
2010-01-08,22.860803604125977
2010-01-11,22.969514846801758
2010-01-12,22.873594284057617
2010-01-13,22.982303619384766
2010-01-14,22.90557098388672
2010-01-15,22.777671813964844
2010-01-19,23.103803634643555
2010-01-20,23.27645492553711
2010-01-21,22.796857833862305
2010-01-22,23.014280319213867
2010-01-25,23.052648544311523
2010-01-26,22.892786026000977
2010-01-27,22.988698959350586
2010-01-28,22.636991500854492
2010-01-29,22.70734214782715
2010-02-01,22.560270309448242
2010-02-02,22.445161819458008
2010-02-03,22.25971794128418
2010-02-04,21.91440200805664
2010-02-05,22.042299270629883
2010-02-08,21.140655517578125
2010-02-09,21.10228157043457
2010-02-10,21.089378356933594
2010-02-11,21.38614273071289
2010-02-12,21.2248592376709
2010-02-16,21.463560104370117
2010-02-17,21.50871467590332
2010-02-18,21.844192504882812
2010-02-19,22.160303115844727
2010-02-22,22.15384864807129
2010-02-23,22.140945434570312
2010-02-24,22.495769500732422
2010-02-25,22.56674575805664
2010-02-26,22.515125274658203
2010-03-01,22.44416046142578
2010-03-02,22.79899024963379
2010-03-03,23.018333435058594
2010-03-04,23.198963165283203
2010-03-05,23.327987670898438
2010-03-08,23.289287567138672
2010-03-09,23.22477149963379
2010-03-10,23.22477149963379
2010-03-11,23.16025161743164
2010-03-12,23.121553421020508
2010-03-15,23.128007888793945
2010-03-16,23.2828311920166
2010-03-17,23.405405044555664
2010-03-18,23.373149871826172
2010-03-19,23.186063766479492
2010-03-22,23.244125366210938
2010-03-23,23.38605308532715
2010-03-24,23.334428787231445
2010-03-25,23.295738220214844
2010-03-26,23.231224060058594
2010-03-29,23.295738220214844
2010-03-30,23.515077590942383
2010-03-31,23.457014083862305
2010-04-01,23.489273071289062
2010-04-05,23.727968215942383
2010-04-06,23.618309020996094
2010-04-07,23.779579162597656
2010-04-08,23.84410285949707
2010-04-09,23.734426498413086
2010-04-12,23.682815551757812
2010-04-13,23.773130416870117
2010-04-14,24.186019897460938
2010-04-15,24.51504135131836
2010-04-16,24.469871520996094
2010-04-19,24.45697593688965
2010-04-20,24.46343231201172
2010-04-21,24.41180992126465
2010-04-22,24.46343231201172
2010-04-23,24.489234924316406
2010-04-26,24.3924560546875
2010-04-27,24.173120498657227
2010-04-28,24.353750228881836
2010-04-29,24.508588790893555
2010-04-30,24.050546646118164
2010-05-03,24.469871520996094
2010-05-04,24.30859375
2010-05-05,24.386009216308594
2010-05-06,23.969932556152344
2010-05-07,23.891921997070312
2010-05-10,24.561534881591797
2010-05-11,24.333999633789062
