Date,ORC
2013-02-14,9.53329086303711
2013-02-15,9.53329086303711
2013-02-19,9.501079559326172
2013-02-20,9.53329086303711
2013-02-21,9.494638442993164
2013-02-22,9.494638442993164
2013-02-25,9.449551582336426
2013-02-26,9.462430953979492
2013-02-27,9.404460906982422
2013-02-28,9.333602905273438
2013-03-01,9.275632858276367
2013-03-04,9.333602905273438
2013-03-05,9.275632858276367
2013-03-06,9.307841300964355
2013-03-07,9.275632858276367
2013-03-08,9.462430953979492
2013-03-11,9.372257232666016
2013-03-12,9.275632858276367
2013-03-13,9.340047836303711
2013-03-14,9.372257232666016
2013-03-15,9.082387924194336
2013-03-18,9.179008483886719
2013-03-19,9.146801948547363
2013-03-20,9.243428230285645
2013-03-21,9.227169036865234
2013-03-22,8.98656940460205
2013-03-25,8.921546936035156
2013-03-26,9.097114562988281
2013-03-27,9.006078720092773
2013-03-28,9.09061336517334
2013-04-01,9.064603805541992
2013-04-02,8.960562705993652
2013-04-03,8.947558403015137
2013-04-04,8.980072021484375
2013-04-05,9.084107398986816
2013-04-08,8.876025199890137
2013-04-09,8.92805004119873
2013-04-10,9.084107398986816
2013-04-11,9.077613830566406
2013-04-12,8.863021850585938
2013-04-15,8.81100082397461
2013-04-16,8.791491508483887
2013-04-17,8.667949676513672
2013-04-18,8.71346378326416
2013-04-19,8.589920043945312
2013-04-22,8.70695972442627
2013-04-23,8.690542221069336
2013-04-24,8.683968544006348
2013-04-25,8.664264678955078
2013-04-26,8.677401542663574
2013-04-29,8.835055351257324
2013-04-30,8.802207946777344
2013-05-01,8.78907299041748
2013-05-02,8.78907299041748
2013-05-03,8.874468803405762
2013-05-06,8.795647621154785
2013-05-07,8.848185539245605
2013-05-08,8.81534481048584
2013-05-09,8.736518859863281
2013-05-10,8.821915626525879
2013-05-13,8.749651908874512
2013-05-14,8.743086814880371
2013-05-15,8.644558906555176
2013-05-16,8.736518859863281
2013-05-17,8.76279354095459
2013-05-20,8.848185539245605
2013-05-21,8.782501220703125
2013-05-22,9.005845069885254
2013-05-23,8.922921180725098
2013-05-24,8.916281700134277
2013-05-28,8.531500816345215
2013-05-29,8.458525657653809
2013-05-30,8.266133308410645
2013-05-31,7.967597484588623
