Date,EHC
2010-01-04,12.671407699584961
2010-01-05,12.586714744567871
2010-01-06,12.547625541687012
2010-01-07,12.756104469299316
2010-01-08,12.853826522827148
2010-01-11,12.834280014038086
2010-01-12,12.717013359069824
2010-01-13,13.24471378326416
2010-01-14,13.368494987487793
2010-01-15,13.10790729522705
2010-01-19,13.094874382019043
2010-01-20,13.016695976257324
2010-01-21,12.40429973602295
2010-01-22,12.228402137756348
2010-01-25,12.137187957763672
2010-01-26,12.215368270874023
2010-01-27,12.18930721282959
2010-01-28,11.967801094055176
2010-01-29,11.733266830444336
2010-02-01,11.896139144897461
2010-02-02,12.215368270874023
2010-02-03,12.137187957763672
2010-02-04,11.60948657989502
2010-02-05,11.153446197509766
2010-02-08,10.997087478637695
2010-02-09,11.225109100341797
2010-02-10,11.09481143951416
2010-02-11,11.381464958190918
2010-02-12,11.459646224975586
2010-02-16,11.681148529052734
2010-02-17,12.032953262329102
2010-02-18,12.052495002746582
2010-02-19,12.215368270874023
2010-02-22,12.3065767288208
2010-02-23,11.459646224975586
2010-02-24,11.296770095825195
2010-02-25,11.133904457092285
2010-02-26,11.270713806152344
2010-03-01,11.485706329345703
2010-03-02,11.466158866882324
2010-03-03,11.296770095825195
2010-03-04,11.544333457946777
2010-03-05,11.857051849365234
2010-03-08,11.433585166931152
2010-03-09,11.479186058044434
2010-03-10,11.492218971252441
2010-03-11,11.844017028808594
2010-03-12,11.746298789978027
2010-03-15,12.072041511535645
2010-03-16,12.163248062133789
2010-03-17,12.18930721282959
2010-03-18,12.274003028869629
2010-03-19,12.23491382598877
2010-03-22,12.690956115722656
2010-03-23,12.762617111206055
2010-03-24,12.541109085083008
2010-03-25,12.23491382598877
2010-03-26,11.922202110290527
2010-03-29,11.883108139038086
2010-03-30,12.221881866455078
2010-03-31,12.182790756225586
2010-04-01,12.488993644714355
2010-04-05,12.475963592529297
2010-04-06,12.267484664916992
2010-04-07,12.228402137756348
2010-04-08,12.475963592529297
2010-04-09,12.469449043273926
2010-04-12,12.658376693725586
2010-04-13,12.710498809814453
2010-04-14,12.873367309570312
2010-04-15,12.925488471984863
