Date,JBTM
2010-01-04,15.49071216583252
2010-01-05,15.050631523132324
2010-01-06,14.337706565856934
2010-01-07,14.601753234863281
2010-01-08,14.848196983337402
2010-01-11,14.698575019836426
2010-01-12,14.548941612243652
2010-01-13,14.74258041381836
2010-01-14,14.821795463562012
2010-01-15,14.892210960388184
2010-01-19,15.305880546569824
2010-01-20,14.73377513885498
2010-01-21,14.566545486450195
2010-01-22,14.522543907165527
2010-01-25,14.575348854064941
2010-01-26,14.390514373779297
2010-01-27,14.724977493286133
2010-01-28,14.41691780090332
2010-01-29,14.513737678527832
2010-02-01,14.276095390319824
2010-02-02,14.311301231384277
2010-02-03,14.584150314331055
2010-02-04,14.117671966552734
2010-02-05,14.30250358581543
2010-02-08,13.792012214660645
2010-02-09,13.88002872467041
2010-02-10,14.152873992919922
2010-02-11,14.30250358581543
2010-02-12,14.592955589294434
2010-02-16,14.592955589294434
2010-02-17,14.680961608886719
2010-02-18,14.874595642089844
2010-02-19,15.226664543151855
2010-02-22,15.349884033203125
2010-02-23,14.548941612243652
2010-02-24,14.425724029541016
2010-02-25,14.522543907165527
2010-02-26,14.390514373779297
2010-03-01,14.619361877441406
2010-03-02,15.050631523132324
2010-03-03,15.227384567260742
2010-03-04,15.73114013671875
2010-03-05,16.128822326660156
2010-03-08,16.102319717407227
2010-03-09,16.119998931884766
2010-03-10,16.17302894592285
2010-03-11,15.925567626953125
2010-03-12,16.234886169433594
2010-03-15,16.049297332763672
2010-03-16,16.349773406982422
2010-03-17,16.535375595092773
2010-03-18,16.18185806274414
2010-03-19,15.651590347290039
2010-03-22,16.14650535583496
2010-03-23,16.54420280456543
2010-03-24,15.73114013671875
2010-03-25,15.572066307067871
2010-03-26,15.704625129699707
2010-03-29,15.828351020812988
2010-03-30,15.854870796203613
2010-03-31,15.501354217529297
2010-04-01,15.872539520263672
2010-04-05,16.455821990966797
2010-04-06,16.15534019470215
2010-04-07,16.031614303588867
2010-04-08,15.952083587646484
2010-04-09,15.748810768127441
2010-04-12,15.93440055847168
2010-04-13,16.08464241027832
2010-04-14,16.508853912353516
2010-04-15,16.446990966796875
2010-04-16,16.2083683013916
2010-04-19,16.570714950561523
2010-04-20,16.888866424560547
2010-04-21,16.88003921508789
2010-04-22,16.90655517578125
2010-04-23,17.03028106689453
2010-04-26,17.03911781311035
2010-04-27,16.190698623657227
2010-04-28,16.08464241027832
2010-04-29,16.508853912353516
2010-04-30,16.234886169433594
2010-05-03,17.100982666015625
2010-05-04,15.960912704467773
2010-05-05,15.607407569885254
2010-05-06,15.200870513916016
2010-05-07,14.608743667602539
2010-05-10,16.02277946472168
2010-05-11,15.492517471313477
2010-05-12,16.553043365478516
2010-05-13,16.15534019470215
2010-05-14,15.792997360229492
2010-05-17,15.960912704467773
2010-05-18,15.589731216430664
2010-05-19,15.146087646484375
2010-05-20,14.56047248840332
2010-05-21,14.942011833190918
2010-05-24,14.569342613220215
2010-05-25,14.675824165344238
2010-05-26,14.640332221984863
2010-05-27,15.208200454711914
2010-05-28,15.252559661865234
2010-06-01,14.418503761291504
2010-06-02,14.959753036499023
2010-06-03,14.862153053283691
2010-06-04,14.241048812866211
2010-06-07,14.152318000793457
2010-06-08,14.42737865447998
2010-06-09,14.524982452392578
2010-06-10,15.04848861694336
2010-06-11,15.039609909057617
2010-06-14,15.066229820251465
2010-06-15,15.571990966796875
2010-06-16,15.492128372192383
2010-06-17,15.749445915222168
2010-06-18,15.696210861206055
2010-06-21,15.252559661865234
2010-06-22,14.640332221984863
2010-06-23,14.69356632232666
2010-06-24,14.418503761291504
2010-06-25,14.34752368927002
2010-06-28,14.462870597839355
2010-06-29,13.699800491333008
2010-06-30,13.53121566772461
2010-07-01,13.300518035888672
2010-07-02,13.238409042358398
2010-07-06,12.83912181854248
2010-07-07,13.220658302307129
2010-07-08,13.37149715423584
2010-07-09,13.477974891662598
2010-07-12,13.158551216125488
2010-07-13,13.859512329101562
2010-07-14,13.832892417907715
2010-07-15,13.690924644470215
2010-07-16,12.98996639251709
2010-07-19,13.052072525024414
2010-07-20,13.67318058013916
2010-07-21,13.176297187805176
2010-07-22,13.717546463012695
2010-07-23,13.96599006652832
2010-07-26,14.746804237365723
2010-07-27,14.569342613220215
2010-07-28,14.14344310760498
2010-07-29,14.507234573364258
2010-07-30,13.939369201660156
2010-08-02,14.36526870727539
2010-08-03,14.045845985412598
2010-08-04,14.871025085449219
2010-08-05,14.258795738220215
2010-08-06,14.34752368927002
2010-08-09,14.356398582458496
2010-08-10,13.761906623840332
2010-08-11,13.424737930297852
2010-08-12,13.53121566772461
2010-08-13,13.220658302307129
2010-08-16,13.318262100219727
2010-08-17,13.406989097595215
2010-08-18,14.045845985412598
2010-08-19,13.53121566772461
2010-08-20,14.054720878601074
2010-08-23,13.806273460388184
2010-08-24,13.859512329101562
2010-08-25,13.520822525024414
2010-08-26,13.208873748779297
2010-08-27,13.60995101928711
2010-08-30,13.137569427490234
2010-08-31,13.253434181213379
2010-09-01,13.814949035644531
2010-09-02,14.002118110656738
2010-09-03,14.367549896240234
2010-09-07,13.734733581542969
2010-09-08,13.859512329101562
2010-09-09,13.93081283569336
2010-09-10,14.055594444274902
2010-09-13,14.572540283203125
2010-09-14,14.260591506958008
2010-09-15,14.358633995056152
2010-09-16,14.287332534790039
2010-09-17,14.278419494628906
2010-09-20,14.857752799987793
2010-09-21,14.438855171203613
2010-09-22,14.37646198272705
2010-09-23,13.877336502075195
2010-09-24,14.563626289367676
2010-09-27,14.563626289367676
2010-09-28,14.438855171203613
