Date,USNA
2010-01-04,16.225000381469727
2010-01-05,15.975000381469727
2010-01-06,15.760000228881836
2010-01-07,15.979999542236328
2010-01-08,15.819999694824219
2010-01-11,15.734999656677246
2010-01-12,15.914999961853027
2010-01-13,15.869999885559082
2010-01-14,16.045000076293945
2010-01-15,15.5649995803833
2010-01-19,15.930000305175781
2010-01-20,15.479999542236328
2010-01-21,14.850000381469727
2010-01-22,14.890000343322754
2010-01-25,14.930000305175781
2010-01-26,14.75
2010-01-27,14.899999618530273
2010-01-28,14.5
2010-01-29,14.210000038146973
2010-02-01,14.109999656677246
2010-02-02,14.260000228881836
2010-02-03,14.095000267028809
2010-02-04,13.4350004196167
2010-02-05,13.125
2010-02-08,13.03499984741211
2010-02-09,12.970000267028809
2010-02-10,12.319999694824219
2010-02-11,13.154999732971191
2010-02-12,13.75
2010-02-16,13.574999809265137
2010-02-17,14.319999694824219
2010-02-18,14.09000015258789
2010-02-19,14.135000228881836
2010-02-22,14.039999961853027
2010-02-23,14.029999732971191
2010-02-24,14.175000190734863
2010-02-25,14.109999656677246
2010-02-26,13.845000267028809
2010-03-01,13.899999618530273
2010-03-02,14.130000114440918
2010-03-03,14.635000228881836
2010-03-04,14.949999809265137
2010-03-05,15.335000038146973
2010-03-08,15.199999809265137
2010-03-09,15.515000343322754
2010-03-10,15.579999923706055
2010-03-11,15.729999542236328
2010-03-12,15.8100004196167
2010-03-15,15.869999885559082
2010-03-16,15.979999542236328
2010-03-17,15.949999809265137
2010-03-18,15.944999694824219
2010-03-19,16.05500030517578
2010-03-22,16.145000457763672
2010-03-23,16.155000686645508
2010-03-24,15.84000015258789
2010-03-25,15.600000381469727
2010-03-26,15.595000267028809
2010-03-29,15.585000038146973
2010-03-30,15.854999542236328
2010-03-31,15.704999923706055
2010-04-01,15.494999885559082
2010-04-05,16.0
2010-04-06,16.010000228881836
2010-04-07,15.8149995803833
2010-04-08,15.930000305175781
2010-04-09,15.994999885559082
2010-04-12,16.139999389648438
2010-04-13,16.125
2010-04-14,16.25
2010-04-15,16.325000762939453
2010-04-16,16.329999923706055
2010-04-19,16.25
2010-04-20,16.450000762939453
2010-04-21,16.600000381469727
2010-04-22,16.600000381469727
2010-04-23,17.360000610351562
2010-04-26,17.844999313354492
2010-04-27,17.735000610351562
2010-04-28,19.084999084472656
2010-04-29,18.799999237060547
2010-04-30,18.1200008392334
2010-05-03,19.2450008392334
2010-05-04,18.510000228881836
2010-05-05,18.209999084472656
2010-05-06,17.735000610351562
2010-05-07,17.434999465942383
2010-05-10,18.399999618530273
2010-05-11,18.46500015258789
2010-05-12,19.239999771118164
2010-05-13,19.204999923706055
2010-05-14,19.274999618530273
2010-05-17,19.09000015258789
2010-05-18,19.4950008392334
2010-05-19,18.760000228881836
2010-05-20,17.325000762939453
2010-05-21,17.704999923706055
2010-05-24,17.510000228881836
2010-05-25,17.600000381469727
2010-05-26,17.93000030517578
2010-05-27,18.975000381469727
2010-05-28,18.725000381469727
2010-06-01,17.799999237060547
2010-06-02,18.59000015258789
2010-06-03,18.950000762939453
2010-06-04,17.975000381469727
2010-06-07,17.450000762939453
2010-06-08,17.5049991607666
2010-06-09,17.584999084472656
2010-06-10,17.924999237060547
2010-06-11,18.05500030517578
2010-06-14,18.229999542236328
2010-06-15,18.719999313354492
2010-06-16,18.610000610351562
2010-06-17,18.170000076293945
2010-06-18,18.399999618530273
2010-06-21,17.950000762939453
2010-06-22,17.704999923706055
2010-06-23,17.520000457763672
2010-06-24,17.43000030517578
2010-06-25,18.354999542236328
2010-06-28,18.53499984741211
2010-06-29,18.31999969482422
2010-06-30,18.264999389648438
2010-07-01,18.68000030517578
2010-07-02,18.53499984741211
2010-07-06,18.674999237060547
2010-07-07,19.06999969482422
2010-07-08,19.649999618530273
2010-07-09,19.8799991607666
2010-07-12,19.389999389648438
2010-07-13,19.655000686645508
2010-07-14,19.635000228881836
2010-07-15,19.635000228881836
2010-07-16,19.549999237060547
2010-07-19,19.6200008392334
2010-07-20,19.899999618530273
2010-07-21,19.334999084472656
