Date,GOOG
2010-01-04,15.504140853881836
2010-01-05,15.43586540222168
2010-01-06,15.046746253967285
2010-01-07,14.696465492248535
2010-01-08,14.892386436462402
2010-01-11,14.869874954223633
2010-01-12,14.606915473937988
2010-01-13,14.523056983947754
2010-01-14,14.591331481933594
2010-01-15,14.347667694091797
2010-01-19,14.53616714477539
2010-01-20,14.357810974121094
2010-01-21,14.421385765075684
2010-01-22,13.605794906616211
2010-01-25,13.358175277709961
2010-01-26,13.418038368225098
2010-01-27,13.410123825073242
2010-01-28,13.216924667358398
2010-01-29,13.109315872192383
2010-02-01,13.185506820678711
2010-02-02,13.138505935668945
2010-02-03,13.378458023071289
2010-02-04,13.031146049499512
2010-02-05,13.14271068572998
2010-02-08,13.196640014648438
2010-02-09,13.270109176635742
2010-02-10,13.220882415771484
2010-02-11,13.269120216369629
2010-02-12,13.187981605529785
2010-02-16,13.390331268310547
2010-02-17,13.313895225524902
2010-02-18,13.43782901763916
2010-02-19,13.376974105834961
2010-02-22,13.42743968963623
2010-02-23,13.236218452453613
2010-02-24,13.147164344787598
2010-02-25,13.02248764038086
2010-02-26,13.031641960144043
2010-03-01,13.17734432220459
2010-03-02,13.384395599365234
2010-03-03,13.489776611328125
2010-03-04,13.719093322753906
2010-03-05,13.95706558227539
2010-03-08,13.914270401000977
2010-03-09,13.857621192932129
2010-03-10,14.259851455688477
2010-03-11,14.375869750976562
2010-03-12,14.33629035949707
2010-03-15,13.931586265563965
2010-03-16,13.981555938720703
2010-03-17,13.990461349487305
2010-03-18,14.011240005493164
2010-03-19,13.852920532226562
2010-03-22,13.791078567504883
2010-03-23,13.580810546875
2010-03-24,13.786871910095215
2010-03-25,13.924164772033691
2010-03-26,13.919465065002441
2010-03-29,13.913528442382812
2010-03-30,14.018909454345703
2010-03-31,14.029052734375
2010-04-01,14.070611000061035
2010-04-05,14.125279426574707
2010-04-06,14.056262969970703
2010-04-07,13.940492630004883
2010-04-08,14.038204193115234
