Date,DAR
2010-01-04,8.760000228881836
2010-01-05,8.8100004196167
2010-01-06,8.829999923706055
2010-01-07,8.850000381469727
2010-01-08,8.720000267028809
2010-01-11,8.5600004196167
2010-01-12,8.529999732971191
2010-01-13,8.6899995803833
2010-01-14,8.8100004196167
2010-01-15,8.550000190734863
2010-01-19,8.640000343322754
2010-01-20,8.350000381469727
2010-01-21,8.109999656677246
2010-01-22,7.900000095367432
2010-01-25,7.940000057220459
2010-01-26,7.869999885559082
2010-01-27,7.960000038146973
2010-01-28,7.71999979019165
2010-01-29,7.789999961853027
2010-02-01,8.180000305175781
2010-02-02,8.039999961853027
2010-02-03,8.079999923706055
2010-02-04,7.559999942779541
2010-02-05,7.670000076293945
2010-02-08,7.539999961853027
2010-02-09,7.519999980926514
2010-02-10,7.480000019073486
2010-02-11,7.590000152587891
2010-02-12,7.71999979019165
2010-02-16,7.920000076293945
2010-02-17,7.929999828338623
2010-02-18,8.100000381469727
2010-02-19,8.279999732971191
2010-02-22,8.199999809265137
2010-02-23,8.260000228881836
2010-02-24,8.3100004196167
2010-02-25,8.149999618530273
2010-02-26,8.0600004196167
2010-03-01,8.34000015258789
2010-03-02,8.300000190734863
2010-03-03,8.1899995803833
2010-03-04,7.599999904632568
2010-03-05,8.270000457763672
2010-03-08,8.210000038146973
2010-03-09,8.399999618530273
2010-03-10,8.470000267028809
2010-03-11,8.520000457763672
2010-03-12,8.40999984741211
2010-03-15,8.640000343322754
2010-03-16,8.850000381469727
2010-03-17,9.0
2010-03-18,8.699999809265137
2010-03-19,8.5600004196167
2010-03-22,8.789999961853027
2010-03-23,8.920000076293945
2010-03-24,8.8100004196167
2010-03-25,9.0
2010-03-26,9.010000228881836
2010-03-29,9.130000114440918
2010-03-30,9.050000190734863
2010-03-31,8.960000038146973
2010-04-01,9.039999961853027
2010-04-05,9.069999694824219
2010-04-06,9.020000457763672
2010-04-07,9.020000457763672
2010-04-08,9.079999923706055
2010-04-09,9.010000228881836
2010-04-12,9.020000457763672
2010-04-13,9.199999809265137
2010-04-14,9.5
2010-04-15,9.5600004196167
2010-04-16,9.579999923706055
2010-04-19,9.470000267028809
2010-04-20,9.619999885559082
2010-04-21,9.630000114440918
2010-04-22,9.539999961853027
2010-04-23,9.510000228881836
