Date,MGPI
2010-01-04,6.3777384757995605
2010-01-05,6.64201021194458
2010-01-06,6.6948652267456055
2010-01-07,6.597963809967041
2010-01-08,6.774147033691406
2010-01-11,6.818190097808838
2010-01-12,6.562726974487305
2010-01-13,6.818190097808838
2010-01-14,6.826998710632324
2010-01-15,6.668437480926514
2010-01-19,6.3777384757995605
2010-01-20,6.430593967437744
2010-01-21,6.324885368347168
2010-01-22,5.646588325500488
2010-01-25,5.963715076446533
2010-01-26,5.981332302093506
2010-01-27,6.219175338745117
2010-01-28,6.034186363220215
2010-01-29,5.805150985717773
2010-02-01,5.74348783493042
2010-02-02,5.858006000518799
2010-02-03,5.998951435089111
2010-02-04,5.734678745269775
2010-02-05,5.620162487030029
2010-02-08,5.602544784545898
2010-02-09,5.849196434020996
2010-02-10,5.981332302093506
2010-02-11,6.342503547668457
2010-02-12,6.536302089691162
2010-02-16,6.386549472808838
2010-02-17,6.6948652267456055
2010-02-18,6.774147033691406
2010-02-19,6.774147033691406
2010-02-22,6.78295373916626
2010-02-23,6.756527423858643
2010-02-24,6.668437480926514
2010-02-25,6.597963809967041
2010-02-26,6.263221740722656
2010-03-01,6.166322708129883
2010-03-02,6.051805019378662
2010-03-03,6.06061315536499
2010-03-04,6.042994499206543
2010-03-05,6.069421768188477
2010-03-08,6.078232765197754
2010-03-09,6.245605945587158
2010-03-10,6.395357131958008
2010-03-11,6.412975311279297
2010-03-12,6.457020282745361
2010-03-15,6.395357131958008
2010-03-16,6.527493000030518
2010-03-17,6.765336036682129
2010-03-18,6.853425979614258
2010-03-19,6.483447551727295
2010-03-22,6.668437480926514
2010-03-23,6.6948652267456055
2010-03-24,6.650818824768066
2010-03-25,6.67724609375
2010-03-26,6.774147033691406
2010-03-29,6.844618320465088
2010-03-30,6.818190097808838
2010-03-31,6.765336036682129
2010-04-01,6.844618320465088
2010-04-05,7.09127140045166
2010-04-06,7.073653697967529
2010-04-07,7.135316371917725
2010-04-08,7.355541706085205
2010-04-09,7.478870391845703
2010-04-12,7.505295753479004
2010-04-13,7.593386650085449
2010-04-14,7.25864315032959
2010-04-15,7.25864315032959
2010-04-16,6.862235069274902
2010-04-19,7.038416385650635
2010-04-20,7.108887672424316
2010-04-21,6.985560894012451
2010-04-22,6.950326442718506
2010-04-23,6.967944145202637
2010-04-26,7.100080490112305
2010-04-27,6.950326442718506
2010-04-28,6.844618320465088
2010-04-29,6.9767537117004395
2010-04-30,6.844618320465088
2010-05-03,7.003180027008057
2010-05-04,6.915090560913086
2010-05-05,6.844618320465088
2010-05-06,6.730100631713867
2010-05-07,6.236794948577881
2010-05-10,6.650818824768066
2010-05-11,6.298458099365234
2010-05-12,6.139895439147949
2010-05-13,6.254413604736328
2010-05-14,6.1575117111206055
2010-05-17,5.813961029052734
2010-05-18,5.34708309173584
2010-05-19,5.514455318450928
2010-05-20,5.303036689758301
2010-05-21,5.188521385192871
2010-05-24,5.14447546005249
2010-05-25,5.065193176269531
2010-05-26,5.162093162536621
2010-05-27,5.28541898727417
2010-05-28,5.981332302093506
2010-06-01,5.884433269500732
2010-06-02,6.316076278686523
2010-06-03,6.589156150817871
2010-06-04,6.386549472808838
2010-06-07,6.08704137802124
2010-06-08,6.131087779998779
2010-06-09,5.761107444763184
2010-06-10,6.148705005645752
2010-06-11,6.175131320953369
2010-06-14,6.245605945587158
2010-06-15,6.571539402008057
2010-06-16,6.67724609375
2010-06-17,6.615583419799805
2010-06-18,6.633200168609619
