Date,FDX
2010-01-04,69.4286880493164
2010-01-05,70.3355484008789
2010-01-06,69.75318145751953
2010-01-07,68.99606323242188
2010-01-08,70.70995330810547
2010-01-11,72.5902328491211
2010-01-12,72.03280639648438
2010-01-13,71.40050506591797
2010-01-14,71.7915267944336
2010-01-15,70.80979919433594
2010-01-19,71.46704864501953
2010-01-20,69.93618774414062
2010-01-21,67.88953399658203
2010-01-22,66.79965209960938
2010-01-25,67.1324462890625
2010-01-26,67.19068908691406
2010-01-27,66.9078140258789
2010-01-28,65.78462219238281
2010-01-29,65.18560028076172
2010-02-01,67.11580657958984
2010-02-02,68.49686431884766
2010-02-03,68.3221664428711
2010-02-04,65.6015625
2010-02-05,63.80451202392578
2010-02-08,63.80451202392578
2010-02-09,65.9094467163086
2010-02-10,65.13568878173828
2010-02-11,66.1673583984375
2010-02-12,65.35198211669922
2010-02-16,66.53340911865234
2010-02-17,66.50846099853516
2010-02-18,66.64154815673828
2010-02-19,68.02264404296875
2010-02-22,68.52183532714844
2010-02-23,67.79801940917969
2010-02-24,69.1208724975586
2010-02-25,69.20405578613281
2010-02-26,70.51858520507812
2010-03-01,71.39217376708984
2010-03-02,71.05941009521484
2010-03-03,71.66673278808594
2010-03-04,71.84976196289062
2010-03-05,72.34065246582031
2010-03-08,72.10767364501953
2010-03-09,72.34925842285156
2010-03-10,72.69078826904297
2010-03-11,72.04933166503906
2010-03-12,71.79112243652344
2010-03-15,73.1656265258789
2010-03-16,73.83206176757812
2010-03-17,74.80672454833984
2010-03-18,77.197509765625
2010-03-19,75.8479995727539
2010-03-22,74.70674896240234
2010-03-23,76.33116912841797
2010-03-24,75.17324829101562
2010-03-25,75.75639343261719
2010-03-26,76.09795379638672
2010-03-29,76.83102416992188
2010-03-30,77.32247161865234
2010-03-31,77.80564880371094
2010-04-01,76.78099822998047
2010-04-05,77.0225830078125
2010-04-06,76.9476318359375
2010-04-07,75.53145599365234
2010-04-08,75.57310485839844
2010-04-09,76.0229721069336
2010-04-12,75.65641021728516
2010-04-13,75.57310485839844
2010-04-14,78.3138198852539
2010-04-15,79.6550064086914
2010-04-16,78.19717407226562
2010-04-19,77.09758758544922
2010-04-20,76.6727294921875
2010-04-21,76.22289276123047
2010-04-22,76.39783477783203
2010-04-23,77.31415557861328
2010-04-26,77.0559310913086
2010-04-27,74.7400894165039
2010-04-28,75.67304992675781
2010-04-29,77.12257385253906
2010-04-30,74.98165130615234
2010-05-03,77.03095245361328
2010-05-04,74.44852447509766
2010-05-05,73.77373504638672
2010-05-06,71.6328353881836
2010-05-07,69.2586898803711
2010-05-10,73.0739974975586
2010-05-11,73.39888763427734
2010-05-12,74.77335357666016
2010-05-13,73.29058074951172
2010-05-14,71.56620788574219
2010-05-17,71.5495376586914
2010-05-18,70.02507019042969
2010-05-19,70.05009460449219
2010-05-20,67.55929565429688
2010-05-21,69.19202423095703
2010-05-24,67.86747741699219
2010-05-25,67.23441314697266
2010-05-26,68.0091323852539
2010-05-27,70.1083755493164
2010-05-28,69.55025482177734
2010-06-01,67.71756744384766
2010-06-02,69.40867614746094
2010-06-03,69.95845794677734
2010-06-04,66.11811828613281
2010-06-07,63.7440071105957
2010-06-08,65.54337310791016
2010-06-09,64.60200500488281
2010-06-10,66.85951232910156
2010-06-11,67.16777038574219
2010-06-14,67.86747741699219
2010-06-15,69.25239562988281
2010-06-16,65.13111114501953
2010-06-17,65.16448974609375
2010-06-18,65.6567153930664
2010-06-21,65.5566177368164
2010-06-22,63.5710334777832
2010-06-23,63.896400451660156
2010-06-24,63.37083435058594
2010-06-25,63.37083435058594
2010-06-28,62.67835235595703
2010-06-29,59.6583251953125
2010-06-30,58.490386962890625
2010-07-01,60.067138671875
2010-07-02,59.57493591308594
2010-07-06,58.98259353637695
2010-07-07,60.80961990356445
2010-07-08,61.468692779541016
2010-07-09,61.9191780090332
2010-07-12,61.8691291809082
2010-07-13,64.48035430908203
2010-07-14,65.6817626953125
2010-07-15,64.42198944091797
2010-07-16,62.24456787109375
2010-07-19,62.561561584472656
2010-07-20,63.329097747802734
2010-07-21,61.76069641113281
2010-07-22,65.51487731933594
2010-07-23,65.87364196777344
2010-07-26,69.56942749023438
2010-07-27,68.7184829711914
2010-07-28,69.11056518554688
2010-07-29,68.46818542480469
2010-07-30,68.86860656738281
2010-08-02,70.5788803100586
2010-08-03,69.76964569091797
2010-08-04,71.71347045898438
2010-08-05,71.53826141357422
2010-08-06,71.1795425415039
2010-08-09,72.82305145263672
2010-08-10,72.66453552246094
2010-08-11,69.35248565673828
2010-08-12,68.35972595214844
2010-08-13,67.40866088867188
2010-08-16,67.558837890625
2010-08-17,69.87809753417969
2010-08-18,70.1116714477539
2010-08-19,68.05941772460938
2010-08-20,67.76740264892578
2010-08-23,67.942626953125
2010-08-24,65.98210144042969
2010-08-25,65.69843292236328
2010-08-26,65.70677185058594
2010-08-27,67.12498474121094
2010-08-30,65.72344970703125
2010-08-31,65.11443328857422
2010-09-01,67.88420867919922
2010-09-02,68.17620086669922
2010-09-03,69.0354995727539
2010-09-07,68.39310455322266
2010-09-08,70.0223159790039
2010-09-09,70.41500091552734
2010-09-10,70.31470489501953
2010-09-13,70.69906616210938
2010-09-14,71.09172058105469
2010-09-15,71.80188751220703
2010-09-16,69.11164855957031
2010-09-17,68.74398803710938
2010-09-20,69.27033233642578
2010-09-21,69.87194061279297
2010-09-22,70.43168640136719
2010-09-23,69.0615005493164
2010-09-24,70.3731918334961
2010-09-27,70.23954010009766
2010-09-28,70.77426147460938
