Date,LOAR
2024-04-25,48.79999923706055
2024-04-26,49.709999084472656
2024-04-29,49.849998474121094
2024-04-30,52.31999969482422
2024-05-01,49.029998779296875
2024-05-02,46.400001525878906
2024-05-03,48.15999984741211
2024-05-06,51.099998474121094
2024-05-07,49.83000183105469
2024-05-08,48.68000030517578
2024-05-09,46.470001220703125
2024-05-10,46.0
2024-05-13,46.900001525878906
2024-05-14,47.150001525878906
2024-05-15,50.0
2024-05-16,50.75
2024-05-17,51.529998779296875
2024-05-20,51.54999923706055
2024-05-21,55.95000076293945
2024-05-22,59.709999084472656
2024-05-23,54.970001220703125
2024-05-24,55.209999084472656
2024-05-28,51.5
2024-05-29,56.63999938964844
2024-05-30,55.54999923706055
2024-05-31,56.970001220703125
2024-06-03,57.150001525878906
2024-06-04,57.68000030517578
2024-06-05,58.040000915527344
2024-06-06,58.619998931884766
2024-06-07,59.060001373291016
2024-06-10,60.5
2024-06-11,60.630001068115234
2024-06-12,64.12000274658203
2024-06-13,59.560001373291016
2024-06-14,57.13999938964844
2024-06-17,59.38999938964844
2024-06-18,59.7599983215332
2024-06-20,58.38999938964844
2024-06-21,56.20000076293945
2024-06-24,58.0
2024-06-25,57.400001525878906
2024-06-26,57.18000030517578
2024-06-27,55.40999984741211
2024-06-28,53.40999984741211
2024-07-01,53.33000183105469
2024-07-02,54.439998626708984
2024-07-03,53.20000076293945
2024-07-05,53.93000030517578
2024-07-08,55.779998779296875
2024-07-09,55.41999816894531
2024-07-10,55.63999938964844
2024-07-11,55.4900016784668
2024-07-12,55.02000045776367
2024-07-15,60.40999984741211
2024-07-16,60.08000183105469
2024-07-17,55.81999969482422
2024-07-18,55.56999969482422
2024-07-19,55.7400016784668
2024-07-22,59.79999923706055
2024-07-23,62.16999816894531
2024-07-24,59.849998474121094
2024-07-25,62.2599983215332
2024-07-26,62.77000045776367
2024-07-29,61.279998779296875
2024-07-30,60.099998474121094
2024-07-31,62.5
2024-08-01,60.439998626708984
2024-08-02,57.20000076293945
2024-08-05,57.900001525878906
2024-08-06,60.72999954223633
2024-08-07,57.7599983215332
2024-08-08,59.79999923706055
2024-08-09,61.45000076293945
2024-08-12,62.310001373291016
2024-08-13,74.08999633789062
2024-08-14,74.73999786376953
2024-08-15,76.68000030517578
2024-08-16,74.94999694824219
2024-08-19,74.44999694824219
2024-08-20,72.44999694824219
2024-08-21,69.98999786376953
2024-08-22,67.86000061035156
2024-08-23,70.18000030517578
2024-08-26,70.70999908447266
2024-08-27,71.97000122070312
2024-08-28,70.11000061035156
2024-08-29,73.87000274658203
2024-08-30,74.16000366210938
2024-09-03,67.62000274658203
2024-09-04,70.93000030517578
2024-09-05,71.91999816894531
2024-09-06,68.47000122070312
2024-09-09,73.12999725341797
2024-09-10,73.3499984741211
2024-09-11,76.31999969482422
2024-09-12,78.5
2024-09-13,79.83999633789062
2024-09-16,75.11000061035156
2024-09-17,76.94999694824219
2024-09-18,73.6500015258789
2024-09-19,75.62999725341797
2024-09-20,74.45999908447266
2024-09-23,75.52999877929688
2024-09-24,72.47000122070312
2024-09-25,75.19000244140625
2024-09-26,74.08999633789062
2024-09-27,74.27999877929688
2024-09-30,74.58999633789062
2024-10-01,71.83000183105469
2024-10-02,73.22000122070312
2024-10-03,71.0
2024-10-04,73.66000366210938
2024-10-07,73.44999694824219
2024-10-08,75.08999633789062
2024-10-09,75.12999725341797
2024-10-10,74.0
2024-10-11,77.01000213623047
2024-10-14,77.11000061035156
2024-10-15,74.22000122070312
2024-10-16,76.66000366210938
2024-10-17,77.75
2024-10-18,78.48999786376953
2024-10-21,79.77999877929688
2024-10-22,81.04000091552734
2024-10-23,80.06999969482422
2024-10-24,80.06999969482422
2024-10-25,84.58000183105469
2024-10-28,86.87000274658203
2024-10-29,89.23999786376953
2024-10-30,87.91999816894531
2024-10-31,86.18000030517578
2024-11-01,88.3499984741211
2024-11-04,87.0
2024-11-05,83.26000213623047
2024-11-06,83.63999938964844
2024-11-07,84.68000030517578
2024-11-08,88.86000061035156
2024-11-11,89.30999755859375
2024-11-12,88.11000061035156
2024-11-13,80.94000244140625
2024-11-14,82.16999816894531
2024-11-15,80.80000305175781
2024-11-18,81.93000030517578
2024-11-19,87.76000213623047
2024-11-20,88.05999755859375
2024-11-21,90.73999786376953
2024-11-22,94.33999633789062
2024-11-25,89.05999755859375
2024-11-26,89.25
2024-11-27,88.83000183105469
2024-11-29,92.08000183105469
2024-12-02,91.11000061035156
2024-12-03,89.04000091552734
2024-12-04,91.80000305175781
2024-12-05,90.06999969482422
2024-12-06,92.0
2024-12-09,91.08000183105469
2024-12-10,87.69000244140625
2024-12-11,84.27999877929688
2024-12-12,79.31999969482422
2024-12-13,79.13999938964844
2024-12-16,79.87000274658203
2024-12-17,76.31999969482422
2024-12-18,74.68000030517578
2024-12-19,73.88999938964844
2024-12-20,72.83000183105469
2024-12-23,74.29000091552734
2024-12-24,75.36000061035156
2024-12-26,76.63999938964844
2024-12-27,74.8499984741211
2024-12-30,74.43000030517578
2024-12-31,73.91000366210938
2025-01-02,73.9800033569336
2025-01-03,76.30000305175781
2025-01-06,76.16999816894531
2025-01-07,74.87999725341797
2025-01-08,72.69999694824219
2025-01-10,72.55999755859375
2025-01-13,72.98999786376953
2025-01-14,75.02999877929688
2025-01-15,78.0199966430664
2025-01-16,78.8499984741211
2025-01-17,78.9000015258789
2025-01-21,82.38999938964844
2025-01-22,81.93000030517578
2025-01-23,80.70999908447266
2025-01-24,79.75
2025-01-27,76.69999694824219
2025-01-28,79.31999969482422
